Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
39,A/A*,h2,3,13,0.11960315704345703
39,A/A*,h3,3,13,0.12660813331604004
39,A/A*,h4,3,18,0.17965435981750488
40,UCS,N/A,5,665,9.171868801116943
40,GBFS,h1,5,31,0.42786717414855957
40,GBFS,h2,5,52,0.6175298690795898
40,GBFS,h3,5,10,0.11509823799133301
40,GBFS,h4,5,27,0.29525303840637207
40,A/A*,h1,5,24,0.3137691020965576
40,A/A*,h2,5,48,0.6530606746673584
40,A/A*,h3,5,10,0.11659955978393555
40,A/A*,h4,5,31,0.4023451805114746
41,UCS,N/A,7,713,8.825072050094604
41,GBFS,h1,7,217,2.769376754760742
41,GBFS,h2,7,472,5.748432159423828
41,GBFS,h3,7,22,0.2622249126434326
41,GBFS,h4,7,54,0.6915936470031738
41,A/A*,h1,7,215,3.136190414428711
41,A/A*,h2,7,325,4.4428112506866455
41,A/A*,h3,8,41,0.5239498615264893
41,A/A*,h4,8,117,1.7890350818634033
42,UCS,N/A,2,16,0.07456326484680176
42,GBFS,h1,2,7,0.03603005409240723
42,GBFS,h2,2,7,0.03803300857543945
42,GBFS,h3,2,7,0.04053497314453125
42,GBFS,h4,2,7,0.03553032875061035
42,A/A*,h1,2,7,0.04053449630737305
42,A/A*,h2,2,7,0.03803253173828125
42,A/A*,h3,2,7,0.03753209114074707
42,A/A*,h4,2,7,0.03803253173828125
43,UCS,N/A,No solution,616,6.575641632080078
43,GBFS,h1,No solution,616,6.320423603057861
43,GBFS,h2,No solution,616,6.040682792663574
43,GBFS,h3,No solution,616,6.291398048400879
43,GBFS,h4,No solution,616,6.086222171783447
43,A/A*,h1,No solution,616,7.309771537780762
43,A/A*,h2,No solution,616,6.569636583328247
43,A/A*,h3,No solution,616,6.817349433898926
43,A/A*,h4,No solution,619,7.041040897369385
44,UCS,N/A,8,35,0.0540463924407959
44,GBFS,h1,8,28,0.041535377502441406
44,GBFS,h2,8,31,0.047540903091430664
44,GBFS,h3,8,24,0.04053521156311035
44,GBFS,h4,8,31,0.04603981971740723
44,A/A*,h1,8,29,0.049041748046875
44,A/A*,h2,8,31,0.0515444278717041
44,A/A*,h3,8,24,0.03953385353088379
44,A/A*,h4,8,32,0.055047035217285156
