9 0 9	BB.K..CCCKU..AAKUG.FF.UG.....GEEE.TT 
9 3 6	...BB.CCC.UG.AA.UG.FFKUG...K..EEEKTT B97 K97 G99 
9 3 6	...BB.CCC.U.AA..UG.FFKUG...K.GEEEKTT B97 K97 A99 
9 3 6	...BB.CCC.U...AAUG.FFKUG...K.GEEEKTT B97 K97 A99 
9 3 6	...BB..CCCU..AA.UG.FFKUG...K.GEEEKTT B97 K97 C99 
9 3 6	...BB.CCC....AA.UG.FFKUG...KUGEEEKTT B97 K97 U99 
9 3 6	BB......CCC..AA.UG.FFKUG...KUGEEEKTT K97 C98 U99 
9 3 6	BB.......CCC.AA.UG.FFKUG...KUGEEEKTT K97 C97 U99 
9 3 6	BB..U.CCC.U...AAUG.FFK.G...K.GEEEKTT K97 U99 A99 
9 3 6	BB..U..CCCU..AA.UG.FFK.G...K.GEEEKTT K97 C99 U99 
9 3 6	BB.....CCC...AA.UG.FFKUG...KUGEEEKTT K97 C99 U99 
9 3 6	..BB..CCC.U..AA.UGFF.KUG...K.GEEEKTT B98 K97 F99 
9 3 6	BB.....CCCU...AAUG.FFKUG...K.GEEEKTT K97 C99 A99 
9 3 6	BB....CCC.....AAUG.FFKUG...KUGEEEKTT K97 U99 A99 
9 3 6	BB...GCCC.UG..AAUG.FFKU....K..EEEKTT K97 A99 G98 
9 3 6	..BB.GCCC.UG.AA.UG.FFKU....K..EEEKTT B98 K97 G98 
9 3 6	BB...GCCC..G.AA.UG.FFKU....KU.EEEKTT K97 U99 G98 
9 3 6	BB..UGCCC.UG.AA.UG.FFK.....K..EEEKTT K97 U99 G98 
9 3 6	..BB..CCC.UG.AA.UG.FFKUG...K..EEEKTT B98 K97 G99 
9 3 6	BB...G.CCCUG.AA.UG.FFKU....K..EEEKTT K97 C99 G98 
9 3 6	..BB..CCC.U.AA..UG.FFKUG...K.GEEEKTT B98 K97 A99 
9 3 6	..BB..CCC.U...AAUG.FFKUG...K.GEEEKTT B98 K97 A99 
9 3 6	BB....CCC.UG..AAUG.FFKUG...K..EEEKTT K97 A99 G99 
9 3 6	BB..U.CCC.UG.AA.UG.FFK.G...K..EEEKTT K97 U99 G99 
9 3 6	BB.....CCCUG.AA.UG.FFKUG...K..EEEKTT K97 C99 G99 
9 3 6	BB....CCC..G.AA.UG.FFKUG...KU.EEEKTT K97 U99 G99 
9 3 6	..BB...CCCU..AA.UG.FFKUG...K.GEEEKTT B98 K97 C99 
9 3 6	..BB..CCC....AA.UG.FFKUG...KUGEEEKTT B98 K97 U99 
9 3 6	..BBU.CCC.U..AA.UG.FFK.G...K.GEEEKTT B98 K97 U99 
9 3 6	BB...GCCC.UGAA..UG.FFKU....K..EEEKTT K97 A99 G98 
9 3 6	BB..U.CCC.U.AA..UG.FFK.G...K.GEEEKTT K97 U99 A99 
9 3 6	BB....CCC.UGAA..UG.FFKUG...K..EEEKTT K97 A99 G99 
9 3 6	BB.....CCCU.AA..UG.FFKUG...K.GEEEKTT K97 C99 A99 
9 3 6	BB....CCC...AA..UG.FFKUG...KUGEEEKTT K97 U99 A99 
10 4 6	.BB...CCC.U...AAUGFF.KUG...K.GEEEKTT B99 K97 A99 F99 
10 4 6	....BB.CCCU.AA..UG.FFKUG...K.GEEEKTT B96 K97 C99 A99 
10 4 6	....BBCCC.U.AA..UGFF.KUG...K.GEEEKTT B96 K97 A99 F99 
10 4 6	..BB...CCCUG.AA.UG.FFKUG...K..EEEKTT B98 K97 C99 G99 
10 4 6	..BB..CCC.UG..AAUG.FFKUG...K..EEEKTT B98 K97 A99 G99 
10 4 6	BB...G.CCCUGAA..UG.FFKU....K..EEEKTT K97 C99 A99 G98 
10 4 6	..BB...CCCU.AA..UG.FFKUG...K.GEEEKTT B98 K97 C99 A99 
10 4 6	..BB..CCC..G.AA.UG.FFKUG...KU.EEEKTT B98 K97 U99 G99 
10 4 6	..BBU.CCC.UG.AA.UG.FFK.G...K..EEEKTT B98 K97 U99 G99 
10 4 6	..BB..CCC.UGAA..UG.FFKUG...K..EEEKTT B98 K97 A99 G99 
10 1 9	BB.K..CCCKU..AAKUG.FF.UG.....G.EEETT E99 
10 4 6	....BBCCC....AA.UGFF.KUG...KUGEEEKTT B96 K97 U99 F99 
10 4 6	BB..UGCCC.UGAA..UG.FFK.....K..EEEKTT K97 U99 A99 G98 
10 4 6	....BB...CCC.AA.UG.FFKUG...KUGEEEKTT B96 K97 C97 U99 
10 4 6	....BBCCC...AA..UG.FFKUG...KUGEEEKTT B96 K97 U99 A99 
10 4 6	BB...GCCC..GAA..UG.FFKU....KU.EEEKTT K97 U99 A99 G98 
10 4 6	..BB.GCCC.UGAA..UG.FFKU....K..EEEKTT B98 K97 A99 G98 
10 1 9	BB....CCC.U..AAKUG.FFKUG...K.GEEE.TT K98 
10 4 6	....BBCCC.UGAA..UG.FFKUG...K..EEEKTT B96 K97 A99 G99 
10 4 6	BB.....CCC.G.AA.UG.FFKUG...KU.EEEKTT K97 C99 U99 G99 
10 4 6	BB...G.CCC.G.AA.UG.FFKU....KU.EEEKTT K97 C99 U99 G98 
10 4 6	BB.....CCC..AA..UG.FFKUG...KUGEEEKTT K97 C99 U99 A99 
10 4 6	BB.....CCC....AAUG.FFKUG...KUGEEEKTT K97 C99 U99 A99 
10 1 9	BB.K..CCCKU..AAKUG.FF.UG.....GEEETT. T99 
8 2 6	BB.K..CCCKU..AAKU..FF.UG.....GEEETTG G99 T99 
9 3 6	.BBK..CCCKU..AAKU..FF.UG.....GEEETTG B99 G99 T99 
9 3 6	BB....CCCKU..AAKU..FFKUG.....GEEETTG K99 G99 T99 
9 3 6	BB....CCC.U..AAKU..FFKUG...K.GEEETTG K98 G99 T99 
9 3 6	BB.K..CCCK...AAKU..FF.UG....UGEEETTG U99 G99 T99 
9 3 6	BB.KU.CCCKU..AAKU..FF..G.....GEEETTG U99 G99 T99 
9 3 6	BB.K..CCCKU.AA.KU..FF.UG.....GEEETTG A99 G99 T99 
9 3 6	BB.K..CCCKU..AAKU.FF..UG.....GEEETTG G99 F99 T99 
9 3 6	BB.K..CCCKU..AAKU...FFUG.....GEEETTG G99 F99 T99 
10 4 6	BB..UG.CCCUG.AA.UG.FFK.....K..EEEKTT K97 C99 U99 G98 
10 4 6	....BB.CCCUG.AA.UG.FFKUG...K..EEEKTT B96 K97 C99 G99 
10 4 6	BB..U..CCCUG.AA.UG.FFK.G...K..EEEKTT K97 C99 U99 G99 
10 4 6	BB..U..CCCU.AA..UG.FFK.G...K.GEEEKTT K97 C99 U99 A99 
10 4 6	....BBCCC.UG..AAUG.FFKUG...K..EEEKTT B96 K97 A99 G99 
10 4 6	....BBCCC.....AAUG.FFKUG...KUGEEEKTT B96 K97 U99 A99 
10 4 6	....BB.CCCU...AAUG.FFKUG...K.GEEEKTT B96 K97 C99 A99 
10 4 6	..BBU.CCC.U...AAUG.FFK.G...K.GEEEKTT B98 K97 U99 A99 
10 4 6	BB..U.CCC.UG..AAUG.FFK.G...K..EEEKTT K97 U99 A99 G99 
10 4 6	..BBU..CCCU..AA.UG.FFK.G...K.GEEEKTT B98 K97 C99 U99 
10 4 6	BB..U..CCCU...AAUG.FFK.G...K.GEEEKTT K97 C99 U99 A99 
10 4 6	BB...G..CCCG.AA.UG.FFKU....KU.EEEKTT K97 C98 U99 G98 
10 4 6	BB.......CCCAA..UG.FFKUG...KUGEEEKTT K97 C97 U99 A99 
10 4 6	BB.......CCC..AAUG.FFKUG...KUGEEEKTT K97 C97 U99 A99 
10 4 6	..BB.....CCC.AA.UG.FFKUG...KUGEEEKTT B98 K97 C97 U99 
10 4 6	.BB...CCC.UG.AA.UGFF.KUG...K..EEEKTT B99 K97 G99 F99 
10 4 6	..BB....CCC..AA.UG.FFKUG...KUGEEEKTT B98 K97 C98 U99 
10 4 6	BB......CCC...AAUG.FFKUG...KUGEEEKTT K97 C98 U99 A99 
10 4 6	BB......CCCG.AA.UG.FFKUG...KU.EEEKTT K97 C98 U99 G99 
10 4 6	BB......CCC.AA..UG.FFKUG...KUGEEEKTT K97 C98 U99 A99 
10 1 9	BB.KU.CCCKU..AAKUG.FF..G.....GEEE.TT U99 
10 4 6	BB.K..CCCKU.AA.KU.FF..UG.....GEEETTG A99 G99 F99 T99 
10 4 6	.BB...CCC....AA.UGFF.KUG...KUGEEEKTT B99 K97 U99 F99 
10 4 6	.BB....CCCU..AA.UGFF.KUG...K.GEEEKTT B99 K97 C99 F99 
10 4 6	...BB..CCCU.AA..UG.FFKUG...K.GEEEKTT B97 K97 C99 A99 
10 4 6	...BB..CCCU...AAUG.FFKUG...K.GEEEKTT B97 K97 C99 A99 
10 4 6	BB.KU.CCCKU..AAKU....FFG.....GEEETTG U99 G99 F98 T99 
10 4 6	BB.KU.CCCKU..AAKU.FF...G.....GEEETTG U99 G99 F99 T99 
10 4 6	BB.KU.CCCKU..AAKU...FF.G.....GEEETTG U99 G99 F99 T99 
10 4 6	...BB.CCC...AA..UG.FFKUG...KUGEEEKTT B97 K97 U99 A99 
10 4 6	BB.KU.CCCKU.AA.KU..FF..G.....GEEETTG U99 A99 G99 T99 
10 4 6	BB.K..CCCK...AAKU.FF..UG....UGEEETTG U99 G99 F99 T99 
10 4 6	BB.K..CCCK...AAKU...FFUG....UGEEETTG U99 G99 F99 T99 
10 4 6	BB..U.CCC.U...AAUGFF.K.G...K.GEEEKTT K97 U99 A99 F99 
10 4 6	...BB.CCC.UG..AAUG.FFKUG...K..EEEKTT B97 K97 A99 G99 
10 4 6	BB.K..CCCK..AA.KU..FF.UG....UGEEETTG U99 A99 G99 T99 
10 4 6	BB....CCC.U.AA.KU..FFKUG...K.GEEETTG K98 A99 G99 T99 
10 4 6	BB....CCC.U..AAKU.FF.KUG...K.GEEETTG K98 G99 F99 T99 
10 4 6	...BB.CCC..G.AA.UG.FFKUG...KU.EEEKTT B97 K97 U99 G99 
10 4 6	...BB.CCC.UGAA..UG.FFKUG...K..EEEKTT B97 K97 A99 G99 
10 4 6	BB..U.CCC.U..AAKU..FFK.G...K.GEEETTG K98 U99 G99 T99 
10 4 6	BB....CCC....AAKU..FFKUG...KUGEEETTG K98 U99 G99 T99 
10 4 6	....BBCCC.U..AAKU..FFKUG...K.GEEETTG B96 K98 G99 T99 
10 4 6	BB.....CCCU..AAKU..FFKUG...K.GEEETTG K98 C99 G99 T99 
10 4 6	.BB..GCCC.UGAA..UG.FFKU....K..EEEKTT B99 K97 A99 G98 
10 4 6	.BB..GCCC.UG.AA.UGFF.KU....K..EEEKTT B99 K97 G98 F99 
10 4 6	...BB..CCCUG.AA.UG.FFKUG...K..EEEKTT B97 K97 C99 G99 
10 4 6	..BB..CCC.U..AAKU..FFKUG...K.GEEETTG B98 K98 G99 T99 
10 4 6	...BB.CCC.U..AAKU..FFKUG...K.GEEETTG B97 K98 G99 T99 
10 4 6	BB....CCCKU..AAKU.FF.KUG.....GEEETTG K99 G99 F99 T99 
10 4 6	...BBGCCC.UGAA..UG.FFKU....K..EEEKTT B97 K97 A99 G98 
10 4 6	...BBGCCC.UG..AAUG.FFKU....K..EEEKTT B97 K97 A99 G98 
10 4 6	BB....CCCKU.AA.KU..FFKUG.....GEEETTG K99 A99 G99 T99 
10 4 6	BB..U.CCCKU..AAKU..FFK.G.....GEEETTG K99 U99 G99 T99 
10 4 6	....BBCCCKU..AAKU..FFKUG.....GEEETTG B96 K99 G99 T99 
10 4 6	BB....CCCK...AAKU..FFKUG....UGEEETTG K99 U99 G99 T99 
10 1 9	BB.K..CCCKU.AA.KUG.FF.UG.....GEEE.TT A99 
10 4 6	.BBK..CCCKU.AA.KU..FF.UG.....GEEETTG B99 A99 G99 T99 
10 4 6	.BBK..CCCKU..AAKU.FF..UG.....GEEETTG B99 G99 F99 T99 
10 4 6	.BBK..CCCK...AAKU..FF.UG....UGEEETTG B99 U99 G99 T99 
10 4 6	.BBKU.CCCKU..AAKU..FF..G.....GEEETTG B99 U99 G99 T99 
10 4 6	.BB...CCCKU..AAKU..FFKUG.....GEEETTG B99 K99 G99 T99 
10 4 6	.BB...CCC.U..AAKU..FFKUG...K.GEEETTG B99 K98 G99 T99 
10 4 6	..BB...CCC...AA.UG.FFKUG...KUGEEEKTT B98 K97 C99 U99 
10 4 6	....BBCCC..G.AA.UG.FFKUG...KU.EEEKTT B96 K97 U99 G99 
10 4 6	.BB.U.CCC.U...AAUG.FFK.G...K.GEEEKTT B99 K97 U99 A99 
10 4 6	.BB..GCCC.UG..AAUG.FFKU....K..EEEKTT B99 K97 A99 G98 
10 4 6	..BB...CCCU..AA.UGFF.KUG...K.GEEEKTT B98 K97 C99 F99 
10 4 6	.BB..G.CCCUG.AA.UG.FFKU....K..EEEKTT B99 K97 C99 G98 
10 4 6	...BB..CCCU..AA.UGFF.KUG...K.GEEEKTT B97 K97 C99 F99 
10 4 6	.BB......CCC.AA.UG.FFKUG...KUGEEEKTT B99 K97 C97 U99 
10 4 6	.BB...CCC.UG..AAUG.FFKUG...K..EEEKTT B99 K97 A99 G99 
10 4 6	.BB....CCC...AA.UG.FFKUG...KUGEEEKTT B99 K97 C99 U99 
10 4 6	.BB.....CCC..AA.UG.FFKUG...KUGEEEKTT B99 K97 C98 U99 
10 4 6	.BB....CCCU...AAUG.FFKUG...K.GEEEKTT B99 K97 C99 A99 
10 4 6	.BB...CCC.....AAUG.FFKUG...KUGEEEKTT B99 K97 U99 A99 
10 4 6	..BBU.CCC.U..AA.UGFF.K.G...K.GEEEKTT B98 K97 U99 F99 
10 4 6	BB..U..CCCU..AA.UGFF.K.G...K.GEEEKTT K97 C99 U99 F99 
10 1 9	BB.K..CCCKU..AAKUG..FFUG.....GEEE.TT F99 
10 4 6	BB......CCC..AA.UGFF.KUG...KUGEEEKTT K97 C98 U99 F99 
10 4 6	BB.......CCC.AA.UGFF.KUG...KUGEEEKTT K97 C97 U99 F99 
10 4 6	BB.....CCC...AA.UGFF.KUG...KUGEEEKTT K97 C99 U99 F99 
10 4 6	...BB.CCC....AA.UGFF.KUG...KUGEEEKTT B97 K97 U99 F99 
10 4 6	BB....CCC.....AAUGFF.KUG...KUGEEEKTT K97 U99 A99 F99 
10 4 6	..BB..CCC....AA.UGFF.KUG...KUGEEEKTT B98 K97 U99 F99 
10 4 6	BB.....CCCU...AAUGFF.KUG...K.GEEEKTT K97 C99 A99 F99 
10 4 6	...BB.CCC.U...AAUGFF.KUG...K.GEEEKTT B97 K97 A99 F99 
10 4 6	..BB..CCC.U...AAUGFF.KUG...K.GEEEKTT B98 K97 A99 F99 
10 4 6	...BB.CCC.....AAUG.FFKUG...KUGEEEKTT B97 K97 U99 A99 
10 4 6	BB..U.CCC.U.AA..UGFF.K.G...K.GEEEKTT K97 U99 A99 F99 
10 4 6	BB.....CCCU.AA..UGFF.KUG...K.GEEEKTT K97 C99 A99 F99 
10 4 6	BB....CCC...AA..UGFF.KUG...KUGEEEKTT K97 U99 A99 F99 
10 4 6	..BB..CCC.U.AA..UGFF.KUG...K.GEEEKTT B98 K97 A99 F99 
10 4 6	...BB.CCC.U.AA..UGFF.KUG...K.GEEEKTT B97 K97 A99 F99 
10 4 6	BB..UGCCC.UG..AAUG.FFK.....K..EEEKTT K97 U99 A99 G98 
10 1 9	BB.K..CCCKU..AAKUGFF..UG.....GEEE.TT F99 
10 4 6	.BB.U..CCCU..AA.UG.FFK.G...K.GEEEKTT B99 K97 C99 U99 
10 4 6	BB...GCCC.UG..AAUGFF.KU....K..EEEKTT K97 A99 G98 F99 
10 4 6	BB...GCCC.UGAA..UGFF.KU....K..EEEKTT K97 A99 G98 F99 
10 4 6	BB..UGCCC.UG.AA.UGFF.K.....K..EEEKTT K97 U99 G98 F99 
10 4 6	BB...GCCC..G.AA.UGFF.KU....KU.EEEKTT K97 U99 G98 F99 
10 4 6	BB...G.CCCUG.AA.UGFF.KU....K..EEEKTT K97 C99 G98 F99 
10 4 6	...BBGCCC.UG.AA.UGFF.KU....K..EEEKTT B97 K97 G98 F99 
10 1 9	BB.K.GCCCKUG.AAKUG.FF.U.......EEE.TT G98 
10 4 6	BB..U.CCC.UG.AA.UGFF.K.G...K..EEEKTT K97 U99 G99 F99 
10 4 6	BB....CCC..G.AA.UGFF.KUG...KU.EEEKTT K97 U99 G99 F99 
10 4 6	BB.....CCCUG.AA.UGFF.KUG...K..EEEKTT K97 C99 G99 F99 
10 1 9	BB....CCCKU..AAKUG.FFKUG.....GEEE.TT K99 
10 4 6	.BB.U.CCC.UG.AA.UG.FFK.G...K..EEEKTT B99 K97 U99 G99 
10 4 6	BB.....CCCUGAA..UG.FFKUG...K..EEEKTT K97 C99 A99 G99 
10 4 6	BB....CCC..GAA..UG.FFKUG...KU.EEEKTT K97 U99 A99 G99 
10 4 6	..BB..CCC...AA..UG.FFKUG...KUGEEEKTT B98 K97 U99 A99 
10 4 6	..BBU.CCC.U.AA..UG.FFK.G...K.GEEEKTT B98 K97 U99 A99 
10 4 6	BB..U.CCC.UGAA..UG.FFK.G...K..EEEKTT K97 U99 A99 G99 
11 2 9	BB.K..CCCKU..AAKUG..FFUG.....G.EEETT F99 E99 
11 5 6	BB....CCC.U.AA.KU.FF.KUG...K.GEEETTG K98 A99 G99 F99 T99 
11 5 6	.BB..G.CCCUG.AA.UGFF.KU....K..EEEKTT B99 K97 C99 G98 F99 
11 5 6	.BBKU.CCCKU..AAKU.FF...G.....GEEETTG B99 U99 G99 F99 T99 
11 5 6	.BBKU.CCCKU..AAKU...FF.G.....GEEETTG B99 U99 G99 F99 T99 
11 5 6	BB.KU.CCCKU.AA.KU...FF.G.....GEEETTG U99 A99 G99 F99 T99 
11 5 6	BB..U.CCCKU..AAKU.FF.K.G.....GEEETTG K99 U99 G99 F99 T99 
11 5 6	BB..U.CCC.U..AAKU.FF.K.G...K.GEEETTG K98 U99 G99 F99 T99 
11 5 6	...BB..CCCUGAA..UG.FFKUG...K..EEEKTT B97 K97 C99 A99 G99 
11 5 6	...BBG.CCCUG..AAUG.FFKU....K..EEEKTT B97 K97 C99 A99 G98 
11 5 6	BB.KU.CCCKU.AA.KU....FFG.....GEEETTG U99 A99 G99 F98 T99 
11 5 6	...BB..CCCU...AAUGFF.KUG...K.GEEEKTT B97 K97 C99 A99 F99 
11 5 6	.BBKU.CCCKU..AAKU....FFG.....GEEETTG B99 U99 G99 F98 T99 
11 5 6	...BB..CCCU.AA..UGFF.KUG...K.GEEEKTT B97 K97 C99 A99 F99 
11 5 6	...BB..CCCUG..AAUG.FFKUG...K..EEEKTT B97 K97 C99 A99 G99 
11 5 6	BB.K..CCCK..AA.KU.FF..UG....UGEEETTG U99 A99 G99 F99 T99 
11 5 6	.BB......CCC.AA.UGFF.KUG...KUGEEEKTT B99 K97 C97 U99 F99 
11 5 6	.BB.U..CCCU..AA.UGFF.K.G...K.GEEEKTT B99 K97 C99 U99 F99 
11 5 6	.BB....CCCU.AA..UGFF.KUG...K.GEEEKTT B99 K97 C99 A99 F99 
11 5 6	.BB...CCC...AA..UGFF.KUG...KUGEEEKTT B99 K97 U99 A99 F99 
11 5 6	.BB.U.CCC.U..AA.UGFF.K.G...K.GEEEKTT B99 K97 U97 F99 
11 5 6	.BB..GCCC..G.AA.UGFF.KU....KU.EEEKTT B99 K97 U99 G98 F99 
11 5 6	BB.KU.CCCKU.AA.KU.FF...G.....GEEETTG U99 A99 G99 F99 T99 
11 5 6	.BB....CCC...AA.UGFF.KUG...KUGEEEKTT B99 K97 C99 U99 F99 
11 5 6	.BB.....CCC..AA.UGFF.KUG...KUGEEEKTT B99 K97 C98 U99 F99 
11 5 6	BB.K..CCCKU.AA.KU...FFUG.....GEEETTG A99 G99 F97 T99 
11 2 9	.BB...CCC.U..AAKUG.FFKUG...K.GEEE.TT B99 K98 
11 2 9	BB.KU.CCCKU..AAKUGFF...G.....GEEE.TT U99 F99 
11 5 6	...BB...CCCG.AA.UG.FFKUG...KU.EEEKTT B97 K97 C98 U99 G99 
11 5 6	BB......CCCG..AAUG.FFKUG...KU.EEEKTT K97 C98 U99 A99 G99 
11 5 6	.BB.....CCCG.AA.UG.FFKUG...KU.EEEKTT B99 K97 C98 U99 G99 
11 5 6	..BB....CCC...AAUG.FFKUG...KUGEEEKTT B98 K97 C98 U99 A99 
11 5 6	.BB.....CCC...AAUG.FFKUG...KUGEEEKTT B99 K97 C98 U99 A99 
11 5 6	...BB...CCC...AAUG.FFKUG...KUGEEEKTT B97 K97 C98 U99 A99 
11 5 6	..BB....CCC..AA.UGFF.KUG...KUGEEEKTT B98 K97 C98 U99 F99 
11 2 9	BB....CCC....AAKUG.FFKUG...KUGEEE.TT K98 U99 
11 5 6	..BB.....CCC..AAUG.FFKUG...KUGEEEKTT B98 K97 C97 U99 A99 
11 5 6	BB.......CCC..AAUGFF.KUG...KUGEEEKTT K97 C97 U99 A99 F99 
11 5 6	....BBCCC.UG.AA.UGFF.KUG...K..EEEKTT B96 K97 G99 F99 
11 5 6	..BB.....CCC.AA.UGFF.KUG...KUGEEEKTT B98 K97 C97 U99 F99 
11 5 6	...BB....CCC..AAUG.FFKUG...KUGEEEKTT B97 K97 C97 U99 A99 
11 5 6	..BB.....CCCAA..UG.FFKUG...KUGEEEKTT B98 K97 C97 U99 A99 
11 5 6	BB.......CCCAA..UGFF.KUG...KUGEEEKTT K97 C97 U99 A99 F99 
11 5 6	.BB......CCC..AAUG.FFKUG...KUGEEEKTT B99 K97 C97 U99 A99 
11 5 6	...BB....CCCAA..UG.FFKUG...KUGEEEKTT B97 K97 C97 U99 A99 
11 5 6	BB..U.CCC.UG..AAUGFF.K.G...K..EEEKTT K97 U99 A99 G99 F99 
11 5 6	..BBU..CCCU..AA.UGFF.K.G...K.GEEEKTT B98 K97 C99 U99 F99 
11 5 6	...BBG..CCCG.AA.UG.FFKU....KU.EEEKTT B97 K97 C98 U99 G98 
11 5 6	BB...G..CCCG.AA.UGFF.KU....KU.EEEKTT K97 C98 U99 G98 F99 
11 5 6	.BB......CCCAA..UG.FFKUG...KUGEEEKTT B99 K97 C97 U99 A99 
11 2 9	BB.KU.CCCKU.AA.KUG.FF..G.....GEEE.TT U99 A99 
11 5 6	..BBU.CCC.U...AAUGFF.K.G...K.GEEEKTT B98 K97 U99 A99 F99 
11 5 6	BB....CCC..G..AAUG.FFKUG...KU.EEEKTT K97 U97 A99 G99 
11 5 6	.BB.U.CCC.UG..AAUG.FFK.G...K..EEEKTT B99 K97 U99 A99 G99 
11 5 6	....BB.CCCU...AAUGFF.KUG...K.GEEEKTT B96 K97 C99 A99 F99 
11 5 6	..BBUGCCC.UG..AAUG.FFK.....K..EEEKTT B98 K97 U99 A99 G98 
11 5 6	..BBU..CCCU...AAUG.FFK.G...K.GEEEKTT B98 K97 C99 U99 A99 
11 5 6	....BBCCC.UG..AAUGFF.KUG...K..EEEKTT B96 K97 A99 G99 F99 
11 5 6	..BB...CCCU...AAUG.FFKUG...K.GEEEKTT B94 C99 A99 K97 
11 5 6	..BB..CCC.....AAUG.FFKUG...KUGEEEKTT B94 A99 U99 K97 
11 5 6	BB..U..CCCU.AA..UGFF.K.G...K.GEEEKTT K97 C99 U99 A99 F99 
11 5 6	....BBCCC..G..AAUG.FFKUG...KU.EEEKTT B96 K97 U99 A99 G99 
11 5 6	.BB.U..CCCU.AA..UG.FFK.G...K.GEEEKTT B99 K97 C99 U99 A99 
11 5 6	BB..U..CCCUG.AA.UGFF.K.G...K..EEEKTT K97 C99 U99 G99 F99 
11 5 6	BB..U..CCCUGAA..UG.FFK.G...K..EEEKTT K97 C99 U99 A99 G99 
11 5 6	BB..U..CCCUG..AAUG.FFK.G...K..EEEKTT K97 C99 U99 A99 G99 
11 2 9	BB..U.CCCKU..AAKUG.FFK.G.....GEEE.TT K99 U99 
11 5 6	BB..UG.CCCUG..AAUG.FFK.....K..EEEKTT K97 C99 U99 A99 G98 
11 5 6	.BB.UG.CCCUG.AA.UG.FFK.....K..EEEKTT B99 K97 C99 U99 G98 
11 5 6	BB......CCC...AAUGFF.KUG...KUGEEEKTT K97 C98 U99 A99 F99 
11 2 9	BB.KU.CCCKUG.AAKUG.FF..G......EEE.TT U99 G99 
11 2 9	BB.K..CCCK..AA.KUG.FF.UG....UGEEE.TT U99 A99 
11 2 9	BB.KU.CCCKU..AAKUG.FF..G.....GEEETT. U99 T99 
11 5 6	....BB.CCC....AAUG.FFKUG...KUGEEEKTT B96 K97 C99 U99 A99 
