5 3 2	YOOTT.YIIIPF.AA.PFMCCDDLMUUU.L.KK.EE Y99 L99 E99 
5 4 1	OO.TTFYIIIPFYAA.P.MCCDD.MUUU.LKKEE.L O99 F99 K99 E99 
5 3 2	.OOTT.YIIIP.YAA.PFMCCDDFMUUU.LKKEE.L F99 K99 E99 
5 4 1	YOOTTFYIIIPF..AAP.MCCDD.MUUU.LKK.EEL Y99 F99 A99 K99 
5 3 2	.OO.TTYIIIPFYAA.PFMCCDD.MUUU.LKKEE.L T99 K99 E99 
5 4 1	OO.TTFYIIIPFY.AAP.MCCDD.MUUU.LKK.EEL O99 F99 A99 K99 
5 3 2	YOOTT.YIIIPFMAA.PFMCC.DD.UUU.L.KKEEL Y99 M99 D99 
5 3 2	OO.TT.YIIIPFYAA.PFMCCDD.MUUU.LKKEE.L O99 K99 E99 
5 3 2	.OOTT.YIIIP.YAA.PFCC.DDFMUUU.LMKKEEL F99 M99 C99 
5 3 2	YOOTT.YIIIPF..AAPFMCC.DDMUUU.L.KKEEL Y99 A99 D99 
5 3 2	YOOTT.YIIIPF.AA.PF.CC.DDMUUU.LMKKEEL Y99 M99 D99 
5 4 1	.OOTTFYIIIPFYAA.P.MCCDDLMUUU.LKKEE.. F99 L99 K99 E99 
5 3 2	YOOTT.YIIIPFAA..PFMCC.DDMUUU.L.KKEEL Y99 A99 D99 
5 3 2	YOO.TTYIIIPF.AA.PFMCC.DDMUUU.L.KKEEL T99 Y99 D99 
5 3 2	.OOTT.YIIIP.Y.AAPF.CCDDFMUUU.LMKKEEL F99 A99 M99 
5 3 2	YOOTT.YIIIPF.AA.PFMCC.DDM.UUUL.KKEEL Y99 D99 U99 
5 4 1	.OOTTFYIIIPFY.AAP.MCCDD.M.UUULKK.EEL F99 A99 U99 K99 
5 3 2	YOOTT.YIIIP..AA.PF.CCDDFMUUU.LMKKEEL Y99 F99 M99 
5 4 1	YOOTTFYIIIPF.AA.P.MCCDD.M.UUULKK.EEL Y99 F99 U99 K99 
5 3 2	.OOTT..IIIP.YAA.PFYCCDDFMUUU.LMKKEEL Y99 F99 M99 
5 4 1	OO.TTFYIIIPFYAA.P.MCCDD.M.UUULKK.EEL O99 F99 U99 K99 
5 4 1	.OOTTFYIIIPFYAA.P.MCCDD.M.UUULKKEE.L F99 U99 K99 E99 
5 4 1	.OOTTFYIIIPFY.AAP.MCCDD.MUUU.LKKEE.L F99 A99 K99 E99 
5 4 1	.OOTTFYIIIPFYAA.P.MCCDDLM.UUULKK.EE. F99 U99 L99 K99 
5 3 2	.OO.TTYIIIP.YAA.PF.CCDDFMUUU.LMKKEEL T99 F99 M99 
5 4 1	.OOTTFYIIIPFY.AAP.MCCDDLMUUU.LKK.EE. F99 A99 L99 K99 
5 4 1	YOOTTFYIIIPF.AA.P.MCCDDLMUUU.LKK.EE. Y99 F99 L99 K99 
5 3 2	OO.TT.YIIIP.YAA.PF.CCDDFMUUU.LMKKEEL O99 F99 M99 
5 4 1	OO.TTFYIIIPFYAA.P.MCCDDLMUUU.LKK.EE. O99 F99 L99 K99 
5 3 2	YOOTT.YIIIPF.AA.PFM.CCDDMUUU.L.KKEEL Y99 C99 D99 
5 3 2	YOOTT.YIIIPFMAA.PFMCCDD...UUUL.KKEEL Y99 M99 U99 
5 3 2	YOOTT.YIIIPF.AA.PFMCCDDLMUUU.LKK.EE. Y99 L99 K99 
5 3 2	YOOTT.YIIIPF.AA.PF.CCDD.M.UUULMKKEEL Y99 M99 U99 
5 3 2	YOOTT.YIIIPF..AAPFMCCDD.M.UUUL.KKEEL Y99 A99 U99 
5 3 2	.OOTTFYIIIPFY.AAPLMCCDDLMUUU...KKEE. F99 A99 L98 
5 3 2	YOOTT.YIIIPF.AA.PFMCCDD.M.UUULKK.EEL Y99 U99 K99 
