11 10 1	.D.....DB...AAB.....B.C..EE.C.....C. B95 C94 A96 D96 E95 
11 10 1	.D.....D..C...AAC...B.C.EEB.....B... B91 C98 A94 D96 E96 
11 10 1	.DB....DB...AAB.......C..EE.C.....C. B94 C94 A96 D96 E93 
11 10 1	.D.....D..C..AA.C...B.C.EEB.....B... B91 C98 A95 D96 E96 
11 10 1	.DB....DB...AAB.......C...EEC.....C. B94 C94 A96 D96 E92 
11 10 1	.D..C..D..C...AAC...B...EEB.....B... B91 C97 A94 D96 E94 
11 10 1	.D.....D....AA..C...B.C.EEB.C...B... B91 C95 A96 D96 E94 
11 9 2	.D..C..D..C.AAB.C...B...EEB......... B92 C97 A96 D96 E94 
11 10 1	.D.....D....AAB.....B.C.EEB.C.....C. B92 C94 A96 D96 E94 
11 9 2	.D..C..DB.C.AAB.C...B....EE......... B95 C97 A96 D96 E93 
11 9 2	.D.....DB...AAB.C...B.C...EEC....... B95 C95 A96 D96 E96 
11 9 2	.D.....DB...AAB.C...B.C.EE..C....... B95 C97 A96 D96 E96 
11 9 2	.D.....D..C.AAB.C...B.C.EEB......... B94 C98 A96 D96 E96 
11 9 2	.DB....DB.C.AAB.C.....C...EE........ B94 C98 A96 D96 E98 
11 9 2	.DB.C..DB.C.AAB.C........EE......... B94 C97 A96 D96 E97 
11 9 2	.DB....DB...AAB.C.....C.EE..C....... B94 C95 A96 D96 E94 
12 12 0	.......D.....D.AA...B.C.EEB.C...B.C. D95 A93 B91 C94 E94 
12 12 0	.D.....DB.....BAA...B.C.EE..C.....C. B89 C94 A93 D96 E94 
12 12 0	.............DAA...DB.C.EEB.C...B.C. D94 A94 B91 C94 E94 
12 12 0	.......D.....DAA....B.C.EEB.C...B.C. D95 A94 B91 C94 E94 
12 12 0	.DB....DB.....BAA.....C.EE..C.....C. B88 C94 A93 D96 E94 
12 12 0	.D.....D......BAA...B.C.EEB.C.....C. B90 C94 A93 D96 E94 
12 12 0	.............D.AA..DB.C.EEB.C...B.C. D94 A93 B91 C94 E94 
12 11 1	.......D..C..DAAC...B.C.EEB.....B... D95 C98 A94 B91 E96 
12 11 1	.D.....D....AAB.....B.C.EEB.C.....C. B90 C94 A96 D96 E94 
12 11 1	.D.....D......AAC...B.C.EEB.C...B... B91 C97 A94 D96 E96 
12 11 1	.D.....D.....AA.C...B.C.EEB.C...B... B91 C97 A95 D96 E96 
12 11 1	.D.....D......AAC...B.C.EEB.C...B... B91 C95 A94 D96 E94 
12 11 1	.D..C..D..C..AA.C...B...EEB.....B... B91 C97 A93 D96 E94 
12 11 1	....C..D..C..DAAC...B...EEB.....B... D95 C97 A94 B91 E94 
12 11 1	....C.....C..DAAC..DB...EEB.....B... D94 C97 A94 B91 E94 
12 11 1	.D.....DB...AAB.....B.C.EE..C.....C. B89 C94 A96 D96 E94 
12 10 2	.DB....DB...AAB.C.....C..EE.C....... B94 C95 A96 D96 E97 
12 10 2	.D.....D....AAB.C...B.C.EEB.C....... B92 C95 A96 D96 E94 
12 10 2	.DB....DB.C.AAB.C.....C.....EE...... B94 C98 A96 D96 E96 
12 10 2	.D.....D....AAB.C...B.C.EEB.C....... B92 C95 A96 D96 E94 
12 10 2	.D.....D....AAB.C...B.C.EEB.C....... B94 C97 A96 D96 E96 
12 10 2	.D.....DB...AAB.C...B.C..EE.C....... B95 C95 A96 D96 E93 
12 10 2	.DB....DB...AAB.C.....C...EEC....... B94 C95 A96 D96 E96 
13 13 0	.......DB....DBAA...B.C.EE..C.....C. D95 A93 B89 C94 E94 
13 13 0	.D.....DB.....BAA...B.C...EEC.....C. B89 C94 A93 D96 E92 
13 13 0	.......D.....DBAA...B.C.EEB.C.....C. D95 A93 B90 C94 E94 
13 13 0	.......D.....D..AA..B.C.EEB.C...B.C. D95 A92 B91 C94 E94 
