0 0 0	...BYYGGGBS..AACS.F..C..F..CPPF.DDOO 
6 6 0	YY.B..GGGBS.AA..S.F..C..F..CPPFDDCOO Y96 B98 A99 C99 D99 
6 6 0	YY..S.GGGBS.AA.B..F..C..F..CPPFDDCOO Y96 B99 S99 A99 C99 D99 
6 6 0	..YYS.GGGBS.FAAB..F..C..F..CPP.DDCOO Y98 B99 S99 F99 C99 D99 
6 6 0	.YYB..GGGBS.FAA.S.F..C..F..CPP.DDCOO Y97 B98 F99 C99 D99 
6 6 0	.YY.S.GGGBS.FAAB..F..C..F..CPP.DDCOO Y97 B99 S99 F99 C99 D99 
6 6 0	YY.B..GGGBS.FAA.S.F..C..F..CPP.DDCOO Y96 B98 F99 C99 D99 
6 6 0	YY..S.GGGBS.FAAB..F..C..F..CPP.DDCOO Y96 B99 S99 F99 C99 D99 
6 6 0	..YYS.GGGBS.FAAB..F..C..F..CPPDD.COO Y98 B99 S99 F99 C99 D98 
6 6 0	.YYB..GGGBS.FAA.S.F..C..F..CPPDD.COO Y97 B98 F99 C99 D98 
6 6 0	.YY.S.GGGBS.FAAB..F..C..F..CPPDD.COO Y97 B99 S99 F99 C99 D98 
6 6 0	YY.B..GGGBS.FAA.S.F..C..F..CPPDD.COO Y96 B98 F99 C99 D98 
6 6 0	YY..S.GGGBS.FAAB..F..C..F..CPPDD.COO Y96 B99 S99 F99 C99 D98 
6 6 0	.YYBS.GGGBS..AA...F..C..F..CPPFDDCOO Y97 B98 S99 C99 D99 
6 6 0	.YYB..GGGBS...AAS.F..C..F..CPPFDDCOO Y97 B98 A99 C99 D99 
6 6 0	.YYB..GGGBS..AACS.F..C..F..CPPFDD.OO Y97 B98 C98 D99 
6 6 0	YY.BS.GGGBS..AA...F..C..F..CPPFDDCOO Y96 B98 S99 C99 D99 
6 6 0	YY.B..GGGBS...AAS.F..C..F..CPPFDDCOO Y96 B98 A99 C99 D99 
