3 3 0	.F.HHY.F...YC.AADEC...DEC.RITTBBRIPP C98 H98 F98 
3 3 0	...HHY....DYCFAADECF...EC.RITTBBRIPP C98 H98 D99 
3 3 0	...HHY.....YCFAADECFR.DEC.RITTBB.IPP C98 H98 R99 
3 3 0	...HHY.....YCFAADECF.IDEC.RITTBBR.PP C98 H98 I99 
3 3 0	.HH..Y.....YCAA.DECF..DECFRITTBBRIPP C98 F99 A99 
3 3 0	.HH..Y....DYC.AADECF...ECFRITTBBRIPP C98 F99 D99 
3 3 0	.HH.DY....DYC.AA.ECF...ECFRITTBBRIPP C98 F99 D98 
3 3 0	.HH..Y.....YC.AADECFR.DECFRITTBB.IPP C98 F99 R99 
3 3 0	.HH..Y.....YC.AADECF.IDECFRITTBBR.PP C98 F99 I99 
3 3 0	.HH..Y.F..DYCFAADEC....EC.RITTBBRIPP C98 F99 D99 
3 3 0	.HH.DY.F..DYCFAA.EC....EC.RITTBBRIPP C98 F99 D98 
3 3 0	.HH..Y.F...YCFAADEC.R.DEC.RITTBB.IPP C98 F99 R99 
3 3 0	.HH..Y.F...YCFAADEC..IDEC.RITTBBR.PP C98 F99 I99 
3 3 0	.HH..Y....DYCFAADECFR..EC.RITTBB.IPP C98 D99 R99 
3 3 0	.HH..Y....DYCFAADECF.I.EC.RITTBBR.PP C98 D99 I99 
3 3 0	.HH.DY....DYCF.AAECF...EC.RITTBBRIPP C98 A99 D98 
3 3 0	.HH.DY....DYCFAA.ECFR..EC.RITTBB.IPP C98 D98 R99 
3 3 0	.HH.DY....DYCFAA.ECF.I.EC.RITTBBR.PP C98 D98 I99 
3 3 0	.HH..Y.....YCFAADECFRIDEC.RITTBB..PP C98 R99 I99 
3 3 0	.HH..Y.....YCFAADECFR.DEC.RITT.BBIPP C98 R99 B99 
3 3 0	.HH..Y.....YCFAADECF.IDEC.RITTBBRPP. C98 I99 P99 
3 3 0	C.HH.YC....YCAA.DE.F..DE.FRITTBBRIPP H99 F99 A99 
3 3 0	C.HH.YC...DYC.AADE.F...E.FRITTBBRIPP H99 F99 D99 
3 3 0	C.HHDYC...DYC.AA.E.F...E.FRITTBBRIPP H99 F99 D98 
3 3 0	C.HH.YC....YC.AADE.FR.DE.FRITTBB.IPP H99 F99 R99 
3 3 0	C.HH.YC....YC.AADE.F.IDE.FRITTBBR.PP H99 F99 I99 
3 3 0	C.HH.YCF..DYCFAADE.....E..RITTBBRIPP H99 F99 D99 
3 3 0	C.HHDYCF..DYCFAA.E.....E..RITTBBRIPP H99 F99 D98 
3 3 0	C.HH.YCF...YCFAADE..R.DE..RITTBB.IPP H99 F99 R99 
3 3 0	C.HH.YCF...YCFAADE...IDE..RITTBBR.PP H99 F99 I99 
3 3 0	CFHH.YCF...YCAA.DE....DE..RITTBBRIPP H99 F98 A99 
3 3 0	CFHH.YCF..DYC.AADE.....E..RITTBBRIPP H99 F98 D99 
3 3 0	CFHHDYCF..DYC.AA.E.....E..RITTBBRIPP H99 F98 D98 
3 3 0	CFHH.YCF...YC.AADE..R.DE..RITTBB.IPP H99 F98 R99 
3 3 0	CFHH.YCF...YC.AADE...IDE..RITTBBR.PP H99 F98 I99 
3 3 0	C.HH.YC...DYCFAADE.FR..E..RITTBB.IPP H99 D99 R99 
3 3 0	C.HH.YC...DYCFAADE.F.I.E..RITTBBR.PP H99 D99 I99 
3 3 0	C.HHDYC...DYCF.AAE.F...E..RITTBBRIPP H99 A99 D98 
3 3 0	C.HHDYC...DYCFAA.E.FR..E..RITTBB.IPP H99 D98 R99 
3 3 0	C.HHDYC...DYCFAA.E.F.I.E..RITTBBR.PP H99 D98 I99 
3 3 0	C.HH.YC....YCFAADE.FRIDE..RITTBB..PP H99 R99 I99 
3 3 0	C.HH.YC....YCFAADE.FR.DE..RITT.BBIPP H99 R99 B99 
3 3 0	C.HH.YC....YCFAADE.F.IDE..RITTBBRPP. H99 I99 P99 
3 3 0	C..HHYC....YCAA.DE.F..DE.FRITTBBRIPP H98 F99 A99 
3 3 0	C..HHYC...DYC.AADE.F...E.FRITTBBRIPP H98 F99 D99 
3 3 0	C..HHYC....YC.AADE.FR.DE.FRITTBB.IPP H98 F99 R99 
3 3 0	C..HHYC....YC.AADE.F.IDE.FRITTBBR.PP H98 F99 I99 
3 3 0	C..HHYCF..DYCFAADE.....E..RITTBBRIPP H98 F99 D99 
3 3 0	C..HHYCF...YCFAADE..R.DE..RITTBB.IPP H98 F99 R99 
3 3 0	C..HHYCF...YCFAADE...IDE..RITTBBR.PP H98 F99 I99 
3 3 0	CF.HHYCF...YCAA.DE....DE..RITTBBRIPP H98 F98 A99 
3 3 0	CF.HHYCF..DYC.AADE.....E..RITTBBRIPP H98 F98 D99 
3 3 0	CF.HHYCF...YC.AADE..R.DE..RITTBB.IPP H98 F98 R99 
3 3 0	CF.HHYCF...YC.AADE...IDE..RITTBBR.PP H98 F98 I99 
3 3 0	C..HHYC...DYCFAADE.FR..E..RITTBB.IPP H98 D99 R99 
3 3 0	C..HHYC...DYCFAADE.F.I.E..RITTBBR.PP H98 D99 I99 
3 3 0	C..HHYC....YCFAADE.FRIDE..RITTBB..PP H98 R99 I99 
3 3 0	C..HHYC....YCFAADE.FR.DE..RITT.BBIPP H98 R99 B99 
3 3 0	C..HHYC....YCFAADE.F.IDE..RITTBBRPP. H98 I99 P99 
3 3 0	CHH..YC...DYCAA.DE.F...E.FRITTBBRIPP F99 A99 D99 
3 3 0	CHH.DYC...DYCAA..E.F...E.FRITTBBRIPP F99 A99 D98 
3 3 0	CHH..YC....YCAA.DE.FR.DE.FRITTBB.IPP F99 A99 R99 
3 3 0	CHH..YC....YCAA.DE.F.IDE.FRITTBBR.PP F99 A99 I99 
3 3 0	CHH..YC....YCAAIDE.F.IDE.FR.TTBBR.PP F99 A99 I98 
3 3 0	CHH..YC..I.YCAAIDE.F..DE.FR.TTBBR.PP F99 A99 I97 
3 3 0	CHHI.YC..I.YCAA.DE.F..DE.FR.TTBBR.PP F99 A99 I96 
3 3 0	CHH..YC...DYC.AADE.FR..E.FRITTBB.IPP F99 D99 R99 
3 3 0	CHH..YC...DYC.AADE.F.I.E.FRITTBBR.PP F99 D99 I99 
3 3 0	CHH.DYC...DYC..AAE.F...E.FRITTBBRIPP F99 A99 D98 
3 3 0	CHH.DYC...DYC.AA.E.FR..E.FRITTBB.IPP F99 D98 R99 
3 3 0	CHH.DYC...DYC.AA.E.F.I.E.FRITTBBR.PP F99 D98 I99 
3 3 0	CHH..YC....YC.AADE.FRIDE.FRITTBB..PP F99 R99 I99 
3 3 0	CHH..YC....YC.AADE.FR.DE.FRITT.BBIPP F99 R99 B99 
3 3 0	CHH..YC....YC.AADE.F.IDE.FRITTBBRPP. F99 I99 P99 
3 3 0	CHH..YCF..DYCFAADE..R..E..RITTBB.IPP F99 D99 R99 
3 3 0	CHH..YCF..DYCFAADE...I.E..RITTBBR.PP F99 D99 I99 
3 3 0	CHH.DYCF..DYCF.AAE.....E..RITTBBRIPP F99 A99 D98 
3 3 0	CHH.DYCF..DYCFAA.E..R..E..RITTBB.IPP F99 D98 R99 
3 3 0	CHH.DYCF..DYCFAA.E...I.E..RITTBBR.PP F99 D98 I99 
3 3 0	CHH..YCF...YCFAADE..RIDE..RITTBB..PP F99 R99 I99 
3 3 0	CHH..YCF...YCFAADE..R.DE..RITT.BBIPP F99 R99 B99 
3 3 0	CHH..YCF...YCFAADE...IDE..RITTBBRPP. F99 I99 P99 
3 3 0	CHH..YC...DYCFAADE.FRI.E..RITTBB..PP D99 R99 I99 
3 3 0	CHH..YC...DYCFAADE.FR..E..RITT.BBIPP D99 R99 B99 
3 3 0	CHH..YC...DYCFAADE.F.I.E..RITTBBRPP. D99 I99 P99 
3 3 0	CHH.DYC...DYCF.AAE.FR..E..RITTBB.IPP A99 D98 R99 
3 3 0	CHH.DYC...DYCFRAAE.FR..E...ITTBB.IPP A99 D98 R98 
3 3 0	CHH.DYC.R.DYCFRAAE.F...E...ITTBB.IPP A99 D98 R97 
3 3 0	CHH.DYC...DYCF.AAE.F.I.E..RITTBBR.PP A99 D98 I99 
3 3 0	CHH.DYC...DYCFAA.E.FRI.E..RITTBB..PP D98 R99 I99 
3 3 0	CHH.DYC...DYCFAA.E.FR..E..RITT.BBIPP D98 R99 B99 
3 3 0	CHH.DYC...DYCFAA.E.F.I.E..RITTBBRPP. D98 I99 P99 
3 3 0	CHH..YC....YCFAADE.FRIDE..RITT.BB.PP R99 I99 B99 
3 3 0	CHH..YC....YCFAADE.FRIDE..RITT..BBPP R99 I99 B98 
3 3 0	CHH..YC....YCFAADE.FRIDE..RITTBB.PP. R99 I99 P99 
3 3 0	CHH..YC....YCFAADE.FRIDE..RITTBBPP.. R99 I99 P98 
3 3 0	.HH..Y.....Y.FAADECFR.DEC.RITTCBBIPP C97 R99 B99 
4 4 0	HH...YC....YCAA.DECF..DE.FRITTBBRIPP H99 C99 F99 A99 
4 4 0	HH...YC...DYC.AADECF...E.FRITTBBRIPP H99 C99 F99 D99 
4 4 0	HH..DYC...DYC.AA.ECF...E.FRITTBBRIPP H99 C99 F99 D98 
4 4 0	HH...YC....YC.AADECFR.DE.FRITTBB.IPP H99 C99 F99 R99 
4 4 0	HH...YC....YC.AADECF.IDE.FRITTBBR.PP H99 C99 F99 I99 
4 4 0	HH...YCF..DYCFAADEC....E..RITTBBRIPP H99 C99 F99 D99 
4 4 0	HH..DYCF..DYCFAA.EC....E..RITTBBRIPP H99 C99 F99 D98 
4 4 0	HH...YCF...YCFAADEC.R.DE..RITTBB.IPP H99 C99 F99 R99 
4 4 0	HH...YCF...YCFAADEC..IDE..RITTBBR.PP H99 C99 F99 I99 
