3 3 0	FFFEED...RODUAARO.U.BBB.III..JTT...J U99 J98 T96 
3 3 0	FFF.EEU..RODUAAROD..BBBJIII..J....TT E99 D99 J99 
3 3 0	FFFEE.U..RODUAAROD.BBB.JIII..J....TT D99 J99 B99 
3 3 0	FFFEE.U..RODUAARODBBB..JIII..J....TT D99 J99 B98 
3 3 0	FFFEE.U..RODUAAROD..BBBJ.III.J....TT D99 J99 I99 
3 3 0	FFFEE.U..RODUAAROD..BBBJ..IIIJ....TT D99 J99 I98 
3 3 0	FFFEE.U..RODUAAROD..BBBJIII..J...TT. D99 J99 T99 
3 3 0	FFFEE.U..RODUAAROD..BBBJIII..J..TT.. D99 J99 T98 
3 3 0	FFFEE.U..RODUAAROD..BBBJIII..J.TT... D99 J99 T97 
3 3 0	FFFEE.U..RODUAAROD..BBBJIII..JTT.... D99 J99 T96 
3 3 0	FFFEEDU..R.DUAARO..BBBOJIII..J....TT O99 J99 B99 
3 3 0	FFFEEDU..R.DUAAR...BBBOJIII.OJ....TT O98 J99 B99 
3 3 0	FFFEEDU..RODUAARO..BBB.J.III.J....TT J99 B99 I99 
3 3 0	FFFEEDU..RODUAARO..BBB.J..IIIJ....TT J99 B99 I98 
3 3 0	FFFEEDU..RODUAARO..BBB.JIII..J...TT. J99 B99 T99 
3 3 0	FFFEEDU..RODUAARO..BBB.JIII..J..TT.. J99 B99 T98 
3 3 0	FFFEEDU..RODUAARO..BBB.JIII..J.TT... J99 B99 T97 
3 3 0	FFFEEDU..RODUAARO..BBB.JIII..JTT.... J99 B99 T96 
3 3 0	FFFEEDU...ODUAARO.BBBR.JIII..J....TT R99 J99 B98 
3 3 0	FFFEEDU...ODUAA.O.BBBR.JIIIR.J....TT R98 J99 B98 
3 3 0	FFFEEDU...ODUAA.O.BBB..JIIIR.J...RTT R97 J99 B98 
3 3 0	FFFEEDU..R.DUAARO.BBB.OJIII..J....TT O99 J99 B98 
3 3 0	FFFEEDU..R.DUAAR..BBB.OJIII.OJ....TT O98 J99 B98 
3 3 0	FFFEEDU..RODUAARO.BBB..J.III.J....TT J99 B98 I99 
3 3 0	FFFEEDU..RODUAARO.BBB..J..IIIJ....TT J99 B98 I98 
3 3 0	FFFEEDU..RODUAARO.BBB..JIII..J...TT. J99 B98 T99 
3 3 0	FFFEEDU..RODUAARO.BBB..JIII..J..TT.. J99 B98 T98 
3 3 0	FFFEEDU..RODUAARO.BBB..JIII..J.TT... J99 B98 T97 
3 3 0	FFFEEDU..RODUAARO.BBB..JIII..JTT.... J99 B98 T96 
3 3 0	FFFEED...ROD.AARO.U.BBBJUIII.J....TT U98 J99 I99 
3 3 0	FFFEED...ROD.AARO...BBBJUIII.JU...TT U97 J99 I99 
3 3 0	FFFEEDU..RODUAARO...BBBJ.III.J...TT. J99 I99 T99 
3 3 0	FFFEEDU..RODUAARO...BBBJ.III.J..TT.. J99 I99 T98 
3 3 0	FFFEEDU..RODUAARO...BBBJ.III.J.TT... J99 I99 T97 
3 3 0	FFFEEDU..RODUAARO...BBBJ.III.JTT.... J99 I99 T96 
3 3 0	FFFEED...ROD.AARO.U.BBBJU.IIIJ....TT U98 J99 I98 
3 3 0	FFFEED...ROD.AARO...BBBJU.IIIJU...TT U97 J99 I98 
3 3 0	FFFEEDU..RODUAARO...BBBJ..IIIJ...TT. J99 I98 T99 
3 3 0	FFFEEDU..RODUAARO...BBBJ..IIIJ..TT.. J99 I98 T98 
3 3 0	FFFEEDU..RODUAARO...BBBJ..IIIJ.TT... J99 I98 T97 
3 3 0	FFFEEDU..RODUAARO...BBBJ..IIIJTT.... J99 I98 T96 
3 3 0	FFFEEDU..R.DUAAROJ.BBBOJ.III......TT O99 B99 I99 
3 3 0	FFFEEDU..R.DUAAROJ.BBBOJ..III.....TT O99 B99 I98 
3 3 0	FFFEEDU..R.DUAAROJ.BBBOJ...III....TT O99 B99 I97 
3 3 0	FFFEEDU..R.DUAAROJ.BBBOJIII......TT. O99 B99 T99 
3 3 0	FFFEEDU..R.DUAAROJ.BBBOJIII.....TT.. O99 B99 T98 
3 3 0	FFFEEDU..R.DUAAROJ.BBBOJIII....TT... O99 B99 T97 
3 3 0	FFFEEDU..R.DUAAROJ.BBBOJIII...TT.... O99 B99 T96 
3 3 0	FFFEEDU..R.DUAAR.J.BBBOJ.IIIO.....TT O98 B99 I99 
3 3 0	FFFEEDU..R.DUAAR.J.BBBOJIII.O....TT. O98 B99 T99 
3 3 0	FFFEEDU..R.DUAAR.J.BBBOJIII.O...TT.. O98 B99 T98 
3 3 0	FFFEEDU..R.DUAAR.J.BBBOJIII.O..TT... O98 B99 T97 
