6 3 3	........D.B.AADGB...DGB.ECCG..E...FF D99 B98 F98 
6 3 3	..D.....DG..AADGB....GB.ECC.B.E..FF. G99 B99 F99 
6 4 2	........D.B.AAD.B...DGB.ECCG..E..GFF D99 G99 B98 F98 
6 3 3	..DG....DG..AADGB.....B.ECC.B.E...FF G98 B99 F98 
6 3 3	..D.....DG..AADGB....GB.ECC.B.E...FF G99 B99 F98 
6 3 3	..D.B...DGB.AADGB....G..ECC...EFF... G99 B97 F99 
6 3 3	..D.....DGB.AADGB....GB.ECC...EFF... G99 B98 F99 
6 3 3	........D...AADGB...DGB.ECCGB.E...FF D99 B99 F98 
6 3 3	..DG....DGB.AADGB.....B.ECC...E..FF. G98 B98 F99 
6 3 3	..D.....DG..AADGB....GB.ECC.B.EFF... G99 B99 F99 
6 3 3	..DG....DGB.AADGB.....B.E...CCE.FF.. G98 B98 C97 
6 3 3	..DG....DGB.AADGB.....B.E..CC.E.FF.. G98 B98 C98 
6 3 3	....B...D.B.AADGB...DG..ECCG..EFF... D99 B97 F99 
6 3 3	..D.....D.B.AADGB....GB.ECCG..E.FF.. G96 B98 
6 3 3	..DG....DGB.AADGB.E...B.ECC.....FF.. G98 B98 E99 
6 3 3	........D.B.AADGB...DGB.ECCG..EFF... D99 B98 F99 
6 3 3	..DG....DG..AADGB.E...B.ECC.B...FF.. G98 B99 E99 
6 3 3	..D.....D.B.AADGB.E..GB.ECCG......FF B98 E99 F98 
6 3 3	..DGB...DGB.AADGB.......E...CCE.FF.. G98 B97 C97 
6 4 2	..D.....D.B.AAD.B.E..GB.ECCG.....GFF G99 B98 E99 F98 
6 3 3	..DG....DGB.AADGB.....B.ECC...EFF... G98 B98 F99 
6 3 3	........D...AADGB...DGB.ECCGB.EFF... D99 B99 F99 
6 3 3	..DG....DG..AADGB.....B.ECC.B.EFF... G98 B99 F99 
6 3 3	..D.....DGB.AADGB.E..GB.ECC.....FF.. G99 B98 E99 
6 3 3	..D.....DG..AADGB.E..GB.ECC.B...FF.. G99 B99 E99 
6 3 3	..D.B...DGB.AADGB.E..G..ECC.....FF.. G99 B97 E99 
6 4 2	..D.....D...AAD.B.E..GB.ECCGB....GFF G99 B99 E99 F98 
6 3 3	..D.....D.B.AADGB.E..GB.ECCG..FF.... B98 E99 F98 
6 3 3	..DGB...DGB.AADGB.......E.CC..E.FF.. G98 B97 C99 
6 4 2	..D.....D.B.AAD.B.E..GB.ECCG..FF.G.. G99 B98 E99 F98 
6 3 3	..DG....DGB.AADGB.....B.E.CC..E.FF.. G98 B98 C99 
6 3 3	..DG....DG..AADGB.....B.E.CCB.E.FF.. G98 B99 C99 
6 4 2	........D...AAD.B...DGB.ECCGB.E..GFF D99 B99 G99 F98 
6 4 2	...G....DG..AADG....D.B.E.CCB.EFF.B. D99 G98 C99 F99 
6 4 2	..DG....DG..AADG..E...B.E.CCB..FF.B. G98 E99 C99 F99 
6 3 3	...GB...DGB.AADGB...D...ECC...E.FF.. D99 G98 B97 
6 3 3	..D.....D.B.AADGB.E..GB.ECCG.....FF. B98 E99 F99 
6 3 3	...G....DGB.AADGB...D.B.ECC...E.FF.. D99 G98 B98 
6 3 3	...G....DG..AADGB...D.B.ECC.B.E.FF.. D99 G98 B99 
6 3 3	..D.....D.B.AADGB.E..GB.ECCG...FF... B98 E99 F99 
6 3 3	........DG..AADGB...DGB.ECC.B.E.FF.. D99 G99 B99 
