3 3 0	.B.....B.CDE.AACDESHHHDES.VG....VG.. S98 H99 G99 
3 3 0	.B.....B.CDE.AACDE.HHHDES.VG..S.VG.. S97 H99 G99 
4 4 0	SB.C..SB.C...AA.DEHHHGDE..VGDE..V... S99 C99 D99 E99 
4 4 0	SB.C..SB.C...AA.D.HHHGDE..VGDE..V..E S99 C99 D99 E98 
4 4 0	SB.C.ESB.C.E.AA.DEHHHGD...VGD...V... S99 C99 D99 E99 
4 4 0	SB.C..SB.C.EAA..DEHHHGDE..VGD...V... S99 C99 D99 A99 
4 4 0	SB.C..SB.C.E..AADEHHHGDE..VGD...V... S99 C99 D99 A99 
4 4 0	SB.C..SB.C.E.AA.DEHHH.DE..VGD...VG.. S99 C99 D99 G99 
4 4 0	SB.C..SB.C.E.AAGDEHHHGDE..V.D...V... S99 C99 D99 G99 
4 4 0	SB.C..SB.C...AA..EHHHGDE..VGDE..V.D. S99 C99 D98 E99 
4 4 0	SB.C..SB.C...AA...HHHGDE..VGDE..V.DE S99 C99 D98 E98 
4 4 0	SB.C.ESB.C.E.AA..EHHHGD...VGD...V.D. S99 C99 D98 E99 
4 4 0	SB.C..SB.C.EAA...EHHHGDE..VGD...V.D. S99 C99 D98 A99 
4 4 0	SB.C..SB.C.E..AA.EHHHGDE..VGD...V.D. S99 C99 D98 A99 
4 4 0	SB.C..SB.C.E...AAEHHHGDE..VGD...V.D. S99 C99 D98 A98 
4 4 0	SB.C..SB.C.E.AA..EHHH.DE..VGD...VGD. S99 C99 D98 G99 
4 4 0	SB.C..SB.C.E.AAG.EHHHGDE..V.D...V.D. S99 C99 D98 G99 
4 4 0	SB.CD.SB.CD..AA.DEHHHG.E..VG.E..V... S99 C99 D99 E99 
4 4 0	SB.CD.SB.CD..AA.D.HHHG.E..VG.E..V..E S99 C99 D99 E98 
4 4 0	SB.CDESB.CDE.AA.DEHHHG....VG....V... S99 C99 D99 E99 
4 4 0	SB.CD.SB.CDEAA..DEHHHG.E..VG....V... S99 C99 D99 A99 
4 4 0	SB.CD.SB.CDE..AADEHHHG.E..VG....V... S99 C99 D99 A99 
4 4 0	SB.CD.SB.CDE.AA.DEHHH..E..VG....VG.. S99 C99 D99 G99 
4 4 0	SB.CD.SB.CDE.AAGDEHHHG.E..V.....V... S99 C99 D99 G99 
4 4 0	SB.C..SB.CD.AA..DEHHHGDE..VG.E..V... S99 C99 E99 A99 
4 4 0	SB.C..SB.CD...AADEHHHGDE..VG.E..V... S99 C99 E99 A99 
4 4 0	SB.C..SB.CD..AA.DEHHH.DE..VG.E..VG.. S99 C99 E99 G99 
4 4 0	SB.C..SB.CD..AAGDEHHHGDE..V..E..V... S99 C99 E99 G99 
4 4 0	SB.C..SB.CD.AA..D.HHHGDE..VG.E..V..E S99 C99 E98 A99 
4 4 0	SB.C..SB.CD...AAD.HHHGDE..VG.E..V..E S99 C99 E98 A99 
4 4 0	SB.C..SB.CD..AA.D.HHH.DE..VG.E..VG.E S99 C99 E98 G99 
4 4 0	SB.C..SB.CD..AAGD.HHHGDE..V..E..V..E S99 C99 E98 G99 
4 4 0	SB.C.ESB.CDEAA..DEHHHGD...VG....V... S99 C99 E99 A99 
4 4 0	SB.C.ESB.CDE..AADEHHHGD...VG....V... S99 C99 E99 A99 
4 4 0	SB.C.ESB.CDE.AA.DEHHH.D...VG....VG.. S99 C99 E99 G99 
4 4 0	SB.C.ESB.CDE.AAGDEHHHGD...V.....V... S99 C99 E99 G99 
4 4 0	SB.C..SB.CDEAA..DEHHH.DE..VG....VG.. S99 C99 A99 G99 
4 4 0	SB.C..SB.CDEAA.GDEHHHGDE..V.....V... S99 C99 A99 G99 
4 4 0	S..C..SB.CDE.BAADEHHHGDE..VG....V... B99 S99 C99 A99 
4 4 0	SB.C..SB.CDE..AADEHHH.DE..VG....VG.. S99 C99 A99 G99 
4 4 0	SB.C..SB.CDE.AA.DE.HHHDE..VG....VG.. S99 C99 H99 G99 
4 4 0	SB....SB.C..AA.CDEHHHGDE..VGDE..V... S99 D99 E99 A99 
4 4 0	SB....SB.C...AACDEHHH.DE..VGDE..VG.. S99 D99 E99 G99 
4 4 0	SB....SB.C..AA.CD.HHHGDE..VGDE..V..E S99 D99 E98 A99 
