3 0 3	JJJ.PSFF..PSHAADPUH.NDLUBINDLOBINGGO 
7 4 3	HJJJPSHFF.PS.AADPUB.NDLUBINDLO.INGGO J99 F99 H98 B99 
7 4 3	.JJJPS.FFDPSHAADPUHINDLUBIN.LOB.NGGO J99 F99 D99 I99 
7 4 3	JJJDPSHFFDPSHAADPU.IN.LUBIN.LOB.NGGO F99 H99 D98 I99 
7 4 3	HJJJPSHFF.PS.AADPU.INDLUBINDLOB.NGGO J99 F99 H98 I99 
7 4 3	JJJ.PSHFFDPSHAADPUB.NDLUBIN.LO.INGGO F99 H99 D99 B99 
7 4 3	HJJJPSH.FFPS.AADPUB.NDLUBINDLO.INGGO J99 F98 H98 B99 
7 4 3	JJJ.PSHFF.PSHAADPUBINDLUBINDLO..NGGO F99 H99 B99 I99 
7 4 3	JJJDPSHFFDPSHAADPUB.N.LUBIN.LO.INGGO F99 H99 D98 B99 
7 4 3	HJJJPSH.FFPSAA.DPU..NDLUBINDLOBINGGO J99 F98 H98 A99 
7 4 3	HJJJPSHFF.PSAA.DPU..NDLUBINDLOBINGGO J99 F99 H98 A99 
7 4 3	.JJJPSHFF.PSHAADPU.INDLUBINDLOB.NGGO J99 F99 H99 I99 
7 4 3	JJJ.PSH.FFPSHAADPUBINDLUBINDLO..NGGO F98 H99 B99 I99 
7 4 3	HJJJPSHFF.PSBAADPUB.NDLU.INDLO.INGGO J99 F99 H98 B98 
7 4 3	HJJJPSHFFDPS.AADPU..NDLUBIN.LOBINGGO J99 F99 H98 D99 
7 4 3	.JJJPSHFFDPSHAADPU..NDLUBIN.LOBINGGO J99 F99 H99 D99 
7 4 3	.JJJPSH.FFPSHAADPUB.NDLUBINDLO.INGGO J99 F98 H99 B99 
7 4 3	.JJJPSH.FFPSHAADPU.INDLUBINDLOB.NGGO J99 F98 H99 I99 
8 5 3	HJJJPSH.FFPSBAADPUBINDLU.INDLO..NGGO J99 F98 H98 B98 I99 
8 5 3	.JJJPSHFFDPSHAADPU.INDLUBIN.LOB.NGGO J99 F99 H99 D99 I99 
8 5 3	JJJDPSHFFDPSHAADPUBIN.LUBIN.LO..NGGO F99 H99 D98 B99 I99 
8 5 3	HJJJPSH.FFPSAA.DPUB.NDLUBINDLO.INGGO J99 F98 H98 A99 B99 
8 5 3	HJJJPSHFF.PSAA.DPU.INDLUBINDLOB.NGGO J99 F99 H98 A99 I99 
8 5 3	JJJ.PSHFFDPSHAADPUBINDLUBIN.LO..NGGO F99 H99 D99 B99 I99 
8 5 3	.JJJPSHFF.PSHAADPUBINDLUBINDLO..NGGO J99 F99 H99 B99 I99 
8 5 3	HJJJPSHFFDPS.AADPU.INDLUBIN.LOB.NGGO J99 F99 H98 D99 I99 
8 5 3	HJJJPSHFFDPS.AADPUB.NDLUBIN.LO.INGGO J99 F99 H98 D99 B99 
8 5 3	.JJJPSHFFDPSHAADPUB.NDLUBIN.LO.INGGO J99 F99 H99 D99 B99 
8 5 3	HJJJPSHFF.PSBAADPUBINDLU.INDLO..NGGO J99 F99 H98 B98 I99 
8 5 3	HJJJPSH.FFPS.AADPUBINDLUBINDLO..NGGO J99 F98 H98 B99 I99 
8 5 3	HJJJPSH.FFPSAA.DPU.INDLUBINDLOB.NGGO J99 F98 H98 A99 I99 
8 5 3	HJJJPSHFF.PSAA.DPUB.NDLUBINDLO.INGGO J99 F99 H98 A99 B99 
8 5 3	HJJJPSHFF.PS.AADPUBINDLUBINDLO..NGGO J99 F99 H98 B99 I99 
8 5 3	HJJJPSHFFDPSAA.DPU..NDLUBIN.LOBINGGO J99 F99 H98 A99 D99 
8 5 3	.JJJPSH.FFPSHAADPUBINDLUBINDLO..NGGO J99 F98 H99 B99 I99 
8 5 3	HJJJPSHFFDPSBAADPUB.NDLU.IN.LO.INGGO J99 F99 H98 D99 B98 
9 5 4	HJJJPSHFF.PSAANDPU..NDLUBINDLOBI.GGO J99 F99 H98 A99 N99 
9 5 4	HJJJPSH.FFPSAANDPU..NDLUBINDLOBI.GGO J99 F98 H98 A99 N99 
9 6 3	.JJJPSHFFDPSHAADPUBINDLUBIN.LO..NGGO J99 F99 H99 D99 B99 I99 
9 6 3	HJJJPSHFFDPSAA.DPU.INDLUBIN.LOB.NGGO J99 F99 H98 A99 D99 I99 
9 6 3	HJJJPSH.FFPSAA.DPUBINDLUBINDLO..NGGO J99 F98 H98 A99 B99 I99 
9 6 3	HJJJPSHFF.PSAA.DPUBINDLUBINDLO..NGGO J99 F99 H98 A99 B99 I99 
9 6 3	HJJJPSHFFDPSBAADPUBINDLU.IN.LO..NGGO J99 F99 H98 D99 B98 I99 
9 6 3	HJJJPSHFFDPS.AADPUBINDLUBIN.LO..NGGO J99 F99 H98 D99 B99 I99 
9 6 3	HJJJPSHFFDPSAA.DPUB.NDLUBIN.LO.INGGO J99 F99 H98 A99 D99 B99 
10 6 4	HJJJPSHFF.PSAANDPU..NDLUBINDLOBIGG.O J99 F99 H98 A99 N99 G99 
10 7 3	HJJJPSHFFDPSAA.DPUBINDLUBIN.LO..NGGO J99 F99 H98 A99 D99 B99 I99 
10 6 4	HJJJPSHFF.PSAANDPU.INDLUBINDLOB..GGO J99 F99 H98 A99 N99 I99 
10 6 4	HJJJPSH.FFPSAANDPU..NDLUBINDLOBIGG.O J99 F98 H98 A99 N99 G99 
10 6 4	HJJJPSHFFDPSAANDPU..NDLUBIN.LOBI.GGO J99 F99 H98 A99 D99 N99 
10 6 4	HJJJPSH.FFPSAANDPUB.NDLUBINDLO.I.GGO J99 F98 H98 A99 N99 B99 
10 6 4	HJJJPSHFF.PSAANDPUB.NDLUBINDLO.I.GGO J99 F99 H98 A99 N99 B99 
10 6 4	HJJJPSH.FFPSAANDPU.INDLUBINDLOB..GGO J99 F98 H98 A99 N99 I99 
11 7 4	HJJJPSHFFDPSAANDPUB.NDLUBIN.LO.I.GGO J99 F99 H98 A99 D99 N99 B99 
11 7 4	HJJJPSHFF.PSAANDPUB.NDLUBINDLO.IGG.O J99 F99 H98 A99 N99 B99 G99 
11 7 4	HJJJPSH.FFPSAANDPU.INDLUBINDLOBGG..O J99 F98 H98 A99 N99 I99 G98 
11 7 4	HJJJPSHFF.PSAANDPU..ND.UBINDLOBIGGLO J99 F99 H98 A99 N99 L99 G99 
11 7 4	HJJJPSHFF.PSAANDPU.INDLUBINDLOB.GG.O J99 F99 H98 A99 N99 I99 G99 
11 8 3	HJJJPSH.FFPSAAN.PU.INDLUBINDLOBGGD.O J99 F98 H98 A99 D99 N99 I99 G98 
11 7 4	HJJJPSHFFDPSAANDPU..NDLUBIN.LOBIGG.O J99 F99 H98 A99 D99 N99 G99 
11 7 4	HJJJPSHFF.PSAANDPUBINDLUBINDLO...GGO J99 F99 H98 A99 N99 B99 I99 
11 7 4	HJJJPSHFFDPSAANDPU.INDLUBIN.LOB..GGO J99 F99 H98 A99 D99 N99 I99 
11 7 4	HJJJPSH.FFPSAANDPU..ND.UBINDLOBIGGLO J99 F98 H98 A99 N99 L99 G99 
11 7 4	HJJJPSH.FFPSAANDPUBINDLUBINDLO...GGO J99 F98 H98 A99 N99 B99 I99 
11 7 4	HJJJPSHFF.PSAANDPU.INDLUBINDLOBGG..O J99 F99 H98 A99 N99 I99 G98 
11 7 4	HJJJPSH.FFPSAANDPUB.NDLUBINDLO.IGG.O J99 F98 H98 A99 N99 B99 G99 
11 8 3	HJJJPSHFF.PSAAN.PU.INDLUBINDLOBGGD.O J99 F99 H98 A99 D99 N99 I99 G98 
12 8 4	HJJJPSHFFDPSAANDPUBINDLUBIN.LO...GGO J99 F99 H98 A99 D99 N99 B99 I99 
12 8 4	HJJJPSH.FFPSAANDPUBINDLUBINDLO.GG..O J99 F98 H98 A99 N99 B99 I99 G98 
12 8 4	HJJJPSHFFDPSAANDPU.INDLUBIN.LOB.GG.O J99 F99 H98 A99 D99 N99 I99 G99 
12 8 4	HJJJPSHFF.PSAANDPU.IND.UBINDLOBGG.LO J99 F99 H98 A99 N99 L99 I99 G98 
12 9 3	HJJJPSHFF.PSAAN.PUBINDLUBINDLO.GGD.O J99 F99 H98 A99 D99 N99 B99 I99 G98 
12 8 4	HJJJPSHFF.PSAANDPUB.ND.UBINDLO.IGGLO J99 F99 H98 A99 N99 L99 B99 G99 
12 8 4	HJJJPSHFFDPSAANDPUB.NDLUBIN.LO.IGG.O J99 F99 H98 A99 D99 N99 B99 G99 
12 8 4	HJJJPSHFF.PSAANDPU.IND.UBINDLOB.GGLO J99 F99 H98 A99 N99 L99 I99 G99 
12 8 4	HJJJPSHFF.PSAANDPUBINDLUBINDLO..GG.O J99 F99 H98 A99 N99 B99 I99 G99 
12 9 3	HJJJPSH.FFPSAAN.PUBINDLUBINDLO.GGD.O J99 F98 H98 A99 D99 N99 B99 I99 G98 
12 8 4	HJJJPSHFF.PSAANDPUBINDLUBINDLOGG...O J99 F99 H98 A99 N99 B99 I99 G97 
12 9 3	HJJJPSHFF.PSAA.DPUBINDLUBINDLOGGN..O J99 F99 H98 A99 N98 B99 I99 G97 
12 9 3	HJJJPSHFF.PSAAN.PUBINDLUBINDLOGG.D.O J99 F99 H98 A99 D99 N99 B99 I99 G97 
12 9 3	HJJJPSHFF.PSAAN.PU.IND.UBINDLOBGGDLO J99 F99 H98 A99 D99 N99 L99 I99 G98 
12 8 4	HJJJPSH.FFPSAANDPUBINDLUBINDLO..GG.O J99 F98 H98 A99 N99 B99 I99 G99 
12 9 3	HJJJPSH.FFPSAAN.PU.IND.UBINDLOBGGDLO J99 F98 H98 A99 D99 N99 L99 I99 G98 
12 8 4	HJJJ.SH.FFPSAANDPU..NDPUBINDLOBIGGLO J99 P99 F98 H98 A99 N99 L99 G99 
12 8 4	HJJJPSHFF.PSAANDPUBINDLUBINDLO.GG..O J99 F99 H98 A99 N99 B99 I99 G98 
12 9 3	HJJJPSHFF.PSAAN.PU.INDLUBINDLOBGGD.O J99 F97 H98 A99 D99 N99 I99 G98 
12 8 4	HJJJPSHFFDPSAANDPU.INDLUBIN.LOBGG..O J99 F99 H98 A99 D99 N99 I99 G98 
12 8 4	HJJJPSH.FFPSAANDPUBINDLUBINDLOGG...O J99 F98 H98 A99 N99 B99 I99 G97 
12 8 4	HJJJPSH.FFPSAANDPU.IND.UBINDLOB.GGLO J99 F98 H98 A99 N99 L99 I99 G99 
12 8 4	HJJJPSH.FFPSAANDPU.IND.UBINDLOBGG.LO J99 F98 H98 A99 N99 L99 I99 G98 
12 10 2	HJJJPSHFF.PSAA..PUBINDLUBINDLOGGND.O J99 F99 H98 A99 D99 N98 B99 I99 G97 
12 9 3	HJJJPSH.FFPSAA.DPUBINDLUBINDLOGGN..O J99 F98 H98 A99 N98 B99 I99 G97 
12 10 2	HJJJPSH.FFPSAA..PUBINDLUBINDLOGGND.O J99 F98 H98 A99 D99 N98 B99 I99 G97 
13 9 4	HJJJPSHFFDPSAANDPU.IND.UBIN.LOB.GGLO J99 F99 H98 A99 D99 N99 L99 I99 G99 
13 9 4	HJJJPSHFFDPSAANDPUB.ND.UBIN.LO.IGGLO J99 F99 H98 A99 D99 N99 L99 B99 G99 
13 10 3	HJJJPSH.FFPSAA.DPUBINDLUBINDLOGGN..O J99 F98 H98 A99 N98 B99 I99 G97 
13 10 3	HJJJPSH.FFPS.AADPUBINDLUBINDLOGGN..O J99 F98 H98 A98 N98 B99 I99 G97 
13 10 3	HJJJPSH.FFPSAA.DPUBIND.UBINDLOGGN.LO J99 F98 H98 A99 N98 L99 B99 I99 G97 
13 11 2	HJJJPSH.FFPSAA..PUBIND.UBINDLOGGNDLO J99 F98 H98 A99 D99 N98 L99 B99 I99 G97 
13 9 4	HJJJPSHFF.PSAANDPUBIND.UBINDLOGG..LO J99 F99 H98 A99 N99 L99 B99 I99 G97 
13 9 4	HJJJPSH.FFPSAANDPUBIND.UBINDLO.GG.LO J99 F98 H98 A99 N99 L99 B99 I99 G98 
13 10 3	HJJJPSH.FFPSAAN.PUBIND.UBINDLO.GGDLO J99 F98 H98 A99 D99 N99 L99 B99 I99 G98 
13 9 4	HJJJPSHFFDPSAANDPU.IND.UBIN.LOBGG.LO J99 F99 H98 A99 D99 N99 L99 I99 G98 
13 9 4	HJJJPSHFF.PSAANDPUBIND.UBINDLO.GG.LO J99 F99 H98 A99 N99 L99 B99 I99 G98 
13 9 4	HJJJPSHFF.PSAANDPUBIND.UBINDLO..GGLO J99 F99 H98 A99 N99 L99 B99 I99 G99 
13 9 4	HJJJ.SHFF.PSAANDPU.INDPUBINDLOBGG.LO J99 P99 F99 H98 A99 N99 L99 I99 G98 
13 9 4	HJJJPSHFFDPSAANDPUBINDLUBIN.LO.GG..O J99 F99 H98 A99 D99 N99 B99 I99 G98 
13 10 3	HJJJPSHFF.PSAAN.PUBINDLUBINDLOGG.D.O J99 F99 H98 A99 D99 N99 B99 I99 G97 
13 9 4	HJJJPSHFFDPSAANDPUBINDLUBIN.LO..GG.O J99 F99 H98 A99 D99 N99 B99 I99 G99 
13 10 3	HJJJPSHFF.PSAAN.PUBIND.UBINDLO.GGDLO J99 F99 H98 A99 D99 N99 L99 B99 I99 G98 
13 9 4	HJJJPSHFFDPSAANDPUBINDLUBIN.LOGG...O J99 F99 H98 A99 D99 N99 B99 I99 G97 
13 10 3	HJJJPSH.FFPSAAN.PUBINDLUBINDLOGG.D.O J99 F98 H98 A99 D99 N99 B99 I99 G97 
13 9 4	HJJJPSH.FFPSAANDPUBIND.UBINDLO..GGLO J99 F98 H98 A99 N99 L99 B99 I99 G99 
13 11 2	HJJJPSHFF.PSAA..PUBIND.UBINDLOGGNDLO J99 F99 H98 A99 D99 N98 L99 B99 I99 G97 
13 9 4	HJJJ.SHFF.PSAANDPUB.NDPUBINDLO.IGGLO J99 P99 F99 H98 A99 N99 L99 B99 G99 
13 10 3	HJJJPSHFF.PSAA.DPUBIND.UBINDLOGGN.LO J99 F99 H98 A99 N98 L99 B99 I99 G97 
13 10 3	HJJJPSHFF.PSAAN.PUBIND.UBINDLOGG.DLO J99 F99 H98 A99 D99 N99 L99 B99 I99 G97 
13 9 4	HJJJ.SHFF.PSAANDPU.INDPUBINDLOB.GGLO J99 P99 F99 H98 A99 N99 L99 I99 G99 
13 10 3	HJJJ.SH.FFPSAAN.PU.INDPUBINDLOBGGDLO J99 P99 F98 H98 A99 D99 N99 L99 I99 G98 
13 9 4	HJJJ.SH.FFPSAANDPU.INDPUBINDLOBGG.LO J99 P99 F98 H98 A99 N99 L99 I99 G98 
13 11 2	HJJJPSH.FFPS..AAPUBINDLUBINDLOGGND.O J99 F98 H98 A97 D99 N98 B99 I99 G97 
13 11 2	HJJJPSH.FFPS.AA.PUBINDLUBINDLOGGND.O J99 F98 H98 A98 D99 N98 B99 I99 G97 
13 9 4	HJJJ.SH.FFPSAANDPU.INDPUBINDLOB.GGLO J99 P99 F98 H98 A99 N99 L99 I99 G99 
13 9 4	HJJJ.SH.FFPSAANDPUB.NDPUBINDLO.IGGLO J99 P99 F98 H98 A99 N99 L99 B99 G99 
13 11 2	HJJJPSHFF.PS..AAPUBINDLUBINDLOGGND.O J99 F99 H98 A97 D99 N98 B99 I99 G97 
13 9 4	HJJJPSH.FFPSAANDPU.INDLUBINDLOB.GG.O J99 F98 H98 A99 N99 B98 I99 G99 
13 9 4	HJJJPSH.FFPSAANDPUBIND.UBINDLOGG..LO J99 F98 H98 A99 N99 L99 B99 I99 G97 
13 11 2	HJJJPSH.FFPSAA..PUBINDLUBINDLOGGND.O J99 F98 H98 A99 D99 N98 B99 I99 G97 
13 10 3	HJJJPSH.FFPSAAN.PUBIND.UBINDLOGG.DLO J99 F98 H98 A99 D99 N99 L99 B99 I99 G97 
13 9 4	H.JJJSH.FFPSAANDPU..NDPUBINDLOBIGGLO J98 P99 F98 H98 A99 N99 L99 G99 
13 10 3	HJJJPSHFFDPSAA.DPUBINDLUBIN.LOGGN..O J99 F99 H98 A99 D99 N98 B99 I99 G97 
13 10 3	HJJJPSHFF.PS.AADPUBINDLUBINDLOGGN..O J99 F99 H98 A98 N98 B99 I99 G97 
13 11 2	HJJJPSHFF.PS.AA.PUBINDLUBINDLOGGND.O J99 F99 H98 A98 D99 N98 B99 I99 G97 
14 10 4	HJJJPSHFFDPSAANDPUBIND.UBIN.LO..GGLO J99 F99 H98 A99 D99 N99 L99 B99 I99 G99 
14 10 4	HJJJPSHFFDPSAANDPUBIND.UBIN.LOGG..LO J99 F99 H98 A99 D99 N99 L99 B99 I99 G97 
14 11 3	HJJJ.SH.FFPSAA.DPUBINDPUBINDLOGGN.LO J99 P99 F98 H98 A99 N98 L99 B99 I99 G97 
14 11 3	HJJJPSHFFDPS.AADPUBINDLUBIN.LOGGN..O J99 F99 H98 A98 D99 N98 B99 I99 G97 
14 11 3	HJJJPSHFF.PSBAADPUBINDLU.INDLOGGN..O J99 F99 H98 A98 N98 B98 I99 G97 
14 10 4	HJJJ.SHFFDPSAANDPUB.NDPUBIN.LO.IGGLO J99 P99 F99 H98 A99 D99 N99 L99 B99 G99 
14 10 4	HJJJ.SHFFDPSAANDPU.INDPUBIN.LOBGG.LO J99 P99 F99 H98 A99 D99 N99 L99 I99 G98 
14 12 2	HJJJPSHFF.PSBAA.PUBINDLU.INDLOGGND.O J99 F99 H98 A98 D99 N98 B98 I99 G97 
14 10 4	HJJJPSHFFDPSAANDPU..ND.UBIN.LOBIGGLO J99 F99 H98 A99 D99 N99 L99 I98 G99 
14 12 2	.JJJPSHFF.PSHAA.PUBINDLUBINDLOGGND.O H97 J99 F99 A98 B99 I99 N98 D99 G97 
14 11 3	HJJJPSH.FFPS.AADPUBIND.UBINDLOGGN.LO J99 F98 H98 A98 N98 L99 B99 I99 G97 
14 10 4	HJJJ.SH.FFPSAANDPUBINDPUBINDLO.GG.LO J99 P99 F98 H98 A99 N99 L99 B99 I99 G98 
14 11 3	HJJJPSH.FFPSAAN.PUBIND.UBINDLOGG.DLO J99 F98 H98 A99 D99 N99 L99 B99 I99 G97 
14 10 4	HJJJ.SHFF.PSAANDPUBINDPUBINDLO..GGLO J99 P99 F99 H98 A99 N99 L99 B99 I99 G99 
14 11 3	.JJJPSHFF.PSHAADPUBINDLUBINDLOGGN..O H97 J99 F99 A98 B99 I99 N98 G97 
14 12 2	.JJJPSH.FFPSHAA.PUBINDLUBINDLOGGND.O H97 J99 F98 A98 B99 I99 N98 D99 G97 
14 11 3	HJJJ.SH.FFPSAAN.PUBINDPUBINDLO.GGDLO J99 P99 F98 H98 A99 D99 N99 L99 B99 I99 G98 
14 12 2	HJJJPSH.FFPS.IAAPUBINDLUB.NDLOGGND.O J99 F98 H98 A97 D99 N98 B99 I98 G97 
14 12 2	HJJJPSH.FFPSB.AAPUBINDLU.INDLOGGND.O J99 F98 H98 A97 D99 N98 B98 I99 G97 
14 10 4	HJJJPSHFFDPSAANDPUBIND.UBIN.LO.GG.LO J99 F99 H98 A99 D99 N99 L99 B99 I99 G98 
14 10 4	H.JJJSHFF.PSAANDPU.INDPUBINDLOBGG.LO J98 P99 F99 H98 A99 N99 L99 I99 G98 
14 12 2	.JJJPSH.FFPSH.AAPUBINDLUBINDLOGGND.O H97 J99 F98 A97 B99 I99 N98 D99 G97 
14 11 3	H.JJJSH.FFPSAAN.PU.INDPUBINDLOBGGDLO J98 P99 F98 H98 A99 D99 N99 L99 I99 G98 
14 10 4	HJJJ.SHFF.PSAANDPUBINDPUBINDLO.GG.LO J99 P99 F99 H98 A99 N99 L99 B99 I99 G98 
14 11 3	HJJJ.SHFF.PSAA.DPUBINDPUBINDLOGGN.LO J99 P99 F99 H98 A99 N98 L99 B99 I99 G97 
14 10 4	H.JJJSHFF.PSAANDPUB.NDPUBINDLO.IGGLO J98 P99 F99 H98 A99 N99 L99 B99 G99 
14 10 4	HJJJ.SHFF.PSAANDPUBINDPUBINDLOGG..LO J99 P99 F99 H98 A99 N99 L99 B99 I99 G97 
14 11 3	HJJJ.SHFF.PSAAN.PUBINDPUBINDLO.GGDLO J99 P99 F99 H98 A99 D99 N99 L99 B99 I99 G98 
14 12 2	HJJJPSHFF.PS..AAPUBIND.UBINDLOGGNDLO J99 F99 H98 A97 D99 N98 L99 B99 I99 G97 
14 10 4	HJJJ.SHFF.PSAANDPU..NDPUBINDLOBIGGLO J99 P99 F99 H98 A99 N99 L99 B98 G99 
14 10 4	H.JJJSHFF.PSAANDPU..NDPUBINDLOBIGGLO J98 P99 F97 H98 A99 N99 L99 G99 
14 12 2	HJJJPSHFF.PS.AA.PUBIND.UBINDLOGGNDLO J99 F99 H98 A98 D99 N98 L99 B99 I99 G97 
14 12 2	HJJJPSH.FFPS..AAPUBIND.UBINDLOGGNDLO J99 F98 H98 A97 D99 N98 L99 B99 I99 G97 
14 12 2	HJJJ.SHFF.PSAA..PUBINDPUBINDLOGGNDLO J99 P99 F99 H98 A99 D99 N98 L99 B99 I99 G97 
14 10 4	HJJJ.SH.FFPSAANDPUBINDPUBINDLO..GGLO J99 P99 F98 H98 A99 N99 L99 B99 I99 G99 
14 12 2	HJJJ.SH.FFPSAA..PUBINDPUBINDLOGGNDLO J99 P99 F98 H98 A99 D99 N98 L99 B99 I99 G97 
14 12 2	HJJJPSH.FFPS.AA.PUBIND.UBINDLOGGNDLO J99 F98 H98 A98 D99 N98 L99 B99 I99 G97 
14 11 3	HJJJPSH.FFPSBAADPUBINDLU.INDLOGGN..O J99 F98 H98 A98 N98 B98 I99 G97 
14 11 3	.JJJPSH.FFPSHAADPUBINDLUBINDLOGGN..O H97 J99 F98 A98 B99 I99 N98 G97 
14 10 4	HJJJPSH.FFPSAANDPUB.ND.UBINDLO.IGGLO J99 F98 H98 A99 N99 L99 B99 I98 G99 
14 10 4	HJJJ.SHFFDPSAANDPU.INDPUBIN.LOB.GGLO J99 P99 F99 H98 A99 D99 N99 L99 I99 G99 
14 11 3	HJJJPSHFF.PS.AADPUBIND.UBINDLOGGN.LO J99 F99 H98 A98 N98 L99 B99 I99 G97 
14 11 3	HJJJ.SHFF.PSAAN.PUBINDPUBINDLOGG.DLO J99 P99 F99 H98 A99 D99 N99 L99 B99 I99 G97 
14 12 2	HJJJPSHIFFPS.IAAPUB.NDLUB.NDLOGGND.O J99 F98 H98 A97 D99 N98 B99 I97 G97 
14 11 3	HJJJ.SH.FFPSAAN.PUBINDPUBINDLOGG.DLO J99 P99 F98 H98 A99 D99 N99 L99 B99 I99 G97 
14 11 3	HJJJPSHFFDPSAA.DPUBIND.UBIN.LOGGN.LO J99 F99 H98 A99 D99 N98 L99 B99 I99 G97 
14 10 4	H.JJJSHFF.PSAANDPU.INDPUBINDLOB.GGLO J98 P99 F99 H98 A99 N99 L99 I99 G99 
14 10 4	H.JJJSH.FFPSAANDPU.INDPUBINDLOBGG.LO J98 P99 F98 H98 A99 N99 L99 I99 G98 
14 11 3	HJJJ.SHFF.PSAAN.PU.INDPUBINDLOBGGDLO J99 P99 F97 H98 A99 D99 N99 L99 I99 G98 
14 12 2	HJJJPSH.FFPSBAA.PUBINDLU.INDLOGGND.O J99 F98 H98 A98 D99 N98 B98 I99 G97 
14 10 4	H.JJJSH.FFPSAANDPUB.NDPUBINDLO.IGGLO J98 P99 F98 H98 A99 N99 L99 B99 G99 
14 12 2	.JJJPSHFF.PSH.AAPUBINDLUBINDLOGGND.O H97 J99 F99 A97 B99 I99 N98 D99 G97 
14 10 4	H.JJJSH.FFPSAANDPU.INDPUBINDLOB.GGLO J98 P99 F98 H98 A99 N99 L99 I99 G99 
14 11 3	H.JJJSHFF.PSAAN.PU.INDPUBINDLOBGGDLO J98 P99 F99 H98 A99 D99 N99 L99 I99 G98 
14 12 2	HJJJPSHFF.PS.IAAPUBINDLUB.NDLOGGND.O J99 F99 H98 A97 D99 N98 B99 I98 G97 
14 10 4	HJJJ.SH.FFPSAANDPUBINDPUBINDLOGG..LO J99 P99 F98 H98 A99 N99 L99 B99 I99 G97 
14 12 2	HJJJPSHFF.PSB.AAPUBINDLU.INDLOGGND.O J99 F99 H98 A97 D99 N98 B98 I99 G97 
