8 0 8	...O..LLKOYPAAKOYPDDD.BB.RRR.V..JJJV O99 
7 3 4	..KO.PLLKOYPAA.OY.DDD.BB..RRRV..JJJV K99 P99 R99 
7 3 4	..KO.PLLKOYPAA.OY.DDD.BB.RRR.V.JJJ.V K99 P99 J99 
7 3 4	..KO.PLLKOYP.AAOY.DDD.BB.RRR.V..JJJV K99 P99 A99 
7 3 4	..KO.PLLKOYPAA.OY.DDDBB..RRR.V..JJJV K99 P99 B99 
7 3 4	..KO.PLLKOYPAA.OY.DDD.BBRRR..V..JJJV K99 P99 R99 
7 6 1	..K.YPLLKOYPAA.O..DDDOBBRRR..VJJJ..V O99 K99 Y99 P99 R99 J98 
7 6 1	..K.YPLLKOYPAA.O..DDDOBBRRR..V.JJJ.V O99 K99 Y99 P99 R99 J99 
7 3 4	..KO.PLLKOYPAA.OY..DDDBB.RRR.V..JJJV K99 P99 D99 
7 7 0	..K.YPLLK.YPAA....DDDOBBRRRO.VJJJO.V O97 K99 Y99 P99 R99 J98 
7 6 1	..K.YPLLKOYP.AAO..DDDOBBRRR..V..JJJV O99 K99 Y99 P99 A99 R99 
7 3 4	..K..PLLKOYPAA.OY.DDDOBB.RRR.V..JJJV O99 K99 P99 
7 5 2	..KOYPLLKOYPAA.O..DDD.BB..RRRVJJJ..V K99 Y99 P99 R99 J98 
7 4 3	..KOY.LLKOYPAA.O.PDDDBB..RRR.V.JJJ.V K99 Y99 B99 J99 
7 4 3	..KOY.LLKOYPAA.O.PDDDBB..RRR.VJJJ..V K99 Y99 B99 J98 
7 4 3	..KOY.LLKOYPAA.O.PDDDBB...RRRV..JJJV K99 Y99 B99 R99 
7 3 4	..K.Y.LLKOYPAA.O.PDDDOBB.RRR.V..JJJV O99 K99 Y99 
7 4 3	..KOY.LLKOYP.AAO.PDDDBB..RRR.V..JJJV K99 Y99 A99 B99 
7 4 3	..KOY.LLKOYPAA.O.PDDDBB.RRR..V..JJJV K99 Y99 B99 R99 
7 5 2	..KOYPLLKOYPAA.O..DDD.BBRRR..VJJJ..V K99 Y99 P99 R99 J98 
8 2 6	..KO..LLKOYP.AAOYPDDD.BB.RRR.V..JJJV K99 A99 
8 2 6	..KO..LLKOYPAA.OYPDDD.BB.RRR.VJJJ..V K99 J98 
8 6 2	..KOYPLLKOYP.AAO...DDDBB.RRR.VJJJ..V K99 Y99 P99 A99 D99 J98 
8 6 2	..KOYPLLKOYPAA.O...DDDBB..RRRVJJJ..V K99 Y99 P99 D99 R99 J98 
8 4 4	..K.Y.LLK.YPAA.O.PDDDOBBRRRO.V..JJJV O98 K99 Y99 R99 
8 6 2	..KOYPLLKOYP.AAO..DDD.BBRRR..V.JJJ.V K99 Y99 P99 A99 R99 J99 
8 6 2	..KOYPLLKOYPAA.O...DDDBBRRR..VJJJ..V K99 Y99 P99 D99 R99 J98 
8 4 4	..KO.PLLKOYPAA.OY.DDD.BB..RRRVJJJ..V K99 P99 R99 J98 
8 6 2	..KOYPLLKOYPAA.O..DDDBB...RRRVJJJ..V K99 Y99 P99 B99 R99 J98 
8 6 2	..KOYPLLKOYP.AAO..DDDBB...RRRV..JJJV K99 Y99 P99 A99 B99 R99 
8 6 2	..K.YPLLKOYPAA.O..DDDOBB..RRRVJJJ..V O99 K99 Y99 P99 R99 J98 
8 6 2	..KOYPLLKOYPAA.O..DDDBBV.RRR.V...JJJ K99 Y99 P99 B99 V99 J99 
8 6 2	..KOYPLLKOYPAA.O...DDDBB..RRRV.JJJ.V K99 Y99 P99 D99 R99 J99 
8 2 6	..KO..LLKOYPAA.OYP.DDDBB.RRR.V..JJJV K99 D99 
8 3 5	..KO..LLKOYPAA.OYPDDDBB..RRR.VJJJ..V K99 B99 J98 
8 6 2	..KOYPLLKOYP.AAO..DDDBB.RRR..V..JJJV K99 Y99 P99 A99 B99 R99 
8 3 5	..KO..LLKOYPAA.OYPDDDBB..RRR.V.JJJ.V K99 B99 J99 
8 6 2	..KOYPLLKOYPAA.O..DDDBB.RRR..VJJJ..V K99 Y99 P99 B99 R99 J98 
8 4 4	..KOY.LLKOYPAA.O.P.DDDBB.RRR.V.JJJ.V K99 Y99 D99 J99 
8 4 4	...OYPLLKOYPAAKO..DDD.BB.RRR.V..JJJV K98 Y99 P99 
8 3 5	..KO..LLKOYPAA.OYPDDDBB...RRRV..JJJV K99 B99 R99 
8 3 5	..KO..LLKOYPAA.OYPDDDBB.RRR..V..JJJV K99 B99 R99 
8 3 5	..KO..LLKOYP.AAOYPDDDBB..RRR.V..JJJV K99 A99 B99 
8 4 4	..KOY.LLKOYPAA.O.PDDD.BBRRR..VJJJ..V K99 Y99 R99 J98 
8 6 2	..KOYPLLKOYP.AAO..DDD.BB..RRRV.JJJ.V K99 Y99 P99 A99 R99 J99 
8 6 2	..K.YPLLKOYPAA.O..DDDOBB..RRRV.JJJ.V O99 K99 Y99 P99 R99 J99 
8 6 2	..KOYPLLKOYPAA.O...DDDBBRRR..V.JJJ.V K99 Y99 P99 D99 R99 J99 
8 4 4	..KOY.LLKOYPAA.O.PDDD.BB..RRRVJJJ..V K99 Y99 R99 J98 
8 5 3	..K.Y.LLK.YPAA.O.PDDDOBBRRRO.VJJJ..V O98 K99 Y99 R99 J98 
8 1 7	...O..LLKOYPAAKOYPDDDBB..RRR.V..JJJV B99 
8 6 2	..KOYPLLKOYPAA.O..DDDBB...RRRV.JJJ.V K99 Y99 P99 B99 R99 J99 
8 6 2	..KOYPLLKOYPAA.O..DDDBB.RRR..V.JJJ.V K99 Y99 P99 B99 R99 J99 
8 6 2	..KOYPLLKOYP.AAO..DDD.BB..RRRVJJJ..V K99 Y99 P99 A99 R99 J98 
8 6 2	..KOYPLLKOYP.AAO..DDDBB..RRR.V.JJJ.V K99 Y99 P99 A99 B99 J99 
8 6 2	..KOYPLLKOYPAA.O..DDDBBV.RRR.V.JJJ.. K99 Y99 P99 B99 V99 J99 
8 6 2	..KOYPLLKOYPAA.O..DDDBBV..RRRV..JJJ. K99 Y99 P99 B99 R99 V99 
8 4 4	..K.Y.LLKOYP.AAO.PDDDOBB.RRR.V..JJJV O99 K99 Y99 A99 
8 5 3	..KOY.LLKOYP.AAO.PDDDBB...RRRV..JJJV K99 Y99 A99 B99 R99 
8 5 3	..KOY.LLKOYP.AAO.PDDDBB.RRR..V..JJJV K99 Y99 A99 B99 R99 
8 6 2	..KOYPLLKOYPAA.O..DDDBBVRRR..V..JJJ. K99 Y99 P99 B99 R99 V99 
8 2 6	...OY.LLKOYPAAKO.P.DDDBB.RRR.V..JJJV Y99 D99 
8 5 3	..KOY.LLKOYPAA.O.PDDDBB.RRR..VJJJ..V K99 Y99 B99 R99 J98 
8 5 3	..KOY.LLKOYPAA.O.PDDDBB...RRRVJJJ..V K99 Y99 B99 R99 J98 
8 6 2	..KOYPLLKOYP.AAO..DDDBBV.RRR.V..JJJ. K99 Y99 P99 A99 B99 V99 
8 5 3	..KOY.LLKOYP.AAO.PDDDBB..RRR.VJJJ..V K99 Y99 A99 B99 J98 
8 2 6	..K...LLKOYPAA.OYPDDDOBB.RRR.V..JJJV O99 K99 
8 5 3	..KOY.LLKOYPAA.O.PDDDBB.RRR..V.JJJ.V K99 Y99 B99 R99 J99 
8 5 3	..KOY.LLKOYPAA.O.PDDDBB...RRRV.JJJ.V K99 Y99 B99 R99 J99 
8 8 0	..K.YPLLK.YP....AADDDOBBRRRO.VJJJO.V O97 K99 Y99 P99 A96 R99 J98 
