6 4 2	.HH.DYC...DYCF.AAECFR..E..RITTBB.I.. C99 D98 A99 R99 
6 4 2	HH..DYC...DYCFAA.ECF.I.E..RITTBBR... H99 D98 C99 I99 
6 3 3	CHH..YC...DYCAA.DE.F...E.FRITTBBRI.. F99 A99 D99 
6 4 2	CHH.DYC...DYCFAA.E.FRI.E..RITT..BB.. D98 R99 I99 B98 
6 4 2	CHH.DYC...DYCF.AAE.FRI.E..RITTBB.... A99 D98 R99 I99 
6 4 2	CHH.DYC...DYC.AA.E.FRI.E.FRITTBB.... F99 D98 R99 I99 
6 4 2	C.HHDYC...DYCFAA.E.FRI.E..RITTBB.... H99 D98 R99 I99 
6 4 2	CHH.DYC...DYC..AAE.FR..E.FRITTBB.I.. F99 A99 D98 R99 
6 2 4	C..HHYC....YCFAADE.F.IDE..RITTBBR... H98 I99 
6 2 4	C..HHYC...DYCFAADE.F...E..RITTBBRI.. H98 D99 
6 4 2	.HH.DY....DYCFAA.ECFRI.EC.RITTBB.... C98 D98 R99 I99 
6 4 2	.HH.DYC...DYCFAA.ECFRI.E..RITTBB.... C99 D98 R99 I99 
6 4 2	CHH.DYC...DYCF.AAE.FR..E..RITT.BBI.. A99 D98 R99 B99 
6 4 2	.HH.DY....DYC..AAECF...ECFRITTBBRI.. C98 D98 A99 F99 
6 4 2	.HH.DYC...DYC..AAECF...E.FRITTBBRI.. C99 D98 A99 F99 
6 4 2	.HH.DY....DYCFRAAECFR..EC..ITTBB.I.. C98 D98 R98 A99 
6 4 2	CHH.DYCFR.DYCFRAAE.....E...ITTBB.I.. F99 A99 D98 R97 
6 4 2	CHH.DYCF..DYCFAA.E..R..E..RITT.BBI.. F99 D98 R99 B99 
6 4 2	CHH.DYC...DYC.AA.E.FR..E.FRITT.BBI.. F99 D98 R99 B99 
6 4 2	.HH.DY..R.DYCFRAAECF...EC..ITTBB.I.. C98 D98 R97 A99 
6 4 2	.HH.DYC.R.DYCFRAAECF...E...ITTBB.I.. C99 D98 R97 A99 
6 4 2	.HH.DY....DYCAA..ECF...ECFRITTBBRI.. C98 D98 A99 F99 
6 4 2	CHH.DYC...DYCAA..E.F.I.E.FRITTBBR... F99 A99 D98 I99 
6 2 4	C..HHYC....YCFAADE.FR.DE..RITTBB.I.. H98 R99 
6 4 2	CHH.DYC...DYCFRAAE.FR..E...ITT.BBI.. A99 D98 R98 B99 
6 4 2	C.HHDYC...DYCFAA.E.FR..E..RITT.BBI.. H99 D98 R99 B99 
6 4 2	.HH.DYC...DYCAA..ECF...E.FRITTBBRI.. C99 D98 A99 F99 
6 4 2	.HH.DY....DY.FAA.ECFR..EC.RITTCBBI.. C97 D98 R99 B99 
6 3 3	.HH..Y....DYC.AADECF...ECFRITTBBRI.. C98 D99 F99 
6 4 2	.HH.DYC...DYC.AA.ECF.I.E.FRITTBBR... C99 D98 F99 I99 
6 3 3	.HH..YC...DYC.AADECF...E.FRITTBBRI.. C99 D99 F99 
6 4 2	.HH.DY....DYCFAA.ECFR..EC.RITT.BBI.. C98 D98 R99 B99 
6 4 2	CHH.DYC...DYCAA..E.FR..E.FRITTBB.I.. F99 A99 D98 R99 
6 4 2	HH..DYC...DYCF.AAECF...E..RITTBBRI.. H99 D98 C99 A99 
6 4 2	.HH.DYC...DYCFAA.ECFR..E..RITT.BBI.. C99 D98 R99 B99 
6 4 2	HH..DYC...DYC.AA.ECF...E.FRITTBBRI.. H99 D98 C99 F99 
6 4 2	CHH.DYCF..DYCF.AAE..R..E..RITTBB.I.. F99 A99 D98 R99 
6 4 2	CHH.DYC...DYC.RAAE.FR..E.F.ITTBB.I.. F99 A99 D98 R98 
6 4 2	.HH.DYC...DYCFRAAECFR..E...ITTBB.I.. C99 D98 R98 A99 
6 4 2	CHH.DYCF..DYCF.AAE...I.E..RITTBBR... F99 A99 D98 I99 
6 3 3	.HH..Y.F..DYCFAADEC....EC.RITTBBRI.. C98 F99 D99 
6 4 2	.HH.DYC...DYC.AA.ECFR..E.FRITTBB.I.. C99 D98 F99 R99 
6 4 2	HH..DY....DYCF.AAECF...EC.RITTBBRI.. H99 D98 C98 A99 
6 4 2	HH..DYC...DYCFAA.ECFR..E..RITTBB.I.. H99 D98 C99 R99 
6 4 2	C.HHDYCF..DYCFAA.E...I.E..RITTBBR... H99 F99 D98 I99 
6 4 2	HH..DY.F..DYCFAA.EC....EC.RITTBBRI.. H99 D98 C98 F99 
6 4 2	HH..DY....DYC.AA.ECF...ECFRITTBBRI.. H99 D98 C98 F99 
6 4 2	.HH.DY.F..DYCFAA.EC..I.EC.RITTBBR... C98 D98 F99 I99 
6 4 2	CHH.DYC...DYCFRAAE.FRI.E...ITTBB.... A99 D98 R98 I99 
6 4 2	.HH.DY.F..DYCF.AAEC....EC.RITTBBRI.. C98 D98 F99 A99 
6 4 2	CHH.DYCF..DYCFRAAE..R..E...ITTBB.I.. F99 A99 D98 R98 
6 4 2	.HH.DYCF..DYCFAA.EC.R..E..RITTBB.I.. C99 D98 F99 R99 
6 4 2	CHH.DYC...DYC..AAE.F.I.E.FRITTBBR... F99 A99 D98 I99 
6 4 2	.HH.DY....DYCF.AAECF.I.EC.RITTBBR... C98 D98 A99 I99 
6 4 2	.HH.DYCF..DYCF.AAEC....E..RITTBBRI.. C99 D98 F99 A99 
6 4 2	.HH.DYC...DYCF.AAECF.I.E..RITTBBR... C99 D98 A99 I99 
6 3 3	CHH..YC...DYC.AADE.FR..E.FRITTBB.I.. F99 D99 R99 
6 2 4	CHH..YC....YC.AADE.F.IDE.FRITTBBR... F99 I99 
6 3 3	.HH..YC...DYCFAADECFR..E..RITTBB.I.. C99 D99 R99 
7 3 4	.HH..Y.....YCFAADECFRIDEC.RITTBB.... C98 R99 I99 
7 5 2	..HHDYCF..DYCFAA.EC..I.E..RITTBBR... C99 H99 D98 F99 I99 
7 4 3	.HH..YCF..DYCFAADEC....E..RITTBBRI.. C99 D97 F99 
7 5 2	..HHDY....DYC.AA.ECF.I.ECFRITTBBR... C98 H99 D98 F99 I99 
7 5 2	..HHDY.F..DYCFAA.EC..I.EC.RITTBBR... C98 H99 D98 F99 I99 
7 5 2	..HHDY.F..DYCF.AAEC....EC.RITTBBRI.. C98 H99 D98 F99 A99 
7 3 4	CFHH.YCF...YC.AADE..R.DE..RITTBB.I.. H99 F98 R99 
7 5 2	HH..DYCF..DYCFAA.EC.R..E..RITTBB.I.. H99 D98 C99 F99 R99 
7 5 2	..HHDY....DYC..AAECF...ECFRITTBBRI.. C98 H99 D98 A99 F99 
7 5 2	..HHDY....DYCAA..ECF...ECFRITTBBRI.. C98 H99 D98 A99 F99 
7 5 2	.HH.DYCF..DYCFAA.EC.RI.E..RITTBB.... C99 D98 F99 R99 I99 
7 5 2	C.HHDYC...DYCF.AAE.FR..E..RITT.BBI.. H99 A99 D98 R99 B99 
7 4 3	..HH.Y....DYCFAADECF...EC.RITTBBRI.. C98 H99 D97 
7 5 2	CHH.DYC...DYCFAA.E.F.I.E..RITT..R.BB D98 R98 I99 B96 
7 5 2	CHH.DYC...DYCF.AAE.FRI.E..RITT....BB A99 D98 R99 I99 B96 
7 3 4	CHH..YC....YC.AADE.FR.DE.FRITT.BBI.. F99 R99 B99 
7 5 2	CHH.DYC.R.DYC.RAAE.F...E.F.ITT.BBI.. F99 A99 D98 R97 B99 
7 4 3	CHH..YCF..DYCFAADE..RI.E..RITTBB.... F99 D99 R99 I99 
7 5 2	CHH.DYC...DYC.AA.E..RI.E.FRITT.F..BB F98 D98 R99 I99 B96 
