14 8 6	..DIIO..DLLO.AACPOJ.BCP.J.BFFF.SSSGG C99 L99 A99 B99 O98 P99 F98 S99 
14 8 6	..DIIOJ.DLLOJAACPO..BCP...BFFFSSS.GG C99 L99 A99 B99 O98 J98 P99 F98 
14 6 8	..D.II..DLLOAABCPOJ.BCPOJ..FFFSSS.GG I99 C99 L99 O99 P99 F98 
13 7 6	..D.II..DLLOAA.CPOJ.BCPOJ.BFFFSSS.GG I99 C99 L99 B99 O99 P99 F98 
14 6 8	..D.II..D.LLAABCPOJ.BCPOJFFF.O.SSSGG I99 C99 P99 F98 S99 
14 8 6	..DIIO..DLLOJAACPOJ.BCP...BFFFSSS.GG C99 L99 A99 B99 O98 J99 P99 F98 
14 6 8	..D.II..DLLOAABCPOJ.BCPOJFFF...SSSGG I99 C99 L99 O99 P99 S99 
14 6 8	..DII...DLL.AABCPO..BCPOJ.FFFOJSSSGG C99 L99 J99 P99 F99 S99 
14 6 8	..DIIO..DLLOAABCPOJ.BCP.J.FFF..SSSGG C99 L99 O98 P99 F99 S99 
14 6 8	..DII...D.LLAABCPO..BCPOJFFF.OJSSSGG C99 J99 P99 F98 S99 
14 6 8	..D.II..DLL.AABCPO..BCPOJFFF.OJSSSGG I99 C99 L99 J99 P99 S99 
14 8 6	..D.II..DLLO.AACPOJ.BCPOJ.BFFFSSS.GG I99 C99 L99 A99 B99 O99 P99 F98 
14 6 8	..D.II..DLLOAABCPOJ.BCPOJFFF..SSSGG. I99 C99 L99 O99 P99 G99 
14 6 8	..DII...DLLOAABCPOJ.BCPOJ..FFF.SSSGG C99 L99 O99 P99 F98 S99 
14 8 6	..DII...DLLOAA.CPO..BCPOJ.BFFFJSSSGG C99 L99 B99 O99 J99 P99 F98 S99 
14 6 8	..DIIO..DLLOAABCPOJ.BCP.J.FFF.SSSGG. C99 L99 O98 P99 F99 G99 
14 8 6	..DII...DLLO.AACPOJ.BCPOJ.BFFFSSSGG. C99 L99 A99 B99 O99 P99 F98 G99 
14 8 6	J.DIIOJ.DLLO.AACPO..BCP...BFFFSSS.GG C99 L99 A99 B99 O98 J97 P99 F98 
14 6 8	..DII...DLLOAABCPOJ.BCPOJ..FFFSSSGG. C99 L99 O99 P99 F98 G99 
14 6 8	..DIIO..DLLOAABCPOJ.BCP.J..FFF.SSSGG C99 L99 O98 P99 F98 S99 
14 8 6	..DIIO..DLLOAA.CPOJ.BCP.J.BFFF.SSSGG C99 L99 B99 O98 P99 F98 S99 
14 8 6	..DII...DLLO.AACPOJ.BCPOJ.BFFFSSS.GG C99 L99 A99 B99 O97 P99 F98 
14 8 6	..D.II..DLLOAA.CPOJ.BCPOJ.BFFF.SSSGG I99 C99 L99 B99 O99 P99 F98 S99 
14 8 6	..DIIO..DLLOAA.CPOJ.BCP.J.BFFFSSSGG. C99 L99 B99 O98 P99 F98 G99 
14 8 6	..D.II..DLLOAA.CPOJ.BCPOJ.BFFFSSSGG. I99 C99 L99 B99 O99 P99 F98 G99 
14 6 8	..D.II..DLLOAABCPOJ.BCPOJ.FFF.SSS.GG I99 C99 L99 O99 P99 F99 
14 7 7	..DII...DLLOAABCPO..BCPOJ.FFF.JSSSGG C99 L99 O99 J99 P99 F99 S99 
14 8 6	..DII...DLLO.AACPOJ.BCPOJ.BFFF.SSSGG C99 L99 A99 B99 O99 P99 F98 S99 
14 6 8	..D.II..DLL.AABCPOJ.BCPOJ.FFFO.SSSGG I99 C99 L99 P99 F99 S99 
14 8 6	..DIIO..DLLOAA.CPO..BCP.J.BFFFJSSSGG C99 L99 B99 O98 J99 P99 F98 S99 
14 8 6	..DIIO..DLLO.AACPOJ.BCP.J.BFFFSSSGG. C99 L99 A99 B99 O98 P99 F98 G99 
15 7 8	..DII...DLLOAABCPO..BCPOJ..FFFJSSSGG C99 L99 O99 J99 P99 F98 S99 
15 7 8	..DIIO..DLLOAABCPO..BCP.J..FFFJSSSGG C99 L99 O98 J99 P99 F98 S99 
15 7 8	..D.II..DLLOAABCPOJ.BCPOJ..FFFSSSGG. I99 C99 L99 O99 P99 F98 G99 
15 9 6	..D.II..DLLO.AACPOJ.BCPOJ.BFFFSSSGG. I99 C99 L99 A99 B99 O99 P99 F98 G99 
15 7 8	..D.II..DLL.AABCPO..BCPOJ.FFFOJSSSGG I99 C99 L99 J99 P99 F99 S99 
15 9 6	..DII.J.DLLOJAACPO..BCPO..BFFF.SSSGG C99 L99 A99 B99 O99 J98 P99 F98 S99 
15 9 6	..D.II..DLLOJAACPOJ.BCPO..BFFFSSS.GG I99 C99 L99 A99 B99 O99 J99 P99 F98 
15 9 6	J.D.IIJ.DLLO.AACPO..BCPO..BFFFSSS.GG I99 C99 L99 A99 B99 O99 J97 P99 F98 
15 7 8	..DIIO..DLLOAABCPO..BCP.J.FFF.JSSSGG C99 L99 O98 J99 P99 F99 S99 
15 9 6	..DIIOJ.DLLOJAACPO..BCP...BFFFSSSGG. C99 L99 A99 B99 O98 J98 P99 F98 G99 
15 9 6	J.DIIOJ.DLLO.AACPO..BCP...BFFF.SSSGG C99 L99 A99 B99 O98 J97 P99 F98 S99 
15 7 8	..DIIO..DLLOAABCPOJ.BCP.J.FFF.SSSGG. C99 L99 O96 P99 F99 G99 
15 9 6	..DIIO..DLLOJAACPOJ.BCP...BFFFSSSGG. C99 L99 A99 B99 O98 J99 P99 F98 G99 
15 9 6	..DIIOJ.DLLOJAACPO..BCP...BFFF.SSSGG C99 L99 A99 B99 O98 J98 P99 F98 S99 
15 9 6	J.DIIOJ.DLLOAA.CPO..BCP...BFFFSSS.GG C99 L99 A98 B99 O98 J97 P99 F98 
