9 0 9	JJJ.PSFF..PSHAADPUH.NDLUBINDLOBINGGO 
17 8 9	HJJJPSH.FFPSAAN.PU.INDLUBINDLOBGGD.O J99 F98 H98 A99 D99 N99 I99 G98 
18 9 9	HJJJPSHFF.PSAAN.PU.INDLUBINDLOBGGD.O J99 F97 H98 A99 D99 N99 I99 G98 
18 9 9	HJJJPSH.FFPSAAN.PU.IND.UBINDLOBGGDLO J99 F98 H98 A99 D99 N99 L99 I99 G98 
18 9 9	HJJJPSH.FFPSAAN.PUBINDLUBINDLO.GGD.O J99 F98 H98 A99 D99 N99 B99 I99 G98 
19 7 12	HJJJPSH.FFPSAANDPU..ND.UBINDLOBIGGLO J99 F98 H98 A99 N99 L99 G99 
19 7 12	HJJJPSHFF.PSAANDPU.INDLUBINDLOBGG..O J99 F99 H98 A99 N99 I99 G98 
19 10 9	HJJJPSH.FFPSAAN.PUBINDLUBINDLOGG.D.O J99 F98 H98 A99 D99 N99 B99 I99 G97 
17 11 6	HJJJPSH.FFPSAA..PUBINDLUBINDLOGGND.O J99 F98 H98 A99 D99 N98 B99 I99 G97 
18 12 6	HJJJPSHFF.PSAA..PUBINDLUBINDLOGGND.O J99 F97 H98 A99 D99 N98 B99 I99 G97 
18 12 6	HJJJPSH.FFPS.AA.PUBINDLUBINDLOGGND.O J99 F98 H98 A98 D99 N98 B99 I99 G97 
18 12 6	HJJJPSH.FFPS..AAPUBINDLUBINDLOGGND.O J99 F98 H98 A97 D99 N98 B99 I99 G97 
18 12 6	HJJJPSH.FFPSAA..PUBIND.UBINDLOGGNDLO J99 F98 H98 A99 D99 N98 L99 B99 I99 G97 
19 13 6	HJJJPSHFF.PS.AA.PUBINDLUBINDLOGGND.O J99 F97 H98 A98 D99 N98 B99 I99 G97 
19 13 6	HJJJPSHFF.PSAA..PUBIND.UBINDLOGGNDLO J99 F97 H98 A99 D99 N98 L99 B99 I99 G97 
19 7 12	HJJJPSHFFDPSAANDPU.INDLUBIN.LOB..GGO J99 F99 H98 A99 D99 N99 I99 
19 13 6	HJJJPSH.FFPS..AAPUBIND.UBINDLOGGNDLO J99 F98 H98 A97 D99 N98 L99 B99 I99 G97 
19 7 12	HJJJPSHFFDPSAANDPU..NDLUBIN.LOBIGG.O J99 F99 H98 A99 D99 N99 G99 
19 10 9	HJJJPSHFF.PSAAN.PUBINDLUBINDLO.GGD.O J99 F97 H98 A99 D99 N99 B99 I99 G98 
19 7 12	HJJJPSH.FFPSAANDPUBINDLUBINDLO...GGO J99 F98 H98 A99 N99 B99 I99 
19 13 6	HJJJ.SH.FFPSAA..PUBINDPUBINDLOGGNDLO J99 P99 F98 H98 A99 D99 N98 L99 B99 I99 G97 
19 10 9	HJJJPSHFF.PSAAN.PU.IND.UBINDLOBGGDLO J99 F97 H98 A99 D99 N99 L99 I99 G98 
19 13 6	HJJJPSHIFFPS.IAAPUB.NDLUB.NDLOGGND.O J99 F98 H98 A97 D99 N98 B99 I97 G97 
19 13 6	HJJJPSH.FFPS.IAAPUBINDLUB.NDLOGGND.O J99 F98 H98 A97 D99 N98 B99 I98 G97 
19 7 12	HJJJPSHFF.PSAANDPU.INDLUBINDLOB.GG.O J99 F99 H98 A99 N99 I99 G99 
19 7 12	HJJJPSHFF.PSAANDPUB.NDLUBINDLO.IGG.O J99 F99 H98 A99 N99 B99 G99 
19 13 6	HJJJPSH.FFPS.AA.PUBIND.UBINDLOGGNDLO J99 F98 H98 A98 D99 N98 L99 B99 I99 G97 
19 13 6	HJJJPSH.FFPSB.AAPUBINDLU.INDLOGGND.O J99 F98 H98 A97 D99 N98 B98 I99 G97 
19 13 6	.JJJPSH.FFPSH.AAPUBINDLUBINDLOGGND.O H97 J99 F98 A97 B99 I99 N98 D99 G97 
19 7 12	HJJJPSHFF.PSAANDPUBINDLUBINDLO...GGO J99 F99 H98 A99 N99 B99 I99 
19 13 6	HJJJPSH.FFPSBAA.PUBINDLU.INDLOGGND.O J99 F98 H98 A98 D99 N98 B98 I99 G97 
