4 4 0	...G....DGB.AADGB...D.B.ECC...EFF... D99 G98 B98 F99 
4 4 0	...G....DGB.AADGB...D.B.ECC...E..FF. D99 G98 B98 F99 
4 4 0	...G....DGB.AADGB...D.B.ECC...E...FF D99 G98 B98 F98 
4 4 0	...GB...DGB.AADGB.E.D...ECC.....FF.. D99 G98 B97 E99 
4 4 0	...GB...DGB.AADGB...D...E.CC..E.FF.. D99 G98 B97 C99 
4 4 0	...GB...DGB.AADGB...D...E..CC.E.FF.. D99 G98 B97 C98 
4 4 0	...GB...DGB.AADGB...D...E...CCE.FF.. D99 G98 B97 C97 
4 4 0	...GB...DGB.AADGB...D...ECC...EFF... D99 G98 B97 F99 
4 4 0	...GB...DGB.AADGB...D...ECC...E..FF. D99 G98 B97 F99 
4 4 0	...GB...DGB.AADGB...D...ECC...E...FF D99 G98 B97 F98 
4 4 0	...G....DG..AADG..E.D.B.E.CCB...FFB. D99 G98 E99 C99 
4 4 0	...G....DG..AADG..E.D.B.ECC.B..FF.B. D99 G98 E99 F99 
4 4 0	...G....DG..AADG..E.D.B.ECC.B.FF..B. D99 G98 E99 F98 
4 4 0	...G....DG..AADG....D.B.E.CCB.EFF.B. D99 G98 C99 F99 
4 4 0	........D...AADGB.E.DGB.ECCGB..FF... D99 B99 E99 F99 
4 4 0	........D...AADGB.E.DGB.ECCGB.FF.... D99 B99 E99 F98 
4 4 0	........D...AADGB.E.DGB.ECCGB....FF. D99 B99 E99 F99 
4 4 0	........D...AADGB.E.DGB.ECCGB.....FF D99 B99 E99 F98 
4 4 0	........D...AAD.B...DGB.ECCGB.EFFG.. D99 G99 B99 F99 
4 4 0	........D...AAD.B...DGB.ECCGB.E..GFF D99 G99 B99 F98 
4 4 0	........D.B.AADGB.E.DGB.ECCG...FF... D99 B98 E99 F99 
4 4 0	........D.B.AADGB.E.DGB.ECCG..FF.... D99 B98 E99 F98 
4 4 0	........D.B.AADGB.E.DGB.ECCG.....FF. D99 B98 E99 F99 
4 4 0	........D.B.AADGB.E.DGB.ECCG......FF D99 B98 E99 F98 
4 4 0	........D.B.AAD.B...DGB.ECCG..EFFG.. D99 G99 B98 F99 
4 4 0	........D.B.AAD.B...DGB.ECCG..E..GFF D99 G99 B98 F98 
4 4 0	....B...D.B.AADGB.E.DG..ECCG...FF... D99 B97 E99 F99 
4 4 0	....B...D.B.AADGB.E.DG..ECCG..FF.... D99 B97 E99 F98 
4 4 0	....B...D.B.AADGB.E.DG..ECCG.....FF. D99 B97 E99 F99 
4 4 0	....B...D.B.AADGB.E.DG..ECCG......FF D99 B97 E99 F98 
4 4 0	....B...D.B.AAD.B...DG..ECCG..EFFG.. D99 G99 B97 F99 
4 4 0	....B...D.B.AAD.B...DG..ECCG..E..GFF D99 G99 B97 F98 
4 4 0	........D...AAD...E.DGB.ECCGB..FFGB. D99 G99 E99 F99 
4 4 0	........D...AAD...E.DGB.ECCGB.FF.GB. D99 G99 E99 F98 
4 4 0	..D.....DG..AADGB.E..GB.E.CCB...FF.. G99 B99 E99 C99 
4 4 0	..D.....DG..AADGB.E..GB.ECC.B..FF... G99 B99 E99 F99 
4 4 0	..D.....DG..AADGB.E..GB.ECC.B.FF.... G99 B99 E99 F98 
4 4 0	..D.....DG..AADGB.E..GB.ECC.B....FF. G99 B99 E99 F99 
4 4 0	..D.....DG..AADGB.E..GB.ECC.B.....FF G99 B99 E99 F98 
4 4 0	..D.....DG..AADGB....GB.E.CCB.EFF... G99 B99 C99 F99 
4 4 0	..D.....DG..AADGB....GB.E.CCB.E..FF. G99 B99 C99 F99 
4 4 0	..D.....DG..AADGB....GB.E.CCB.E...FF G99 B99 C99 F98 
4 4 0	..D.....DGB.AADGB.E..GB.E.CC....FF.. G99 B98 E99 C99 
4 4 0	..D.....DGB.AADGB.E..GB.E..CC...FF.. G99 B98 E99 C98 
4 4 0	..D.....DGB.AADGB.E..GB.E...CC..FF.. G99 B98 E99 C97 
4 4 0	..D.....DGB.AADGB.E..GB.ECC....FF... G99 B98 E99 F99 
4 4 0	..D.....DGB.AADGB.E..GB.ECC...FF.... G99 B98 E99 F98 
4 4 0	..D.....DGB.AADGB.E..GB.ECC......FF. G99 B98 E99 F99 
4 4 0	..D.....DGB.AADGB.E..GB.ECC.......FF G99 B98 E99 F98 
4 4 0	..D.....DGB.AADGB....GB.E.CC..EFF... G99 B98 C99 F99 
4 4 0	..D.....DGB.AADGB....GB.E.CC..E..FF. G99 B98 C99 F99 
4 4 0	..D.....DGB.AADGB....GB.E.CC..E...FF G99 B98 C99 F98 
4 4 0	.........GB.AADGB...DGB.E.DCC.E.FF.. D98 G99 B98 C98 
4 4 0	..D.....DGB.AADGB....GB.E..CC.EFF... G99 B98 C98 F99 
4 4 0	..D.....DGB.AADGB....GB.E..CC.E..FF. G99 B98 C98 F99 
4 4 0	..D.....DGB.AADGB....GB.E..CC.E...FF G99 B98 C98 F98 
4 4 0	.........GB.AADGB...DGB.E.D.CCE.FF.. D98 G99 B98 C97 
4 4 0	..D.....D.B.AADGB....GB.E..GCCE.FF.. G98 B98 C97 
4 4 0	..D.....DGB.AADGB....GB.E...CCEFF... G99 B98 C97 F99 
4 4 0	..D.....DGB.AADGB....GB.E...CCE..FF. G99 B98 C97 F99 
4 4 0	..D.....DGB.AADGB....GB.E...CCE...FF G99 B98 C97 F98 
4 4 0	..D.B...DGB.AADGB.E..G..E.CC....FF.. G99 B97 E99 C99 
4 4 0	..D.B...DGB.AADGB.E..G..E..CC...FF.. G99 B97 E99 C98 
4 4 0	..D.B...DGB.AADGB.E..G..E...CC..FF.. G99 B97 E99 C97 
4 4 0	..D.B...DGB.AADGB.E..G..ECC....FF... G99 B97 E99 F99 
4 4 0	..D.B...DGB.AADGB.E..G..ECC...FF.... G99 B97 E99 F98 
4 4 0	..D.B...DGB.AADGB.E..G..ECC......FF. G99 B97 E99 F99 
4 4 0	..D.B...DGB.AADGB.E..G..ECC.......FF G99 B97 E99 F98 
4 4 0	..D.B...DGB.AADGB....G..E.CC..EFF... G99 B97 C99 F99 
4 4 0	..D.B...DGB.AADGB....G..E.CC..E..FF. G99 B97 C99 F99 
4 4 0	..D.B...DGB.AADGB....G..E.CC..E...FF G99 B97 C99 F98 
4 4 0	....B....GB.AADGB...DG..E.DCC.E.FF.. D98 B97 G99 C98 
4 4 0	..D.B...DGB.AADGB....G..E..CC.EFF... G99 B97 C98 F99 
4 4 0	..D.B...DGB.AADGB....G..E..CC.E..FF. G99 B97 C98 F99 
4 4 0	..D.B...DGB.AADGB....G..E..CC.E...FF G99 B97 C98 F98 
4 4 0	....B....GB.AADGB...DG..E.D.CCE.FF.. D98 B97 G99 C97 
4 4 0	..D.B...D.B.AADGB....G..E..GCCE.FF.. G98 B97 C97 
4 4 0	..D.B...DGB.AADGB....G..E...CCEFF... G99 B97 C97 F99 
4 4 0	..D.B...DGB.AADGB....G..E...CCE..FF. G99 B97 C97 F99 
4 4 0	..D.B...DGB.AADGB....G..E...CCE...FF G99 B97 C97 F98 
4 4 0	..D.....DG..AADG..E..GB.E.CCB..FF.B. G99 E99 C99 F99 
4 4 0	..D.....DG..AADG..E..GB.E.CCB.FF..B. G99 E99 C99 F98 
4 4 0	..DG....DG..AADGB.E...B.E.CCB...FF.. G98 B99 E99 C99 
4 4 0	..DG....DG..AADGB.E...B.ECC.B..FF... G98 B99 E99 F99 
4 4 0	..DG....DG..AADGB.E...B.ECC.B.FF.... G98 B99 E99 F98 
4 4 0	..DG....DG..AADGB.E...B.ECC.B....FF. G98 B99 E99 F99 
4 4 0	..DG....DG..AADGB.E...B.ECC.B.....FF G98 B99 E99 F98 
4 4 0	..DG....DG..AADGB.....B.E.CCB.EFF... G98 B99 C99 F99 
4 4 0	..DG....DG..AADGB.....B.E.CCB.E..FF. G98 B99 C99 F99 
4 4 0	..DG....DG..AADGB.....B.E.CCB.E...FF G98 B99 C99 F98 
4 4 0	..DG....DGB.AADGB.E...B.E.CC....FF.. G98 B98 E99 C99 
4 4 0	..DG....DGB.AADGB.E...B.E..CC...FF.. G98 B98 E99 C98 
4 4 0	..DG....DGB.AADGB.E...B.E...CC..FF.. G98 B98 E99 C97 
4 4 0	..DG....DGB.AADGB.E...B.ECC....FF... G98 B98 E99 F99 
4 4 0	..DG....DGB.AADGB.E...B.ECC...FF.... G98 B98 E99 F98 
4 4 0	..DG....DGB.AADGB.E...B.ECC......FF. G98 B98 E99 F99 
4 4 0	..DG....DGB.AADGB.E...B.ECC.......FF G98 B98 E99 F98 
4 4 0	..DG....DGB.AADGB.....B.E.CC..EFF... G98 B98 C99 F99 
4 4 0	..DG....DGB.AADGB.....B.E.CC..E..FF. G98 B98 C99 F99 
4 4 0	..DG....DGB.AADGB.....B.E.CC..E...FF G98 B98 C99 F98 
4 4 0	...G.....GB.AADGB...D.B.E.DCC.E.FF.. D98 G98 B98 C98 
4 4 0	..DG....DGB.AADGB.....B.E..CC.EFF... G98 B98 C98 F99 
4 4 0	..DG....DGB.AADGB.....B.E..CC.E..FF. G98 B98 C98 F99 
4 4 0	..DG....DGB.AADGB.....B.E..CC.E...FF G98 B98 C98 F98 
4 4 0	...G.....GB.AADGB...D.B.E.D.CCE.FF.. D98 G98 B98 C97 
4 4 0	..DG....DGB.AADGB.....B.E...CCEFF... G98 B98 C97 F99 
4 4 0	..DG....DGB.AADGB.....B.E...CCE..FF. G98 B98 C97 F99 
4 4 0	..DG....DGB.AADGB.....B.E...CCE...FF G98 B98 C97 F98 
4 4 0	..DGB...DGB.AADGB.E.....E.CC....FF.. G98 B97 E99 C99 
4 4 0	..DGB...DGB.AADGB.E.....E..CC...FF.. G98 B97 E99 C98 
4 4 0	..DGB...DGB.AADGB.E.....E...CC..FF.. G98 B97 E99 C97 
4 4 0	..DGB...DGB.AADGB.E.....ECC....FF... G98 B97 E99 F99 
4 4 0	..DGB...DGB.AADGB.E.....ECC...FF.... G98 B97 E99 F98 
4 4 0	..DGB...DGB.AADGB.E.....ECC......FF. G98 B97 E99 F99 
4 4 0	..DGB...DGB.AADGB.E.....ECC.......FF G98 B97 E99 F98 
4 4 0	..DGB...DGB.AADGB.......E.CC..EFF... G98 B97 C99 F99 
4 4 0	..DGB...DGB.AADGB.......E.CC..E..FF. G98 B97 C99 F99 
4 4 0	..DGB...DGB.AADGB.......E.CC..E...FF G98 B97 C99 F98 
4 4 0	...GB....GB.AADGB...D...E.DCC.E.FF.. D98 G98 B97 C98 
4 4 0	..DGB...DGB.AADGB.......E..CC.EFF... G98 B97 C98 F99 
