6 5 1	..EGGG..E..DH..AADH....D..BBCCZZ..FF G99 D99 E99 A97 H99 
6 5 1	...GGG.....D..EAADH.E..DH.BBCCZZ..FF E97 G99 D99 A97 
6 5 1	...GGG..E..D..EAADH....DH.BBCCZZ..FF E98 G99 D99 A97 
6 5 1	..EGGGH.E..DH.AA.D.....D..BBCCZZ..FF G99 D99 E99 A98 H98 
6 5 1	..EGGG..E..DH.AA.DH....D..BBCCZZ..FF G99 D99 E99 A98 H99 
6 5 1	..EGGGH.E..DHAA..D.....D..BBCCZZ..FF G99 D99 E99 A99 H98 
6 5 1	..EGGG..E..DHAA..DH....D..BBCCZZ..FF G99 D99 E99 A99 H99 
6 5 1	..EGGG..E..D..AA.DH....DH.BBCCZZ.FF. G99 D99 E99 A98 F99 
6 5 1	..EGGG..E..D.AA..DH....DH.BBCCZZ.FF. G99 D99 E99 A99 F99 
6 5 1	..EGGG..E..D...AADH....DH.BBCC..ZZFF G99 D99 E99 A97 Z98 
6 5 1	..EGGG..E..D..AA.DH....DH.BBCC..ZZFF G99 D99 E99 A98 Z98 
6 5 1	..EGGG..E..D.AA..DH....DH.BBCC..ZZFF G99 D99 E99 A99 Z98 
6 5 1	..EGGG..E..D..AA.DH....DH.BBCCZZFF.. G99 D99 E99 A98 F98 
6 5 1	..EGGG..E..D.AA..DH....DH.BBCCZZFF.. G99 D99 E99 A99 F98 
6 5 1	..EGGG..E..DAA...D.....DH.BBCCHZZ.FF G99 D99 E99 H99 Z99 
6 5 1	..EGGG..E..DAA...DH....DH.BBCC.ZZFF. G99 D99 E99 Z99 F99 
6 5 1	..GGG.......AAE...H.E..DHBBCCDZZFF.D D97 E99 B99 C99 F98 
6 5 1	..EGGG..E..D...AADH....DH.BBCC.ZZ.FF G99 D99 E99 A97 Z99 
6 5 1	H.EGGGH.E..D.AA..D.....D..BBCCZZ..FF G99 D99 E99 A99 H97 
6 5 1	..EGGG..E..D..AA.DH....DH.BBCC.ZZ.FF G99 D99 E99 A98 Z99 
6 5 1	..EGGG..E..D.AA..DH....DH.BBCC.ZZ.FF G99 D99 E99 A99 Z99 
6 5 1	..EGGG..E..D..AA.DH....DHBB.CCZZ..FF G99 D99 E99 A98 B99 
6 5 1	..EGGG..E..DAA...DH....DHBB.CCZZ.FF. G99 D99 E99 B99 F99 
