7 4 3	CHH..YC...DYC.AADE.F...E.FRITTBBRIPP F99 D99 I98 
7 5 2	.HH.DYC...DYCFAA.ECFRI.E..RITTBB.PP. C99 D98 R99 I99 P99 
7 5 2	..HHDY....DYC.AA.ECF.I.ECFRITTBBR.PP C98 H99 D98 F99 I99 
7 3 4	.FHH.YCF...YC.AADEC...DE..RITTBBRIPP C99 H99 F98 
7 5 2	.HH.DY.F..DYCFRAAEC.R..EC..ITTBB.IPP C98 D98 F99 R98 A99 
7 5 2	.HH.DY....DYCFAA.ECFRI.EC.RITT..BBPP C98 D98 R99 I99 B98 
7 4 3	CHH..YC...DYCAA.DE.FR..E.FRITTBB.IPP F99 A99 D99 R99 
7 5 2	.HH.DY.F..DYCFAA.EC.R..EC.RITT.BBIPP C98 D98 F99 R99 B99 
7 5 2	.HH.DYC...DYCFAA.ECFRI.E..RITT.BB.PP C99 D98 R99 I99 B99 
7 4 3	.HH..Y....DYCFAADECFR..EC.RITTBB.IPP C98 D97 R99 
7 5 2	.HH.DYCF..DYCFAA.EC.RI.E..RITTBB..PP C99 D98 F99 R99 I99 
7 5 2	.HH.DY....DYCFAA.ECFRI.EC.RITTBB..PP C98 D98 R99 I99 
7 3 4	.HH..Y.....YCFAADECFRIDEC.RITTBB..PP C98 R99 I99 
7 4 3	..HH.Y....DYCFAADECF.I.EC.RITTBBR.PP C98 H99 D99 I99 
7 3 4	.HH..Y.F...YCFAADEC..IDEC.RITTBBR.PP C98 F99 I99 
7 5 2	CHH.DYCF..DYCFRAAE..R..E...ITT.BBIPP F99 A99 D98 R98 B99 
7 4 3	CHH..YCF..DYCFAADE...I.E..RITTBBRPP. F99 D99 I99 P99 
7 4 3	..HH.YC...DYCFAADECF.I.E..RITTBBR.PP C99 H99 D99 I99 
7 4 3	CHH..YC...DYCAA.DE.F.I.E.FRITTBBR.PP F99 A99 D99 I99 
7 4 3	.HH..Y....DYCFAADECFRI.EC.RITTBB..PP C98 D99 R99 I99 
7 4 3	C.HH.YC...DYC.AADE.F.I.E.FRITTBBR.PP H99 F99 D99 I99 
7 4 3	CHH..YC...DYCFAADE.FRI.E..RITTBBPP.. D99 R99 I99 P98 
7 5 2	CHH.DYC...DYC.AA.E.FRI.E.FRITTBBPP.. F99 D98 R99 I99 P98 
7 4 3	.HH..Y....DYC.AADECF.I.ECFRITTBBR.PP C98 D99 F99 I99 
7 4 3	.HH..YC...DYC.AADECF.I.E.FRITTBBR.PP C99 D99 F99 I99 
7 5 2	CHH.DYC...DYCF.AAE.FRI.E..RITT..BBPP A99 D98 R99 I99 B98 
7 5 2	CHH.DYC...DYC.AA.E.FRI.E.FRITTBB.PP. F99 D98 R99 I99 P99 
7 5 2	CHH.DYC...DYC.AA.E.FRI.E.FRITT.BB.PP F99 D98 R99 I99 B99 
7 5 2	CHH.DYC...DYCF.AAE.FRI.E..RITTBBPP.. A99 D98 R99 I99 P98 
7 5 2	CHH.DYC...DYC.AA.E.F.I.E.FRITTBBR.PP F99 D98 R98 I99 
7 5 2	CHH.DYC...DYCAA..E.FRI.E.FRITTBB..PP F99 A99 D98 R99 I99 
7 5 2	CHH.DYC...DYC..AAE.F.I.E.FRITTBBR.PP F99 A99 D98 I99 
7 5 2	CHH.DYCF..DYCFAA.E..RI.E..RITT.BB.PP F99 D98 R99 I99 B99 
7 5 2	.HH.DYC...DYC.AA.ECFRI.E.FRITTBB..PP C99 D98 F99 R99 I99 
7 5 2	CHH.DYC...DYCF.AAE.FRI.E..RITTBB.PP. A99 D98 R99 I99 P99 
