6 0 6	JJJ.PSFF..PSHAADPUH.NDLUBINDLOBINGGO 
15 7 8	HJJJPSH.FFPSAANDPU..NDLUBINDLOBIGG.O J99 F98 H98 A99 N99 G99 
15 7 8	HJJJPSHFF.PSAANDPUB.NDLUBINDLO.IGG.O J99 F99 H98 A99 N99 B99 G99 
15 8 7	HJJJPSHFF.PSAANDPUBINDLUBINDLO.GG..O J99 F99 H98 A99 N99 B99 I99 G98 
15 7 8	HJJJPSH.FFPSAANDPUB.NDLUBINDLO.I.GGO J99 F98 H98 A99 N99 B99 
15 8 7	HJJJPSHFF.PSAANDPU.IND.UBINDLOBGG.LO J99 F99 H98 A99 N99 L99 I99 G98 
15 11 4	HJJJPSHFF.PSAA..PUBIND.UBINDLOGGNDLO J99 F99 H98 A99 D99 N98 L99 B99 I99 G97 
15 9 6	HJJJPSHFF.PSAAN.PU.IND.UBINDLOBGGDLO J99 F99 H98 A99 D99 N99 L99 I99 G98 
15 7 8	HJJJPSH.FFPSAANDPU.INDLUBINDLOBGG..O J99 F98 H98 A99 N99 I99 G98 
15 11 4	HJJJPSHFF.PS..AAPUBINDLUBINDLOGGND.O J99 F99 H98 A97 D99 N98 B99 I99 G97 
15 11 4	HJJJPSHFF.PS.AA.PUBINDLUBINDLOGGND.O J99 F99 H98 A98 D99 N98 B99 I99 G97 
15 7 8	HJJJPSHFFDPSAANDPU.INDLUBIN.LOB..GGO J99 F99 H98 A99 D99 N99 I99 
15 11 4	HJJJPSH.FFPSAA..PUBINDLUBINDLOGGND.O J99 F98 H98 A99 D99 N98 B99 I99 G97 
15 7 8	HJJJPSHFF.PSAANDPU.INDLUBINDLOB.GG.O J99 F99 H98 A99 N99 I99 G99 
16 8 8	HJJJPSHFFDPSAANDPUBINDLUBIN.LO...GGO J99 F99 H98 A99 D99 N99 B99 I99 
16 9 7	HJJJPSHFF.PSAANDPUBIND.UBINDLOGG..LO J99 F99 H98 A99 N99 L99 B99 I99 G97 
15 10 5	HJJJPSHFF.PSAA.DPUBIND.UBINDLOGGN.LO J99 F99 H98 A99 N98 L99 B99 I99 G97 
16 8 8	HJJJPSHFFDPSAANDPU.INDLUBIN.LOBGG..O J99 F99 H98 A99 D99 N99 I99 G98 
16 11 5	HJJJPSHFF.PS.AADPUBIND.UBINDLOGGN.LO J99 F99 H98 A98 N98 L99 B99 I99 G97 
16 8 8	HJJJPSHFF.PSAANDPU.IND.UBINDLOB.GGLO J99 F99 H98 A99 N99 L99 I99 G99 
16 8 8	HJJJPSH.FFPSAANDPUBINDLUBINDLO.GG..O J99 F98 H98 A99 N99 B99 I99 G98 
15 9 6	HJJJPSH.FFPSAAN.PUBINDLUBINDLO.GGD.O J99 F98 H98 A99 D99 N99 B99 I99 G98 
16 10 6	HJJJPSHFF.PSAAN.PUBIND.UBINDLO.GGDLO J99 F99 H98 A99 D99 N99 L99 B99 I99 G98 
16 10 6	HJJJPSH.FFPSAAN.PUBINDLUBINDLO.GGD.O J99 F98 H98 A99 D99 N99 B99 I99 G98 
16 10 6	HJJJPSH.FFPSAAN.PU.INDLUBINDLOBGGD.O J99 F98 H98 A99 D99 N99 B98 I99 G98 
16 10 6	HJJJPSH.FFPSAAN.PUBIND.UBINDLO.GGDLO J99 F98 H98 A99 D99 N99 L99 B99 I99 G98 
16 10 6	HJJJPSH.FFPSAAN.PUBINDLUBINDLOGG.D.O J99 F98 H98 A99 D99 N99 B99 I99 G97 
16 10 6	HJJJPSHFF.PSAAN.PUBINDLUBINDLOGG.D.O J99 F99 H98 A99 D99 N99 B99 I99 G97 
16 8 8	HJJJPSH.FFPSAANDPU.IND.UBINDLOB.GGLO J99 F98 H98 A99 N99 L99 I99 G99 
16 12 4	HJJJPSHFF.PSBAA.PUBINDLU.INDLOGGND.O J99 F99 H98 A98 D99 N98 B98 I99 G97 
16 12 4	HJJJPSH.FFPS.AA.PUBINDLUBINDLOGGND.O J99 F98 H98 A98 D99 N98 B99 I99 G97 
16 8 8	HJJJPSHFF.PSAANDPUB.ND.UBINDLO.IGGLO J99 F99 H98 A99 N99 L99 B99 G99 
16 8 8	HJJJPSH.FFPSAANDPUB.NDLUBINDLO.IGG.O J99 F98 H98 A99 N99 B99 G99 
16 8 8	HJJJPSHFFDPSAANDPU..ND.UBIN.LOBIGGLO J99 F99 H98 A99 D99 N99 L99 G99 
16 12 4	.JJJPSHFF.PSHAA.PUBINDLUBINDLOGGND.O H97 J99 F99 A98 B99 I99 N98 D99 G97 
16 8 8	HJJJPSHFFDPSAANDPU.INDLUBIN.LOB.GG.O J99 F99 H98 A99 D99 N99 I99 G99 
16 12 4	HJJJPSHFF.PSB.AAPUBINDLU.INDLOGGND.O J99 F99 H98 A97 D99 N98 B98 I99 G97 
16 10 6	HJJJPSHFF.PSAAN.PUBIND.UBINDLOGG.DLO J99 F99 H98 A99 D99 N99 L99 B99 I99 G97 
16 12 4	HJJJPSH.FFPS..AAPUBINDLUBINDLOGGND.O J99 F98 H98 A97 D99 N98 B99 I99 G97 
16 12 4	.JJJPSHFF.PSH.AAPUBINDLUBINDLOGGND.O H97 J99 F99 A97 B99 I99 N98 D99 G97 
16 8 8	HJJJPSH.FFPSAANDPU..ND.UBINDLOBIGGLO J99 F98 H98 A99 N99 L99 G99 
16 8 8	HJJJPSHFF.PSAANDPUBINDLUBINDLO..GG.O J99 F99 H98 A99 N99 B99 I99 G99 
16 12 4	HJJJPSHFF.PS..AAPUBIND.UBINDLOGGNDLO J99 F99 H98 A97 D99 N98 L99 B99 I99 G97 
16 8 8	HJJJ.SHFF.PSAANDPU..NDPUBINDLOBIGGLO J99 P99 F99 H98 A99 N99 L99 G99 
16 12 4	HJJJPSHFF.PS.AA.PUBIND.UBINDLOGGNDLO J99 F99 H98 A98 D99 N98 L99 B99 I99 G97 
16 12 4	HJJJPSH.FFPSAA..PUBIND.UBINDLOGGNDLO J99 F98 H98 A99 D99 N98 L99 B99 I99 G97 
16 8 8	HJJJPSHFFDPSAANDPUB.NDLUBIN.LO.IGG.O J99 F99 H98 A99 D99 N99 B99 G99 
16 9 7	HJJJPSHFF.PSAANDPUBIND.UBINDLO.GG.LO J99 F99 H98 A99 N99 L99 B99 I99 G98 
16 11 5	HJJJPSHFF.PSAA.DPUBINDLUBINDLOGGN..O J99 F99 H98 A99 D98 N98 B99 I99 G97 
16 9 7	HJJJ.SHFF.PSAANDPU.INDPUBINDLOBGG.LO J99 P99 F99 H98 A99 N99 L99 I99 G98 
16 10 6	HJJJPSH.FFPSAAN.PU.IND.UBINDLOBGGDLO J99 F98 H98 A99 D99 N99 L99 I99 G98 
16 8 8	HJJJPSH.FFPSAANDPU.IND.UBINDLOBGG.LO J99 F98 H98 A99 N99 L99 I99 G98 
16 10 6	HJJJ.SHFF.PSAAN.PU.INDPUBINDLOBGGDLO J99 P99 F99 H98 A99 D99 N99 L99 I99 G98 
17 9 8	HJJJPSH.FFPSAANDPUBINDLUBINDLOGG...O J99 F98 H98 A99 N99 B99 I99 G97 
16 10 6	HJJJPSH.FFPSAA.DPUBINDLUBINDLOGGN..O J99 F98 H98 A99 N98 B99 I99 G97 
17 13 4	HJJJPSH.FFPSBAA.PUBINDLU.INDLOGGND.O J99 F98 H98 A98 D99 N98 B98 I99 G97 
17 9 8	HJJJ.SH.FFPSAANDPU.INDPUBINDLOBGG.LO J99 P99 F98 H98 A99 N99 L99 I99 G98 
16 10 6	HJJJ.SH.FFPSAAN.PU.INDPUBINDLOBGGDLO J99 P99 F98 H98 A99 D99 N99 L99 I99 G98 
17 9 8	HJJJPSH.FFPSAANDPU.IND.UBINDLOBGG.LO J99 F98 H98 A99 N99 L99 I99 G98 
17 13 4	HJJJ.SH.FFPSAA..PUBINDPUBINDLOGGNDLO J99 P99 F98 H98 A99 D99 N98 L99 B99 I99 G97 
17 11 6	HJJJPSH.FFPS.AADPUBINDLUBINDLOGGN..O J99 F98 H98 A98 N98 B99 I99 G97 
17 9 8	HJJJ.SH.FFPSAANDPU.INDPUBINDLOB.GGLO J99 P99 F98 H98 A99 N99 L99 I99 G99 
17 9 8	HJJJPSH.FFPSAANDPUBINDLUBINDLO..GG.O J99 F98 H98 A99 N99 B99 I99 G97 
17 11 6	H.JJJSH.FFPSAAN.PU.INDPUBINDLOBGGDLO J98 P99 F98 H98 A99 D99 N99 L99 I99 G98 
17 13 4	HJJJ.SHFF.PS..AAPUBINDPUBINDLOGGNDLO J99 P99 F99 H98 A97 D99 N98 L99 B99 I99 G97 
17 12 5	HJJJPSHFF.PS.AADPUBINDLUBINDLOGGN..O J99 F99 H98 A98 D98 N98 B99 I99 G97 
17 9 8	HJJJPSHFFDPSAANDPUBINDLUBIN.LOGG...O J99 F99 H98 A99 D99 N99 B99 I99 G97 
16 10 6	HJJJPSHFFDPSAA.DPUBINDLUBIN.LOGGN..O J99 F99 H98 A99 D99 N98 B99 I99 G97 
17 11 6	HJJJPSHFFDPSAA.DPUBIND.UBIN.LOGGN.LO J99 F99 H98 A99 D99 N98 L99 B99 I99 G97 
17 12 5	.JJJPSHFF.PSHAADPUBIND.UBINDLOGGN.LO H97 J99 F99 A98 B99 I99 N98 L99 G97 
17 11 6	HJJJPSH.FFPSAA.DPUBIND.UBINDLOGGN.LO J99 F98 H98 A99 N98 L99 B99 I99 G97 
17 13 4	HJJJPSHFF.PSB.AAPUBIND.U.INDLOGGNDLO J99 F99 H98 A97 D99 N98 L99 B98 I99 G97 
17 11 6	HJJJPSHFFDPS.AADPUBINDLUBIN.LOGGN..O J99 F99 H98 A98 D99 N98 B99 I99 G97 
17 9 8	HJJJPSHFFDPSAANDPUB.NDLUBIN.LO.I.GGO J99 F99 H98 A99 D99 N99 B99 I98 
17 9 8	HJJJ.SHFF.PSAANDPU.INDPUBINDLOB.GGLO J99 P99 F99 H98 A99 N99 L99 I99 G99 
17 11 6	HJJJPSH.FFPSAAN.PUBIND.UBINDLOGG.DLO J99 F98 H98 A99 D99 N99 L99 B99 I99 G97 
17 10 7	H.JJJSHFF.PSAANDPU.INDPUBINDLOBGG.LO J98 P99 F99 H98 A99 N99 L99 I99 G98 
17 13 4	HJJJPSHFF.PS.IAAPUBIND.UB.NDLOGGNDLO J99 F99 H98 A97 D99 N98 L99 B99 I98 G97 
17 9 8	HJJJPSH.FFPSAANDPUB.ND.UBINDLO.IGGLO J99 F98 H98 A99 N99 L99 B99 G99 
17 13 4	.JJJPSHFF.PSHAA.PUBIND.UBINDLOGGNDLO H97 J99 F99 A98 B99 I99 N98 D99 L99 G97 
17 9 8	HJJJPSHFFDPSAANDPU..NDLUBIN.LOBIGG.O J99 F99 H98 A99 D99 N99 L98 G99 
17 9 8	HJJJPSHFFDPSAANDPUB.ND.UBIN.LO.IGGLO J99 F99 H98 A99 D99 N99 L99 B99 G99 
17 12 5	HJJJPSHFF.PSAA.DPUBIND.UBINDLOGGN.LO J99 F99 H98 A99 D98 N98 L99 B99 I99 G97 
17 13 4	.JJJPSHFF.PSHIAAPUBINDLUB.NDLOGGND.O H97 J99 F99 A97 B99 I98 N98 D99 G97 
17 11 6	HJJJ.SHFF.PSAAN.PUBINDPUBINDLOGG.DLO J99 P99 F99 H98 A99 D99 N99 L99 B99 I99 G97 
16 12 4	HJJJ.SHFF.PSAA..PUBINDPUBINDLOGGNDLO J99 P99 F99 H98 A99 D99 N98 L99 B99 I99 G97 
17 13 4	HJJJPSH.FFPS..AAPUBIND.UBINDLOGGNDLO J99 F98 H98 A97 D99 N98 L99 B99 I99 G97 
17 9 8	HJJJ.SH.FFPSAANDPU..NDPUBINDLOBIGGLO J99 P99 F98 H98 A99 N99 L99 G99 
17 13 4	H.JJJSHFF.PSAA..PUBINDPUBINDLOGGNDLO J98 P99 F99 H98 A99 D99 N98 L99 B99 I99 G97 
17 11 6	HJJJ.SH.FFPSAAN.PUBINDPUBINDLO.GGDLO J99 P99 F98 H98 A99 D99 N99 L99 B99 I99 G98 
17 13 4	HJJJPSHFF.PSBAA.PUBIND.U.INDLOGGNDLO J99 F99 H98 A98 D99 N98 L99 B98 I99 G97 
17 13 4	.JJJPSHFF.PSH.AAPUBIND.UBINDLOGGNDLO H97 J99 F99 A97 B99 I99 N98 D99 L99 G97 
17 11 6	HJJJ.SH.FFPSAAN.PU.INDPUBINDLOBGGDLO J99 P99 F98 H98 A99 D99 N99 L99 I99 G98 
17 9 8	H.JJJSHFF.PSAANDPU..NDPUBINDLOBIGGLO J98 P99 F99 H98 A99 N99 L99 G99 
17 13 4	HJJJPSHIFFPS.IAAPUB.NDLUB.NDLOGGND.O J99 F98 H98 A97 D99 N98 B99 I97 G97 
17 13 4	HJJJ.SHFF.PS.AA.PUBINDPUBINDLOGGNDLO J99 P99 F99 H98 A98 D99 N98 L99 B99 I99 G97 
17 13 4	HJJJPSH.FFPS.IAAPUBINDLUB.NDLOGGND.O J99 F98 H98 A97 D99 N98 B99 I98 G97 
17 11 6	HJJJPSHFFDPSAA.DPUBINDLUBIN.LOGGN..O J99 F99 H98 A99 D97 N98 B99 I99 G97 
17 13 4	.JJJPSH.FFPSH.AAPUBINDLUBINDLOGGND.O H97 J99 F98 A97 B99 I99 N98 D99 G97 
17 13 4	HJJJPSHFF.PSBIAAPUBINDLU..NDLOGGND.O J99 F99 H98 A97 D99 N98 B98 I98 G97 
17 9 8	HJJJPSHFFDPSAANDPUBINDLUBIN.LO.GG..O J99 F99 H98 A99 D99 N99 B99 I99 G98 
17 9 8	HJJJPSHFFDPSAANDPU.IND.UBIN.LOBGG.LO J99 F99 H98 A99 D99 N99 L99 I99 G98 
17 9 8	HJJJ.SHFFDPSAANDPU..NDPUBIN.LOBIGGLO J99 P99 F99 H98 A99 D99 N99 L99 G99 
17 9 8	HJJJ.SHFF.PSAANDPUB.NDPUBINDLO.IGGLO J99 P99 F99 H98 A99 N99 L99 B99 G99 
17 10 7	HJJJ.SHFF.PSAANDPUBINDPUBINDLO.GG.LO J99 P99 F99 H98 A99 N99 L99 B99 I99 G98 
17 11 6	HJJJ.SHFF.PSAAN.PUBINDPUBINDLO.GGDLO J99 P99 F99 H98 A99 D99 N99 L99 B99 I99 G98 
18 10 8	H.JJJSH.FFPSAANDPU.INDPUBINDLOBGG.LO J98 P99 F98 H98 A99 N99 L99 I99 G98 
18 12 6	HJJJPSH.FFPSBAADPUBINDLU.INDLOGGN..O J99 F98 H98 A98 N98 B98 I99 G97 
18 14 4	H.JJJSHFF.PS..AAPUBINDPUBINDLOGGNDLO J98 P99 F99 H98 A97 D99 N98 L99 B99 I99 G97 
18 13 5	.JJJ.SHFF.PSHAADPUBINDPUBINDLOGGN.LO H97 J99 P99 F99 A98 B99 I99 N98 L99 G97 
18 14 4	HJJJPSH.FFPSBAA.PUBIND.U.INDLOGGNDLO J99 F98 H98 A98 D99 N98 L99 B98 I99 G97 
18 11 7	HJJJ.SHFF.PSAANDPUBINDPUBINDLOGG..LO J99 P99 F99 H98 A99 N99 L99 B99 I99 G97 
17 12 5	HJJJ.SHFF.PSAA.DPUBINDPUBINDLOGGN.LO J99 P99 F99 H98 A99 N98 L99 B99 I99 G97 
18 10 8	HJJJPSH.FFPSAANDPUBIND.UBINDLO..GGLO J99 F98 H98 A99 N99 L99 B99 I99 G97 
18 14 4	HJJJ.SHFF.PSB.AAPUBINDPU.INDLOGGNDLO J99 P99 F99 H98 A97 D99 N98 L99 B98 I99 G97 
18 12 6	HJJJPSHFFDPS.AADPUBIND.UBIN.LOGGN.LO J99 F99 H98 A98 D99 N98 L99 B99 I99 G97 
18 13 5	HJJJ.SHFF.PS.AADPUBINDPUBINDLOGGN.LO J99 P99 F99 H98 A98 N98 L99 B99 I99 G97 
18 12 6	HJJJPSH.FFPS.AADPUBIND.UBINDLOGGN.LO J99 F98 H98 A98 N98 L99 B99 I99 G97 
17 13 4	HJJJPSH.FFPS.AA.PUBIND.UBINDLOGGNDLO J99 F98 H98 A98 D99 N98 L99 B99 I99 G97 
18 12 6	.JJJPSH.FFPSHAADPUBINDLUBINDLOGGN..O H97 J99 F98 A98 B99 I99 N98 G97 
17 13 4	.JJJPSH.FFPSHAA.PUBINDLUBINDLOGGND.O H97 J99 F98 A98 D99 B99 I99 N98 G97 
18 13 5	HJJJPSHFF.PSBAADPUBINDLU.INDLOGGN..O J99 F99 H98 A98 D98 N98 B98 I99 G97 
18 14 4	.JJJ.SHFF.PSH.AAPUBINDPUBINDLOGGNDLO H97 J99 F99 P99 A97 B99 I99 N98 D99 L99 G97 
18 12 6	HJJJPSHFFDPSBAADPUBINDLU.IN.LOGGN..O J99 F99 H98 A98 D99 N98 B98 I99 G97 
18 10 8	HJJJPSH.FFPSAANDPUBIND.UBINDLOGG..LO J99 F98 H98 A99 N99 L99 B99 I99 G97 
