4 4 0	CC.BBB.HHFLYAA.FLY.W.FLYGWDUUUG.DEEE C99 H99 A99 W99 
4 4 0	CC.BBB.HHFLYAA.FLY..DFLYGWDUUUGW.EEE C99 H99 A99 D99 
4 4 0	CC.BBB.HHFLYAADFLY..DFLYGW.UUUGW.EEE C99 H99 A99 D98 
4 4 0	CC.BBB.HHFLY.AAFLYGW.FLYGWDUUU..DEEE C99 H99 G99 W99 
4 4 0	CC.BBB.HHFLY.AAFLYG.DFLYGWDUUU.W.EEE C99 H99 G99 D99 
4 4 0	CC.BBB.HHFLYGAAFLYGW.FLY.WDUUU..DEEE C99 H99 G98 W99 
4 4 0	CC.BBB.HHFLYGAAFLYG.DFLY.WDUUU.W.EEE C99 H99 G98 D99 
4 4 0	CC.BBBGHHFLYGAAFLY.W.FLY.WDUUU..DEEE C99 H99 G97 W99 
4 4 0	CC.BBBGHHFLYGAAFLY..DFLY.WDUUU.W.EEE C99 H99 G97 D99 
4 4 0	CC.BBB.HHFLY.AAFLY.WDFLYGWDUUUG..EEE C99 H99 W99 D99 
4 4 0	CC.BBB.HHFLY.AAFLY..DFLYGWDUUUGWEEE. C99 H99 D99 E99 
4 4 0	CC.BBBHH.FLYAA.FLYGW.FLYGWDUUU..DEEE C99 A99 G99 W99 
4 4 0	CC.BBBHH.FLYAA.FLYG.DFLYGWDUUU.W.EEE C99 A99 G99 D99 
4 4 0	CC.BBBHH.FLYAADFLYG.DFLYGW.UUU.W.EEE C99 A99 G99 D98 
4 4 0	CC.BBBHHDFLYAADFLYG..FLYGW.UUU.W.EEE C99 A99 G99 D97 
4 4 0	CCDBBBHHDFLYAA.FLYG..FLYGW.UUU.W.EEE C99 A99 G99 D96 
4 4 0	CC.BBBHH.FLYAA.FLY.WDFLYGWDUUUG..EEE C99 A99 W99 D99 
4 4 0	CC.BBBHH.FLYAADFLY.WDFLYGW.UUUG..EEE C99 A99 W99 D98 
4 4 0	CC.BBBHHDFLYAADFLY.W.FLYGW.UUUG..EEE C99 A99 W99 D97 
4 4 0	CCDBBBHHDFLYAA.FLY.W.FLYGW.UUUG..EEE C99 A99 W99 D96 
4 4 0	CC.BBBHH.FLYAA.FLY..DFLYGWDUUUGWEEE. C99 A99 D99 E99 
4 4 0	CC.BBBHH.FLYAADFLY..DFLYGWUUU.GW.EEE C99 A99 D98 U99 
4 4 0	CC.BBBHH.FLYAADFLY..DFLYGW.UUUGWEEE. C99 A99 D98 E99 
4 4 0	CC.BBBHHDFLYAADFLY...FLYGWUUU.GW.EEE C99 A99 D97 U99 
4 4 0	CC.BBBHHDFLYAADFLY...FLYGW.UUUGWEEE. C99 A99 D97 E99 
4 4 0	CCDBBBHHDFLY.AAFLY...FLYGW.UUUGW.EEE C99 A98 D96 
4 4 0	CCDBBBHHDFLYAA.FLY...FLYGWUUU.GW.EEE C99 A99 D96 U99 
4 4 0	CCDBBBHHDFLYAA.FLY...FLYGW.UUUGWEEE. C99 A99 D96 E99 
4 4 0	CC.BBBHH.FLY.AAFLYGWDFLYGWDUUU...EEE C99 G99 W99 D99 
4 4 0	CC.BBBHH.FLY.AAFLYG.DFLYGWDUUU.WEEE. C99 G99 D99 E99 
4 4 0	CC.BBBHH.FLYGAAFLYGWDFLY.WDUUU...EEE C99 G98 W99 D99 
4 4 0	CC.BBBHH.FLYGAAFLYG.DFLY.WDUUU.WEEE. C99 G98 D99 E99 
4 4 0	CC.BBBHH.FLY.AAFLY.WDFLYGWDUUUG.EEE. C99 W99 D99 E99 
4 4 0	CC.BBBHH.FLY.AAFLY.WDFLYGWDUUUGEEE.. C99 W99 D99 E98 
4 4 0	.CCBBB.HHFLYAA.FLYGW.FLYGWDUUU..DEEE H99 A99 G99 W99 
4 4 0	.CCBBB.HHFLYAA.FLYG.DFLYGWDUUU.W.EEE H99 A99 G99 D99 
4 4 0	.CCBBB.HHFLYAADFLYG.DFLYGW.UUU.W.EEE H99 A99 G99 D98 
4 4 0	.CCBBB.HHFLYAA.FLY.WDFLYGWDUUUG..EEE H99 A99 W99 D99 
4 4 0	.CCBBB.HHFLYAADFLY.WDFLYGW.UUUG..EEE H99 A99 W99 D98 
4 4 0	.CCBBB.HHFLYAA.FLY..DFLYGWDUUUGWEEE. H99 A99 D99 E99 
4 4 0	.CCBBB.HHFLYAADFLY..DFLYGWUUU.GW.EEE H99 A99 D98 U99 
4 4 0	.CCBBB.HHFLYAADFLY..DFLYGW.UUUGWEEE. H99 A99 D98 E99 
4 4 0	.CCBBB.HHFLY.AAFLYGWDFLYGWDUUU...EEE H99 G99 W99 D99 
4 4 0	.CCBBB.HHFLY.AAFLYG.DFLYGWDUUU.WEEE. H99 G99 D99 E99 
4 4 0	.CCBBB.HHFLYGAAFLYGWDFLY.WDUUU...EEE H99 G98 W99 D99 
4 4 0	.CCBBB.HHFLYGAAFLYG.DFLY.WDUUU.WEEE. H99 G98 D99 E99 
4 4 0	.CCBBBGHHFLYGAAFLY.WDFLY.WDUUU...EEE H99 G97 W99 D99 
4 4 0	.CCBBBGHHFLYGAAFLY..DFLY.WDUUU.WEEE. H99 G97 D99 E99 
4 4 0	GCCBBBGHHFLYAA.FLY.W.FLY.WDUUU..DEEE H99 A99 G96 W99 
4 4 0	GCCBBBGHHFLYAA.FLY..DFLY.WDUUU.W.EEE H99 A99 G96 D99 
4 4 0	GCCBBBGHHFLYAADFLY..DFLY.W.UUU.W.EEE H99 A99 G96 D98 
4 4 0	GCCBBBGHHFLY.AAFLY.WDFLY.WDUUU...EEE H99 G96 W99 D99 
4 4 0	GCCBBBGHHFLY.AAFLY..DFLY.WDUUU.WEEE. H99 G96 D99 E99 
4 4 0	.CCBBB.HHFLY.AAFLY.WDFLYGWDUUUG.EEE. H99 W99 D99 E99 
4 4 0	.CCBBB.HHFLY.AAFLY.WDFLYGWDUUUGEEE.. H99 W99 D99 E98 
4 4 0	.CCBBBHH.FLYAA.FLYGWDFLYGWDUUU...EEE A99 G99 W99 D99 
4 4 0	.CCBBBHH.FLYAADFLYGWDFLYGW.UUU...EEE A99 G99 W99 D98 
4 4 0	.CCBBBHHDFLYAADFLYGW.FLYGW.UUU...EEE A99 G99 W99 D97 
4 4 0	.CCBBBHH.FLYAA.FLYG.DFLYGWDUUU.WEEE. A99 G99 D99 E99 
4 4 0	.CCBBBHH.FLYAADFLYG.DFLYGWUUU..W.EEE A99 G99 D98 U99 
4 4 0	.CCBBBHH.FLYAADFLYG.DFLYGW.UUU.WEEE. A99 G99 D98 E99 
4 4 0	.CCBBBHHDFLYAADFLYG..FLYGWUUU..W.EEE A99 G99 D97 U99 
4 4 0	.CCBBBHHDFLYAADFLYG..FLYGW.UUU.WEEE. A99 G99 D97 E99 
4 4 0	.CCBBBHH.FLYAA.FLY.WDFLYGWDUUUG.EEE. A99 W99 D99 E99 
4 4 0	.CCBBBHH.FLYAA.FLY.WDFLYGWDUUUGEEE.. A99 W99 D99 E98 
4 4 0	.CCBBBHH.FLYAADFLY.WDFLYGWUUU.G..EEE A99 W99 D98 U99 
4 4 0	.CCBBBHH.FLYAADFLY.WDFLYGW.UUUG.EEE. A99 W99 D98 E99 
4 4 0	.CCBBBHH.FLYAADFLY.WDFLYGW.UUUGEEE.. A99 W99 D98 E98 
4 4 0	.CCBBBHHDFLYAADFLY.W.FLYGWUUU.G..EEE A99 W99 D97 U99 
4 4 0	.CCBBBHHDFLYAADFLY.W.FLYGW.UUUG.EEE. A99 W99 D97 E99 
4 4 0	.CCBBBHHDFLYAADFLY.W.FLYGW.UUUGEEE.. A99 W99 D97 E98 
4 4 0	.CCBBBHH.FL.AADFLY..DFLYGWUUUYGW.EEE Y99 A99 D98 U99 
4 4 0	.CCBBBHH.FLYAADFLY..DFLYGWUUU.GWEEE. A99 D98 U99 E99 
4 4 0	.CCBBBHHDFL.AADFLY...FLYGWUUUYGW.EEE Y99 A99 D97 U99 
4 4 0	.CCBBBHHDFLYAADFLY...FLYGWUUU.GWEEE. A99 D97 U99 E99 
4 4 0	.CCBBBHH.FLY.AAFLYGWDFLYGWDUUU..EEE. G99 W99 D99 E99 
4 4 0	.CCBBBHH.FLY.AAFLYGWDFLYGWDUUU.EEE.. G99 W99 D99 E98 
4 4 0	.CCBBBHH.FLY.AAFLYGWDFLYGWDUUUEEE... G99 W99 D99 E97 
4 4 0	.CCBBBHH.FLYGAAFLYGWDFLY.WDUUU..EEE. G98 W99 D99 E99 
4 4 0	.CCBBBHH.FLYGAAFLYGWDFLY.WDUUU.EEE.. G98 W99 D99 E98 
4 4 0	.CCBBBHH.FLYGAAFLYGWDFLY.WDUUUEEE... G98 W99 D99 E97 
5 5 0	CCBBBY.HHFLYAA.FLY...FL.GWDUUUGWDEEE C99 B99 H99 Y99 A99 
5 5 0	CCBBBY.HHFLY.AAFLYG..FL.GWDUUU.WDEEE C99 B99 H99 Y99 G99 
5 5 0	CCBBBY.HHFLYGAAFLYG..FL..WDUUU.WDEEE C99 B99 H99 Y99 G98 
5 5 0	CCBBBYGHHFLYGAAFLY...FL..WDUUU.WDEEE C99 B99 H99 Y99 G97 
5 5 0	CCBBBY.HHFLY.AAFLY.W.FL.GWDUUUG.DEEE C99 B99 H99 Y99 W99 
5 5 0	CCBBBY.HHFLY.AAFLY..DFL.GWDUUUGW.EEE C99 B99 H99 Y99 D99 
5 5 0	CCBBB..HHFLYAA.FLYG..FLYGWDUUU.WDEEE C99 B99 H99 A99 G99 
5 5 0	CCBBB..HHFLYAA.FLY.W.FLYGWDUUUG.DEEE C99 B99 H99 A99 W99 
5 5 0	CCBBB..HHFLYAA.FLY..DFLYGWDUUUGW.EEE C99 B99 H99 A99 D99 
5 5 0	CCBBB..HHFLYAADFLY..DFLYGW.UUUGW.EEE C99 B99 H99 A99 D98 
5 5 0	CCBBB..HHFLY.AAFLYGW.FLYGWDUUU..DEEE C99 B99 H99 G99 W99 
5 5 0	CCBBB..HHFLY.AAFLYG.DFLYGWDUUU.W.EEE C99 B99 H99 G99 D99 
5 5 0	CCBBB..HHFLYGAAFLYGW.FLY.WDUUU..DEEE C99 B99 H99 G98 W99 
5 5 0	CCBBB..HHFLYGAAFLYG.DFLY.WDUUU.W.EEE C99 B99 H99 G98 D99 
5 5 0	CCBBB.GHHFLYGAAFLY.W.FLY.WDUUU..DEEE C99 B99 H99 G97 W99 
5 5 0	CCBBB.GHHFLYGAAFLY..DFLY.WDUUU.W.EEE C99 B99 H99 G97 D99 
5 5 0	CCBBB..HHFLY.AAFLY.WDFLYGWDUUUG..EEE C99 B99 H99 W99 D99 
5 5 0	CCBBB..HHFLY.AAFLY..DFLYGWDUUUGWEEE. C99 B99 H99 D99 E99 
5 5 0	CCBBBYHH.FLYAA.FLYG..FL.GWDUUU.WDEEE C99 B99 Y99 A99 G99 
5 5 0	CCBBBYHH.FLYAA.FLY.W.FL.GWDUUUG.DEEE C99 B99 Y99 A99 W99 
5 5 0	CCBBBYHH.FLYAA.FLY..DFL.GWDUUUGW.EEE C99 B99 Y99 A99 D99 
5 5 0	CCBBBYHH.FLYAADFLY..DFL.GW.UUUGW.EEE C99 B99 Y99 A99 D98 
5 5 0	CCBBBYHHDFLYAADFLY...FL.GW.UUUGW.EEE C99 B99 Y99 A99 D97 
5 5 0	CCBBBYHH.FLY.AAFLYGW.FL.GWDUUU..DEEE C99 B99 Y99 G99 W99 
5 5 0	CCBBBYHH.FLY.AAFLYG.DFL.GWDUUU.W.EEE C99 B99 Y99 G99 D99 
5 5 0	CCBBBYHH.FLYGAAFLYGW.FL..WDUUU..DEEE C99 B99 Y99 G98 W99 
5 5 0	CCBBBYHH.FLYGAAFLYG.DFL..WDUUU.W.EEE C99 B99 Y99 G98 D99 
5 5 0	CCBBBYHH.FLY.AAFLY.WDFL.GWDUUUG..EEE C99 B99 Y99 W99 D99 
5 5 0	CCBBBYHH.FLY.AAFLY..DFL.GWDUUUGWEEE. C99 B99 Y99 D99 E99 
5 5 0	CCBBB.HH.FLYAA.FLYGW.FLYGWDUUU..DEEE C99 B99 A99 G99 W99 
5 5 0	CCBBB.HH.FLYAA.FLYG.DFLYGWDUUU.W.EEE C99 B99 A99 G99 D99 
5 5 0	CCBBB.HH.FLYAADFLYG.DFLYGW.UUU.W.EEE C99 B99 A99 G99 D98 
5 5 0	CCBBB.HHDFLYAADFLYG..FLYGW.UUU.W.EEE C99 B99 A99 G99 D97 
5 5 0	CCBBB.HH.FLYAA.FLY.WDFLYGWDUUUG..EEE C99 B99 A99 W99 D99 
5 5 0	CCBBB.HH.FLYAADFLY.WDFLYGW.UUUG..EEE C99 B99 A99 W99 D98 
5 5 0	CCBBB.HHDFLYAADFLY.W.FLYGW.UUUG..EEE C99 B99 A99 W99 D97 
5 5 0	CCBBB.HH.FLYAA.FLY..DFLYGWDUUUGWEEE. C99 B99 A99 D99 E99 
5 5 0	CCBBB.HH.FLYAADFLY..DFLYGWUUU.GW.EEE C99 B99 A99 D98 U99 
5 5 0	CCBBB.HH.FLYAADFLY..DFLYGW.UUUGWEEE. C99 B99 A99 D98 E99 
5 5 0	CCBBB.HHDFLYAADFLY...FLYGWUUU.GW.EEE C99 B99 A99 D97 U99 
5 5 0	CCBBB.HHDFLYAADFLY...FLYGW.UUUGWEEE. C99 B99 A99 D97 E99 
5 5 0	CCBBB.HH.FLY.AAFLYGWDFLYGWDUUU...EEE C99 B99 G99 W99 D99 
5 5 0	CCBBB.HH.FLY.AAFLYG.DFLYGWDUUU.WEEE. C99 B99 G99 D99 E99 
5 5 0	CCBBB.HH.FLYGAAFLYGWDFLY.WDUUU...EEE C99 B99 G98 W99 D99 
5 5 0	CCBBB.HH.FLYGAAFLYG.DFLY.WDUUU.WEEE. C99 B99 G98 D99 E99 
5 5 0	CCBBB.HH.FLY.AAFLY.WDFLYGWDUUUG.EEE. C99 B99 W99 D99 E99 
5 5 0	CCBBB.HH.FLY.AAFLY.WDFLYGWDUUUGEEE.. C99 B99 W99 D99 E98 
5 5 0	CC.BBB.HHFLYAA.FLYGW.FLYGWDUUU..DEEE C99 H99 A99 G99 W99 
5 5 0	CC.BBB.HHFLYAA.FLYG.DFLYGWDUUU.W.EEE C99 H99 A99 G99 D99 
5 5 0	CC.BBB.HHFLYAADFLYG.DFLYGW.UUU.W.EEE C99 H99 A99 G99 D98 
5 5 0	CC.BBB.HHFLYAA.FLY.WDFLYGWDUUUG..EEE C99 H99 A99 W99 D99 
5 5 0	CC.BBB.HHFLYAADFLY.WDFLYGW.UUUG..EEE C99 H99 A99 W99 D98 
5 5 0	CC.BBB.HHFLYAA.FLY..DFLYGWDUUUGWEEE. C99 H99 A99 D99 E99 
5 5 0	CC.BBB.HHFLYAADFLY..DFLYGWUUU.GW.EEE C99 H99 A99 D98 U99 
5 5 0	CC.BBB.HHFLYAADFLY..DFLYGW.UUUGWEEE. C99 H99 A99 D98 E99 
5 5 0	CC.BBB.HHFLY.AAFLYGWDFLYGWDUUU...EEE C99 H99 G99 W99 D99 
5 5 0	CC.BBB.HHFLY.AAFLYG.DFLYGWDUUU.WEEE. C99 H99 G99 D99 E99 
5 5 0	CC.BBB.HHFLYGAAFLYGWDFLY.WDUUU...EEE C99 H99 G98 W99 D99 
5 5 0	CC.BBB.HHFLYGAAFLYG.DFLY.WDUUU.WEEE. C99 H99 G98 D99 E99 
