3 3 0	YOO.TTYIIIPF.AA.PF.CCDD.MUUU.LMKKEEL T99 Y99 M99 
3 3 0	YOO.TTYIIIPFMAA.PFMCCDD..UUU.L.KKEEL T99 Y99 M99 
3 3 0	YOO.TTYIIIPF.AA.PFMCC.DDMUUU.L.KKEEL T99 Y99 D99 
3 3 0	YOO.TTYIIIPF.AA.PFMCCDD.M.UUUL.KKEEL T99 Y99 U99 
3 3 0	YOO.TTYIIIPF.AA.PFMCCDDLMUUU.L.KKEE. T99 Y99 L99 
3 3 0	YOO.TTYIIIPF.AA.PFMCCDD.MUUU.LKK.EEL T99 Y99 K99 
3 3 0	.OO.TTYIIIP.Y.AAPFMCCDDFMUUU.L.KKEEL T99 F99 A99 
3 3 0	.OO.TTYIIIP.YAA.PF.CCDDFMUUU.LMKKEEL T99 F99 M99 
3 3 0	.OO.TTYIIIP.YAA.PFMCCDDFM.UUUL.KKEEL T99 F99 U99 
3 3 0	.OO.TTYIIIP.YAA.PFMCCDDFMUUU.LKK.EEL T99 F99 K99 
3 3 0	.OO.TTYIIIPFY.AAPF.CCDD.MUUU.LMKKEEL T99 A99 M99 
3 3 0	.OO.TTYIIIPFY.AAPFMCC.DDMUUU.L.KKEEL T99 A99 D99 
3 3 0	.OO.TTYIIIPFY.AAPFMCCDD.M.UUUL.KKEEL T99 A99 U99 
3 3 0	.OO.TTYIIIPFY.AAPFMCCDDLMUUU.L.KKEE. T99 A99 L99 
3 3 0	.OO.TTYIIIPFY.AAPFMCCDD.MUUU.LKK.EEL T99 A99 K99 
3 3 0	.OO.TT.IIIPFYAA.PFYCCDD.MUUU.LMKKEEL T99 Y99 M99 
3 3 0	.OO.TTYIIIPFYAA.PFCC.DD.MUUU.LMKKEEL T99 M99 C99 
3 3 0	.OO.TTYIIIPFYAA.PF.CC.DDMUUU.LMKKEEL T99 M99 D99 
3 3 0	.OO.TTYIIIPFYAA.PF.CCDD.M.UUULMKKEEL T99 M99 U99 
3 3 0	.OO.TTYIIIPFYAA.PF.CCDDLMUUU.LMKKEE. T99 M99 L99 
3 3 0	.OO.TTYIIIPFYAA.PFM.CCDDMUUU.L.KKEEL T99 C99 D99 
3 3 0	.OO.TTYIIIPFYAA.PFMCC.DDM.UUUL.KKEEL T99 D99 U99 
3 3 0	.OO.TTYIIIPFYAA.PFMCC.DDMUUU.LKK.EEL T99 D99 K99 
3 3 0	.OO.TTYIIIPFYAA.PFMCCDDLM.UUUL.KKEE. T99 U99 L99 
3 3 0	.OO.TTYIIIPFYAA.PFMCCDD.M.UUULKK.EEL T99 U99 K99 
3 3 0	.OO.TTYIIIPFYAA.PFMCCDDLMUUU.LKK.EE. T99 L99 K99 
3 3 0	.OO.TTYIIIPFYAA.PFMCCDDLMUUU.L.KK.EE T99 L99 E99 
3 3 0	.OO.TTYIIIPFYAA.PFMCCDD.MUUU.LKKEE.L T99 K99 E99 
3 3 0	YOOTT.YIIIP.AA..PFMCCDDFMUUU.L.KKEEL Y99 F99 A99 
3 3 0	YOOTT.YIIIP...AAPFMCCDDFMUUU.L.KKEEL Y99 F99 A99 
3 3 0	YOOTT.YIIIP..AA.PF.CCDDFMUUU.LMKKEEL Y99 F99 M99 
3 3 0	YOOTT.YIIIP.MAA.PFMCCDDF.UUU.L.KKEEL Y99 F99 M99 
3 3 0	YOOTT.YIIIP..AA.PFMCCDDFM.UUUL.KKEEL Y99 F99 U99 
3 3 0	YOOTT.YIIIP..AA.PFMCCDDFMUUU.LKK.EEL Y99 F99 K99 
3 3 0	YOOTTFYIIIPFAA..P.MCCDD.MUUU.L.KKEEL Y99 F99 A99 
3 3 0	YOOTTFYIIIPF..AAP.MCCDD.MUUU.L.KKEEL Y99 F99 A99 
