4 4 0	TTT........GAAB..G..B.CG.DEEC..D..C. G95 B99 F99 
4 4 0	TTT..G.....GAAB..G..B.C..DEEC..D..C. G94 B99 F99 
4 4 0	TTT.........AAB....DB.CG.DEECG....CG G97 B99 F99 D99 
4 4 0	TTT.....B...AAB.CG....CG.DEECG.D.... G96 F99 C99 
4 4 0	TTT.....B..GAAB.CG....CG.DEEC..D.... G95 F99 C99 
4 4 0	TTT..G..B..GAAB.CG....C..DEEC..D.... G94 F99 C99 
4 4 0	TTT.....B...AAB.C..D..CG.DEECG.....G G97 F99 C99 D99 
4 4 0	TTT.....B.C.AAB.CG....CG.DEE.G.D.... G96 F99 C98 
4 4 0	TTT.....B.CGAAB.CG....CG.DEE...D.... G95 F99 C98 
4 4 0	TTT..G..B.CGAAB.CG....C..DEE...D.... G94 F99 C98 
4 4 0	TTT.....B.C.AAB.C..D..CG.DEE.G.....G G97 F99 C98 D99 
4 4 0	TTT.....B.C.AAB.C.....CG.D.EEG.D...G G97 F99 C98 E99 
4 4 0	TTT.C...B.C.AAB.CG.....G.DEE.G.D.... G96 F99 C97 
4 4 0	TTT.C...B.CGAAB.CG.....G.DEE...D.... G95 F99 C97 
4 4 0	TTT.CG..B.CGAAB.CG.......DEE...D.... G94 F99 C97 
4 4 0	TTT.C...B.C.AAB.C..D...G.DEE.G.....G G97 F99 C97 D99 
4 4 0	TTT.C...B.C.AAB.C......G.D.EEG.D...G G97 F99 C97 E99 
4 4 0	TTT.....B...AAB..G.D..CG.DEECG....C. G96 F99 D99 
4 4 0	TTT.....B..GAAB..G.D..CG.DEEC.....C. G95 F99 D99 
4 4 0	TTT..G..B..GAAB..G.D..C..DEEC.....C. G94 F99 D99 
5 5 0	.TTT........AAB.C...B.CG.DEECG.D...G T99 G97 B99 F99 C99 
5 5 0	.TTT......C.AAB.C...B.CG.DEE.G.D...G T99 G97 B99 F99 C98 
5 5 0	.TTTC.....C.AAB.C...B..G.DEE.G.D...G T99 G97 B99 F99 C97 
5 5 0	.TTT........AAB..G..B.CG.DEECG.D..C. T99 G96 B99 F99 
5 5 0	.TTT.......GAAB..G..B.CG.DEEC..D..C. T99 G95 B99 F99 
5 5 0	.TTT.G.....GAAB..G..B.C..DEEC..D..C. T99 G94 B99 F99 
5 5 0	.TTT........AAB....DB.CG.DEECG....CG T99 G97 B99 F99 D99 
5 5 0	.TTT....B...AAB.CG....CG.DEECG.D.... T99 G96 F99 C99 
5 5 0	.TTT....B..GAAB.CG....CG.DEEC..D.... T99 G95 F99 C99 
5 5 0	.TTT.G..B..GAAB.CG....C..DEEC..D.... T99 G94 F99 C99 
5 5 0	.TTT....B...AAB.C..D..CG.DEECG.....G T99 G97 F99 C99 D99 
5 5 0	.TTT....B.C.AAB.CG....CG.DEE.G.D.... T99 G96 F99 C98 
5 5 0	.TTT....B.CGAAB.CG....CG.DEE...D.... T99 G95 F99 C98 
5 5 0	.TTT.G..B.CGAAB.CG....C..DEE...D.... T99 G94 F99 C98 
5 5 0	.TTT....B.C.AAB.C..D..CG.DEE.G.....G T99 G97 F99 C98 D99 
5 5 0	.TTT....B.C.AAB.C.....CG.D.EEG.D...G T99 G97 F99 C98 E99 
5 5 0	.TTTC...B.C.AAB.CG.....G.DEE.G.D.... T99 G96 F99 C97 
