0 0 0	Z...C.Z...C.Z.AAC.EEEB..Y..BDDY..... 
4 4 0	Z..BC.Z..BC.ZAA.C...EEE.Y.DD..Y..... A99 E98 B97 D98 
4 4 0	Z..BC.Z..BC.ZAA.C...EEE.YDD...Y..... A99 E98 B97 D97 
4 4 0	...BC.Z..BC.ZAA.C.Z..EEEY...DDY..... Z99 B97 A99 E97 
4 4 0	Z..BC.Z..BC.ZAA.C.Y..EEEY...DD...... A99 E97 B97 Y99 
4 4 0	Z..BC.Z..BC.ZAA.C....EEEY..DD.Y..... A99 E97 B97 D99 
4 4 0	Z..BC.Z..BC.ZAA.C....EEEY.DD..Y..... A99 E97 B97 D98 
4 4 0	Z..BC.Z..BC.ZAA.C....EEEYDD...Y..... A99 E97 B97 D97 
4 4 0	Z..B..Z..B..ZAA.C.EEE.C.Y.DDC.Y..... C98 A99 B97 D98 
4 4 0	Z..B..Z..B..ZAA...EEE.C.Y.DDC.Y...C. C97 A99 B97 D98 
4 4 0	Z..B..Z..B..ZAA.C.EEE.C.YDD.C.Y..... C98 A99 B97 D97 
4 4 0	Z..B..Z..B..ZAA...EEE.C.YDD.C.Y...C. C97 A99 B97 D97 
5 5 0	......Z...C.ZAA.C.ZEEEC.Y..BDDY..B.. Z99 C99 A99 E99 B99 
5 5 0	Z.....Z...C.ZAA.C.YEEEC.Y..BDD...B.. C99 A99 E99 B99 Y99 
5 5 0	Z.....Z...C.ZAA.C.EEEBC.YDDB..Y..... C99 A99 B98 D97 
5 5 0	Z.....Z...C.ZAA.C.EEE.C.YDDB..Y..B.. C99 A99 B97 D97 
5 5 0	......Z..BC.ZAABC.ZEEEC.Y...DDY..... Z99 B98 C99 A99 E99 
5 5 0	Z.....Z..BC.ZAABC.YEEEC.Y...DD...... C99 A99 E99 B98 Y99 
5 5 0	Z.....Z..BC.ZAABC..EEEC.Y..DD.Y..... C99 A99 E99 B98 D99 
5 5 0	Z.....Z..BC.ZAABC..EEEC.Y.DD..Y..... C99 A99 E99 B98 D98 
5 5 0	Z.....Z..BC.ZAABC..EEEC.YDD...Y..... C99 A99 E99 B98 D97 
5 5 0	Z..B..Z..BC.Z.AAC..EEEC.Y...DDY..... C99 A98 E99 B97 
5 5 0	Z..B..Z..BC.Z.AAC.EEE.C.Y..DD.Y..... C99 A98 B97 D99 
5 5 0	Z..B..Z..BC.Z.AAC.EEE.C.Y.DD..Y..... C99 A98 B97 D98 
5 5 0	Z..B..Z..BC.Z.AAC.EEE.C.YDD...Y..... C99 A98 B97 D97 
5 5 0	...B..Z..BC.ZAA.C.ZEEEC.Y...DDY..... Z99 B97 C99 A99 E99 
5 5 0	Z..B..Z..BC.ZAA.C.YEEEC.Y...DD...... C99 A99 E99 B97 Y99 
5 5 0	Z..B..Z..BC.ZAA.C..EEEC.Y..DD.Y..... C99 A99 E99 B97 D99 
5 5 0	Z..B..Z..BC.ZAA.C..EEEC.Y.DD..Y..... C99 A99 E99 B97 D98 
5 5 0	Z..B..Z..BC.ZAA.C..EEEC.YDD...Y..... C99 A99 E99 B97 D97 
5 5 0	Z.....Z.....ZAA.C.EEEBC.YDDBC.Y..... C98 A99 B98 D97 
5 5 0	Z.....Z.....ZAA.C.EEE.C.YDDBC.Y..B.. C98 A99 B97 D97 
5 5 0	Z.....Z.....ZAA...EEEBC.YDDBC.Y...C. C97 A99 B98 D97 
5 5 0	Z.....Z.....ZAA...EEE.C.YDDBC.Y..BC. C97 A99 B97 D97 
5 5 0	Z...C.Z...C.Z.AAC.EEEB..YDDB..Y..... A98 B98 D97 
