0 0 0	..B.....B...AAB.......C..DEEC..D..C. 
10 10 0	.D.....D....AAB.C...B.C.EEB.C....... B94 C97 A96 D96 E96 
10 10 0	.D.....D....AAB.....B.C.EEB.C.....C. B94 C96 A96 D96 E96 
10 10 0	.D.....D....AA..C...B.C.EEB.C...B... B93 C97 A96 D96 E96 
10 10 0	.D.....D....AA......B.C.EEB.C...B.C. B93 C96 A96 D96 E96 
10 10 0	.D.....D..C..AA.C...B.C.EEB.....B... B93 C98 A95 D96 E96 
10 10 0	.D.....D..C...AAC...B.C.EEB.....B... B93 C98 A94 D96 E96 
10 10 0	.D..C..D..C..AA.C...B...EEB.....B... B93 C97 A95 D96 E96 
10 10 0	.D..C..D..C...AAC...B...EEB.....B... B93 C97 A94 D96 E96 
11 11 0	.D.....D.....AA.C...B.C.EEB.C...B... B93 C97 A95 D96 E96 
11 11 0	.D.....D......AAC...B.C.EEB.C...B... B93 C97 A94 D96 E96 
11 11 0	.D.....D.....AA.....B.C.EEB.C...B.C. B93 C96 A95 D96 E96 
11 11 0	.D.....D......AA....B.C.EEB.C...B.C. B93 C96 A94 D96 E96 
11 11 0	.D.....D.......AA...B.C.EEB.C...B.C. B93 C96 A93 D96 E96 
11 11 0	.D.....D........AA..B.C.EEB.C...B.C. B93 C96 A92 D96 E96 
