12 9 3	E.....E...B.AA..B...DGB...DGCC..DGFF G97 B98 A96 D97 E96 C97 F98 
12 9 3	E...B.E...B..AA.B...DG....DGCC..DGFF G97 B97 A99 D97 E96 C97 F98 
12 9 3	....B.....B.E.AAB.E.DG....DGCC..DGFF G97 B97 A98 D97 E98 C97 F98 
12 9 3	....B.E...B.E.AAB...DG....DGCC..DGFF G97 B97 A98 D97 E97 C97 F98 
12 9 3	....B.....B...AAB.E.DG..E.DGCC..DGFF G97 B97 A98 D97 E99 C97 F98 
12 9 3	....B.....B..AA.B.E.DG..E.DGCC..DGFF G97 B97 A99 D97 E99 C97 F98 
12 9 3	....B.....B.EAA.B.E.DG....DGCC..DGFF G97 B97 A99 D97 E98 C97 F98 
12 6 6	..........B.AA.GB...DGB.E.DGCCE.D.FF G98 B98 D97 C97 F98 
12 6 6	...G.....GB.AA.GB...D.B.E.D.CCE.D.FF D97 G98 B98 C97 F98 
12 6 6	.........GB..AAGB...DGB.E.D.CCE.D.FF D97 G99 B98 A99 C97 F98 
12 6 6	.........GB.AA.GB.E.DGB.E.D.CC..D.FF D97 G99 B98 E99 C97 F98 
12 6 6	.........GB.AA.GB...DGB.E.DCC.E.D.FF D97 G99 B98 C96 F98 
12 6 6	.........GB.AA.GB...DGB.E.D.CCE.DFF. D97 G99 B98 C97 F97 
12 6 6	....B....GB.AA.GB...DG..E.D.CCE.D.FF D97 G99 B97 C97 F98 
13 7 6	..........B.AAD.B...DGB.E.DGCCE..GFF G97 B98 D96 C97 F98 
13 7 6	........D.B.AAD.B...DGB.E..GCCE..GFF G97 B98 D95 C97 F98 
13 4 9	..D.....DGB.AADGB....GB.E...CCEFF... G99 B98 C97 F99 
11 5 6	..D.....D.B.AAD.B....GB.E..GCCEFFG.. G97 B98 C97 F99 
12 6 6	........D.B.AAD.B...DGB.E..GCCEFFG.. D99 B98 G97 C97 F99 
12 6 6	..........B.AAD.B...DGB.E.DGCCEFFG.. D98 B98 G97 C97 F99 
12 6 6	..D.B...D.B.AAD.B....G..E..GCCEFFG.. G97 B97 C97 F99 
12 6 6	..D.....D.B.AAD.B.E..GB.E..GCC.FFG.. G97 B98 E99 C97 F99 
13 4 9	....B...D.B.AADGB.E.DG..ECCG..FF.... D99 B97 E99 F98 
13 4 9	....B...DGB.AADGB...DG..E.CC..E.FF.. D99 G99 B97 C99 
13 7 6	....B....GB.AA.GB...DG..E.D.CCE.DFF. D97 G99 B97 C97 F97 
13 4 9	........D.B.AADGB.E.DGB.ECCG..FF.... D99 B98 E99 F98 
13 4 9	........DG..AADGB...DGB.E.CCB.E.FF.. D99 G99 B99 C99 
13 4 9	...GB...DGB.AADGB...D...ECC...E..FF. D99 G98 B97 F99 
13 7 6	..D.B...D.B.AAD.B.E..G..E..GCC.FFG.. G97 B97 E99 C97 F99 
13 7 6	..D.....D.B.AAD.B.E..GB.E..GCCFF.G.. G97 B98 E99 C97 F98 
11 8 3	..........B.AA..B.E.DGB.E.DGCCFFDG.. D97 B98 E99 G97 C97 F98 
12 9 3	....B.....B.AA..B.E.DG..E.DGCCFFDG.. D97 B97 E99 G97 C97 F98 
12 9 3	..........B..AA.B.E.DGB.E.DGCCFFDG.. D97 B98 A99 E99 G97 C97 F98 
12 9 3	..........B...AAB.E.DGB.E.DGCCFFDG.. D97 B98 A98 E99 G97 C97 F98 
13 4 9	..DG....DG..AADGB.....B.E.CCB.EFF... G98 B99 C99 F99 
13 4 9	..DGB...DGB.AADGB.E.....E.CC....FF.. G98 B97 E99 C99 
13 4 9	..DG....DG..AADGB.E...B.E.CCB...FF.. G98 B99 E99 C99 
13 4 9	..D.B...DGB.AADGB.E..G..E.CC....FF.. G99 B97 E99 C99 
13 10 3	E.....E...B...AAB...DGB...DGCCFFDG.. D97 B98 A98 E96 G97 C97 F98 
13 4 9	..D.....DGB.AADGB.E..GB.E.CC....FF.. G99 B98 E99 C99 
13 4 9	..D.....DG..AADGB.E..GB.E.CCB...FF.. G99 B99 E99 C99 
13 4 9	..DG....DGB.AADGB.....B.E.CC..E...FF G98 B98 C99 F98 
13 4 9	..DGB...DGB.AADGB.......E..CC.E...FF G98 B97 C98 F98 
11 5 6	...GB....GB.AA.GB...D...E.DCC.E.D.FF D97 G98 B97 C98 F98 
12 6 6	...GB....GB..AAGB...D...E.DCC.E.D.FF D97 G98 B97 A99 C98 F98 
12 6 6	...GB....GB.AA.GB.E.D...E.DCC...D.FF D97 G98 B97 E99 C98 F98 
12 6 6	...GB....GB.AA.GB...D...E.DCC.E.DFF. D97 G98 B97 C98 F97 
13 4 9	..DGB...DGB.AADGB.......E.CC..E..FF. G98 B97 C99 F99 
13 4 9	...G....DGB.AADGB.E.D.B.ECC.....FF.. D99 G98 B98 E99 
13 4 9	...G....DG..AADGB.E.D.B.ECC.B...FF.. D99 G98 B99 E99 
13 4 9	....B...DGB.AADGB.E.DG..ECC.....FF.. D99 G99 B97 E99 
13 4 9	..D.B...D.B.AADGB....G..E..GCCE.FF.. G98 B97 C97 
13 4 9	..DG....DGB.AADGB.....B.E...CCEFF... G98 B98 C97 F99 
13 4 9	........DGB.AADGB.E.DGB.ECC.....FF.. D99 G99 B98 E99 
13 4 9	...G....DGB.AADGB...D.B.E...CCE.FF.. D99 G98 B98 C97 
13 4 9	..DG....DGB.AADGB.....B.E..CC.EFF... G98 B98 C98 F99 
13 7 6	...G.....GB.AA.GB...D.B.E.DCC.E.DFF. D97 G98 B96 C98 F97 
13 4 9	........DG..AADGB.E.DGB.ECC.B...FF.. D99 G99 B99 E99 
13 4 9	...G....DGB.AADGB...D.B.E..CC.E.FF.. D99 G98 B98 C98 
13 4 9	..D.....DGB.AADGB.E..GB.ECC......FF. G99 B98 E99 F99 
13 4 9	........DG..AADGB...DGB.ECC.B.E..FF. D99 G99 B99 F99 
13 4 9	..DGB...DGB.AADGB.E.....E...CC..FF.. G98 B97 E99 C97 
13 4 9	..D.....DGB.AADGB....GB.E.CC..E..FF. G99 B98 C99 F99 
13 7 6	..........B.AAD.B.E.DGB.E.DGCC.FFG.. D98 B98 G97 E99 C97 F99 
13 4 9	........DGB.AADGB...DGB.E..CC.E.FF.. D99 G99 B98 C98 
13 4 9	..D.B...DGB.AADGB....G..E...CCEFF... G99 B97 C97 F99 
13 4 9	..D.B...DGB.AADGB....G..E.CC..E..FF. G99 B97 C99 F99 
13 4 9	..D.B...DGB.AADGB.E..G..ECC......FF. G99 B97 E99 F99 
13 4 9	..D.....DG..AADGB....GB.E.CCB.EFF... G99 B99 C99 F99 
13 4 9	....B...DGB.AADGB...DG..E...CCE.FF.. D99 G99 B97 C97 
13 4 9	..D.....DGB.AADGB....GB.E..CC.EFF... G99 B98 C98 F99 
13 4 9	..DG....DGB.AADGB.....B.E.CC..EFF... G98 B98 C99 F99 
13 4 9	....B...DGB.AADGB...DG..E..CC.E.FF.. D99 G99 B97 C98 
13 4 9	..D.....DGB.AADGB....GB.E..CC.E...FF G99 B98 C98 F98 
13 4 9	...GB...DGB.AADGB...D...E...CCE.FF.. D99 G98 B97 C97 
13 4 9	..D.....DGB.AADGB....GB.E.CC..E...FF G99 B98 C99 F98 
