11 5 6	YI..D.YI..D..AACD.E.GC.LE.GC.LOOPPP. C98 L98 D98 O99 P99 
11 5 6	YI.CDLYI.CDLAA.CD.E.....E.G...OOGPPP L99 A99 D98 G99 O99 
11 5 6	YIGCDLYIGCDLAA.CD.E.....E.....OO.PPP L99 A99 D98 G97 O99 
11 5 6	YI...LYI...LAA.CD.E..CD.E.GCD.OOGPPP C98 L99 A99 G99 O99 
11 5 6	YI...LYI...LEAACD.E.GCD...GCD.OOPPP. C98 L99 E99 O99 P99 
11 5 6	YI....YI.C..EAACD.E.GCDL..G.DLOO.PPP C99 L96 E99 O99 
11 5 6	YI.C.LYI.CDLAA.CD.E...D.E.G...OOGPPP L99 A99 D99 G99 O99 
11 2 9	.I.C..YI.C.LYAACDLE.G.D.E.G.D.OO.PPP Y99 O99 
11 2 9	YI.C..YI.C...AACDLE.G.DLE.G.D.OO.PPP L99 O99 
11 2 9	YI.C..YI.C.LEAACDLE.G.D...G.D.OO.PPP E99 O99 
11 5 6	YI.C..YI.CD.EAACD.E.G.DL..G..LOO.PPP L98 D97 E99 O99 
11 5 6	YI.CD.YI.CD.EAACD.E....L..G..LOOGPPP L98 D98 E99 G99 O99 
11 5 6	.I..DLYI..DLYAACD.E.GC..E.GC..OO.PPP Y99 L99 C98 D98 O99 
11 5 6	YI..D.YI..D.EAACD.E.GC.L..GC.LOO.PPP C98 L98 D98 E99 O99 
11 5 6	.I.C.LYI.CDLYAACD.E.G.D.E.G...OOPPP. Y99 L99 D99 O99 P99 
11 5 6	YI.C..YI.CD..AACD.E.G.DLE.G..LOOPPP. L96 D99 O99 P99 
11 5 6	YI.C.LYI.CDLEAACD.E.G.D...G...OOPPP. L99 D99 E99 O99 P99 
11 5 6	YI.CDLYI.CDL.AACD.E.G...E.G...OOPPP. L99 D98 O99 P99 
11 5 6	.I.CDLYI.CDLYAACD.E.G...E.G...OOPPP. Y99 L99 D98 O99 P99 
11 5 6	YI...LYI..DL.AACD.E.GCD.E.GC..OOPPP. C98 L99 D99 O99 P99 
11 2 9	YI....YI.....AACDLE.GCDLE.GCD..OOPPP C98 L99 
11 5 6	YI...LYI.C.LEAACD.E.GCD...G.D.OOPPP. C99 L99 E99 O99 P99 
11 5 6	YI..DLYI.CDL.AACD.E.GC..E.G...OOPPP. C99 L99 D98 O99 P99 
