3 0 3	BB.K..CCCKU..AAKUG.FF.UG.....GEEE.TT 
6 4 2	BB....CCC.UGAA..UGFF.KUG...K..EEEKTT K97 A99 G99 F99 
6 4 2	BB....CCC..G.AA.UGFF.KUG...KU.EEEKTT K97 U99 G99 F99 
6 4 2	BB.....CCCUG.AA.UGFF.KUG...K..EEEKTT K97 C99 G99 F99 
6 4 2	...BB.CCC.UG.AA.UGFF.KUG...K..EEEKTT B97 K97 G99 F99 
6 4 2	BB..U.CCC.UG..AAUG.FFK.G...K..EEEKTT K97 U99 A99 G99 
6 4 2	..BB..CCC.UG.AA.UGFF.KUG...K..EEEKTT B98 K97 G99 F99 
6 4 2	BB...GCCC.UGAA..UGFF.KU....K..EEEKTT K97 A99 G98 F99 
6 4 2	BB...GCCC.UG..AAUGFF.KU....K..EEEKTT K97 A99 G98 F99 
6 4 2	BB..UGCCC.UG.AA.UGFF.K.....K..EEEKTT K97 U99 G98 F99 
6 4 2	BB...GCCC..G.AA.UGFF.KU....KU.EEEKTT K97 U99 G98 F99 
6 4 2	BB...G.CCCUG.AA.UGFF.KU....K..EEEKTT K97 C99 G98 F99 
6 4 2	...BBGCCC.UG.AA.UGFF.KU....K..EEEKTT B97 K97 G98 F99 
6 4 2	..BB.GCCC.UG.AA.UGFF.KU....K..EEEKTT B98 K97 G98 F99 
6 4 2	.BB...CCC.....AAUG.FFKUG...KUGEEEKTT B99 K97 U99 A99 
6 4 2	.BB....CCCU...AAUG.FFKUG...K.GEEEKTT B99 K97 C99 A99 
6 4 2	....BB.CCCU..AA.UGFF.KUG...K.GEEEKTT B96 K97 C99 F99 
6 4 2	BB.....CCCUGAA..UG.FFKUG...K..EEEKTT K97 C99 A99 G99 
6 4 2	.BB...CCC..G.AA.UG.FFKUG...KU.EEEKTT B99 K97 U99 G99 
6 4 2	.BB...CCC.UGAA..UG.FFKUG...K..EEEKTT B99 K97 A99 G99 
6 4 2	.BB...CCC.UG..AAUG.FFKUG...K..EEEKTT B99 K97 A99 G99 
6 4 2	BB....CCC..GAA..UG.FFKUG...KU.EEEKTT K97 U99 A99 G99 
