3 3 0	YOO.TTYIIIP...AAP.MCCHH.MUUU.L.KKEEL T99 Y99 A99 
3 3 0	YOO.TTYIIIP..AA.P..CCHH.MUUU.LMKKEEL T99 Y99 M99 
3 3 0	YOO.TTYIIIP.MAA.P.MCCHH..UUU.L.KKEEL T99 Y99 M99 
3 3 0	YOO.TTYIIIP..AA.P.MCC.HHMUUU.L.KKEEL T99 Y99 H99 
3 3 0	YOO.TTYIIIP..AA.P.MCCHH.M.UUUL.KKEEL T99 Y99 U99 
3 3 0	YOO.TTYIIIP..AA.P.MCCHHLMUUU.L.KKEE. T99 Y99 L99 
3 3 0	YOO.TTYIIIP..AA.PLMCCHHLMUUU...KKEE. T99 Y99 L98 
3 3 0	YOO.TTYIIIPL.AA.PLMCCHH.MUUU...KKEE. T99 Y99 L97 
3 3 0	YOO.TTYIIIP..AA.P.MCCHH.MUUU.LKK.EEL T99 Y99 K99 
3 3 0	.OO.TTYIIIP.Y.AAP..CCHH.MUUU.LMKKEEL T99 A99 M99 
3 3 0	.OO.TTYIIIP.Y.AAP.MCC.HHMUUU.L.KKEEL T99 A99 H99 
3 3 0	.OO.TTYIIIP.Y.AAP.MCCHH.M.UUUL.KKEEL T99 A99 U99 
3 3 0	.OO.TTYIIIP.Y.AAP.MCCHHLMUUU.L.KKEE. T99 A99 L99 
3 3 0	.OO.TTYIIIP.Y.AAPLMCCHHLMUUU...KKEE. T99 A99 L98 
3 3 0	.OO.TTYIIIPLY.AAPLMCCHH.MUUU...KKEE. T99 A99 L97 
3 3 0	.OO.TTYIIIP.Y.AAP.MCCHH.MUUU.LKK.EEL T99 A99 K99 
3 3 0	.OO.TT.IIIP.YAA.P.YCCHH.MUUU.LMKKEEL T99 Y99 M99 
3 3 0	.OO.TTYIIIP.YAA.P.CC.HH.MUUU.LMKKEEL T99 M99 C99 
3 3 0	.OO.TTYIIIP.YAA.P..CC.HHMUUU.LMKKEEL T99 M99 H99 
3 3 0	.OO.TTYIIIP.YAA.P..CCHH.M.UUULMKKEEL T99 M99 U99 
3 3 0	.OO.TTYIIIP.YAA.P..CCHHLMUUU.LMKKEE. T99 M99 L99 
3 3 0	.OO.TTYIIIP.YAA.PL.CCHHLMUUU..MKKEE. T99 M99 L98 
3 3 0	.OO.TTYIIIPLYAA.PL.CCHH.MUUU..MKKEE. T99 M99 L97 
3 3 0	.OO.TTYIIIP.YAA.P.M.CCHHMUUU.L.KKEEL T99 C99 H99 
3 3 0	.OO.TTYIIIP.YAA.P.MCC.HHM.UUUL.KKEEL T99 H99 U99 
3 3 0	.OO.TTYIIIP.YAA.P.MCC.HHMUUU.LKK.EEL T99 H99 K99 
3 3 0	.OO.TTYIIIP.YAA.P.MCCHHLM.UUUL.KKEE. T99 U99 L99 
3 3 0	.OO.TTYIIIP.YAA.PLMCCHHLM.UUU..KKEE. T99 U99 L98 
3 3 0	.OO.TTYIIIPLYAA.PLMCCHH.M.UUU..KKEE. T99 U99 L97 
3 3 0	.OO.TTYIIIP.YAA.P.MCCHH.M.UUULKK.EEL T99 U99 K99 
3 3 0	.OO.TTYIIIP.YAA.P.MCCHHLMUUU.LKK.EE. T99 L99 K99 
3 3 0	.OO.TTYIIIP.YAA.P.MCCHHLMUUU.L.KK.EE T99 L99 E99 
3 3 0	.OO.TTYIIIP.YAA.PLMCCHHLM..UUU.KKEE. T99 U98 L98 
3 3 0	.OO.TTYIIIP.YAA.PLMCCHHLMUUU..KK.EE. T99 L98 K99 
3 3 0	.OO.TTYIIIP.YAA.PLMCCHHLMUUU...KK.EE T99 L98 E99 
3 3 0	.OO.TTYIIIPLYAA.PLMCC.HHMUUU...KKEE. T99 H99 L97 
3 3 0	.OO.TTYIIIPLYAA.PLMCCHH.M..UUU.KKEE. T99 U98 L97 
3 3 0	.OO.TTYIIIPLYAA.PLMCCHH.MUUU..KK.EE. T99 L97 K99 
3 3 0	.OO.TTYIIIPLYAA.PLMCCHH.MUUU...KK.EE T99 L97 E99 
3 3 0	.OO.TTYIIIP.YAA.P.MCCHH.MUUU.LKKEE.L T99 K99 E99 
