5 5 0	....YYGGGB..AA.BSTF..CSTF..CPPF..CDD B99 A99 S99 C99 D98 
5 5 0	...BYYGGGB.TFAA.STF..CS.F..CPP.DDC.. S99 C99 T99 F99 D99 
5 5 0	...BYYGGGB.TFAA.STF..CS.F..CPPDD.C.. S99 C99 T99 F99 D98 
5 5 0	...BYYGGGB.TFAA.STF..CS.F..CPP...CDD S99 C99 T99 F99 D98 
5 5 0	....YYGGGB.T.AABSTF..CS.F..CPPFDDC.. B99 T99 S99 C99 D99 
5 5 0	...BYYGGGB.T..AASTF..CS.F..CPPFDDC.. S99 A99 C99 T99 D99 
5 5 0	....YYGGGB.T.AABSTF..CS.F..CPPF..CDD B99 T99 S99 C99 D98 
5 5 0	...BYYGGGB.T..AASTF..CS.F..CPPF..CDD S99 A99 C99 T99 D98 
5 5 0	....YYGGGB..FAABSTF..CSTF..CPP.DDC.. B99 F99 S99 C99 D99 
5 5 0	...BYYGGGB..F.AASTF..CSTF..CPP.DDC.. S99 A99 C99 F99 D99 
5 5 0	....YYGGGB..FAABSTF..CSTF..CPPDD.C.. B99 F99 S99 C99 D98 
5 5 0	...BYYGGGB..F.AASTF..CSTF..CPPDD.C.. S99 A99 C99 F99 D98 
5 5 0	....YYGGGB..FAABSTF..CSTF..CPP...CDD B99 F99 S99 C99 D98 
5 5 0	...BYYGGGB..F.AASTF..CSTF..CPP...CDD S99 A99 C99 F99 D98 
5 5 0	...YY.GGGB...AABSTF..CSTF..CPPFDDC.. Y99 B99 S99 C99 D99 
5 5 0	..YY..GGGB...AABSTF..CSTF..CPPFDDC.. Y98 B99 S99 C99 D99 
5 5 0	.YY...GGGB...AABSTF..CSTF..CPPFDDC.. Y97 B99 S99 C99 D99 
5 5 0	YY....GGGB...AABSTF..CSTF..CPPFDDC.. Y96 B99 S99 C99 D99 
5 5 0	...YY.GGGB...AABSTF..CSTF..CPPF..CDD Y99 B99 S99 C99 D98 
5 5 0	..YY..GGGB...AABSTF..CSTF..CPPF..CDD Y98 B99 S99 C99 D98 
5 5 0	.YY...GGGB...AABSTF..CSTF..CPPF..CDD Y97 B99 S99 C99 D98 
5 5 0	YY....GGGB...AABSTF..CSTF..CPPF..CDD Y96 B99 S99 C99 D98 
5 5 0	....YYGGGBSTAA.BSTF..C..F..CPPFDDC.. B99 T99 A99 C99 D99 
5 5 0	....YYGGGBSTAA.BSTF..C..F..CPPF..CDD B99 T99 A99 C99 D98 
5 5 0	...YY.GGGBS.AA.BSTF..C.TF..CPPFDDC.. Y99 B99 A99 C99 D99 
5 5 0	..YY..GGGBS.AA.BSTF..C.TF..CPPFDDC.. Y98 B99 A99 C99 D99 
5 5 0	.YY...GGGBS.AA.BSTF..C.TF..CPPFDDC.. Y97 B99 A99 C99 D99 
5 5 0	YY....GGGBS.AA.BSTF..C.TF..CPPFDDC.. Y96 B99 A99 C99 D99 
5 5 0	...YY.GGGBS.AA.BSTF..C.TF..CPPF..CDD Y99 B99 A99 C99 D98 
5 5 0	..YY..GGGBS.AA.BSTF..C.TF..CPPF..CDD Y98 B99 A99 C99 D98 
5 5 0	.YY...GGGBS.AA.BSTF..C.TF..CPPF..CDD Y97 B99 A99 C99 D98 
5 5 0	YY....GGGBS.AA.BSTF..C.TF..CPPF..CDD Y96 B99 A99 C99 D98 
5 5 0	....YYGGGBSTFAABSTF..C..F..CPP.DDC.. B99 T99 F99 C99 D99 
5 5 0	...BYYGGGBSTF.AASTF..C..F..CPP.DDC.. A99 C99 T99 F99 D99 
5 5 0	....YYGGGBSTFAABSTF..C..F..CPPDD.C.. B99 T99 F99 C99 D98 
5 5 0	...BYYGGGBSTF.AASTF..C..F..CPPDD.C.. A99 C99 T99 F99 D98 
5 5 0	....YYGGGBSTFAABSTF..C..F..CPP...CDD B99 T99 F99 C99 D98 
5 5 0	...BYYGGGBSTF.AASTF..C..F..CPP...CDD A99 C99 T99 F99 D98 
5 5 0	...YY.GGGBST.AABSTF..C..F..CPPFDDC.. Y99 B99 T99 C99 D99 
5 5 0	..YY..GGGBST.AABSTF..C..F..CPPFDDC.. Y98 B99 T99 C99 D99 
5 5 0	.YY...GGGBST.AABSTF..C..F..CPPFDDC.. Y97 B99 T99 C99 D99 
5 5 0	YY....GGGBST.AABSTF..C..F..CPPFDDC.. Y96 B99 T99 C99 D99 
5 5 0	...YY.GGGBST.AABSTF..C..F..CPPF..CDD Y99 B99 T99 C99 D98 
5 5 0	..YY..GGGBST.AABSTF..C..F..CPPF..CDD Y98 B99 T99 C99 D98 
5 5 0	.YY...GGGBST.AABSTF..C..F..CPPF..CDD Y97 B99 T99 C99 D98 
5 5 0	YY....GGGBST.AABSTF..C..F..CPPF..CDD Y96 B99 T99 C99 D98 
5 5 0	...YY.GGGBS.FAABSTF..C.TF..CPP.DDC.. Y99 B99 F99 C99 D99 
5 5 0	..YY..GGGBS.FAABSTF..C.TF..CPP.DDC.. Y98 B99 F99 C99 D99 
5 5 0	.YY...GGGBS.FAABSTF..C.TF..CPP.DDC.. Y97 B99 F99 C99 D99 
5 5 0	YY....GGGBS.FAABSTF..C.TF..CPP.DDC.. Y96 B99 F99 C99 D99 
5 5 0	...YY.GGGBS.FAABSTF..C.TF..CPPDD.C.. Y99 B99 F99 C99 D98 
5 5 0	..YY..GGGBS.FAABSTF..C.TF..CPPDD.C.. Y98 B99 F99 C99 D98 
5 5 0	.YY...GGGBS.FAABSTF..C.TF..CPPDD.C.. Y97 B99 F99 C99 D98 
5 5 0	YY....GGGBS.FAABSTF..C.TF..CPPDD.C.. Y96 B99 F99 C99 D98 
5 5 0	...YY.GGGBS.FAABSTF..C.TF..CPP...CDD Y99 B99 F99 C99 D98 
5 5 0	..YY..GGGBS.FAABSTF..C.TF..CPP...CDD Y98 B99 F99 C99 D98 
5 5 0	.YY...GGGBS.FAABSTF..C.TF..CPP...CDD Y97 B99 F99 C99 D98 
