7 4 3	CCBBB.HH.FLY.AAFLY.WDFLYGWDUUUG..EEE C99 B99 W99 D99 
7 4 3	.CCBBBHH.FLYGAAFLYGWDFLY.WDUUU..EEE. G98 W99 D99 E99 
7 4 3	CC.BBB.HHFLYAA.FLY.W.FLYGWDUUUG.DEEE C99 H99 A99 W99 
7 4 3	CCBBB.HH.FLYAA.FLY.W.FLYGWDUUUG.DEEE C99 B99 A99 W99 
7 4 3	GCCBBBGHHFLY.AAFLY..DFLY.WDUUU.WEEE. H99 G96 D99 E99 
7 3 4	.CCBBBHHDFLYAADFLY...FLYGWUUU.GW.EEE A99 D97 U99 
7 4 3	CCBBB.HH.FLYGAAFLYG.DFLY.WDUUU.W.EEE C99 B99 G98 D99 
7 4 3	CCBBB.HH.FLYAA.FLYG..FLYGWDUUU.WDEEE C99 B99 A99 G99 
7 4 3	.CCBBBHH.FLY.AAFLYGWDFLYGWDUUUEEE... G99 W99 D99 E97 
7 4 3	CC.BBBHH.FLYAA.FLY..DFLYGWDUUUGWEEE. C99 A99 D99 E99 
7 4 3	CCBBB.HH.FLY.AAFLY..DFLYGWDUUUGWEEE. C99 B99 D99 E99 
7 4 3	CCBBBY.HHFLY.AAFLY...FL.GWDUUUGWDEEE C99 B99 H99 Y99 
7 4 3	.CCBBB.HHFLY.AAFLYGWDFLYGWDUUU...EEE H99 G99 W99 D99 
7 4 3	.CCBBB.HHFLY.AAFLY.WDFLYGWDUUUGEEE.. H99 W99 D99 E98 
7 4 3	CC.BBB.HHFLY.AAFLYG.DFLYGWDUUU.W.EEE C99 H99 G99 D99 
7 4 3	CC.BBBHH.FLY.AAFLYG.DFLYGWDUUU.WEEE. C99 G99 D99 E99 
7 4 3	CC.BBBHH.FLY.AAFLY.WDFLYGWDUUUGEEE.. C99 W99 D99 E98 
7 4 3	CC.BBBHH.FLYGAAFLYG.DFLY.WDUUU.WEEE. C99 G98 D99 E99 
7 4 3	.CCBBB.HHFLYGAAFLYG.DFLY.WDUUU.WEEE. H99 G98 D99 E99 
7 4 3	CC.BBB.HHFLYGAAFLYG.DFLY.WDUUU.W.EEE C99 H99 G98 D99 
7 3 4	.CCBBBHHDFLYAADFLYG..FLYGW.UUU.W.EEE A99 G99 D97 
7 4 3	CC.BBB.HHFLYAA.FLYG..FLYGWDUUU.WDEEE C99 H99 A99 G99 
7 4 3	CC.BBB.HHFLY.AAFLY..DFLYGWDUUUGWEEE. C99 H99 D99 E99 
7 4 3	CC.BBB.HHFLYGAAFLYGW.FLY.WDUUU..DEEE C99 H99 G98 W99 
7 4 3	CCDBBBHHDFLY.AAFLY...FLYGW.UUUGW.EEE C99 A98 D96 
