0 0 0	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
8 8 0	HJJJPSH..DPSAANDPUBINDLUBIN.LOGG...O J99 H98 A99 D99 N99 B99 I99 G97 
8 8 0	HJJJPSH..DPSAANDPUB.ND.UBIN.LO.IGGLO J99 H98 A99 D99 N99 L99 B99 G99 
8 8 0	HJJJPSH..DPSAANDPU.IND.UBIN.LOB.GGLO J99 H98 A99 D99 N99 L99 I99 G99 
8 8 0	HJJJPSH..DPSAANDPU.IND.UBIN.LOBGG.LO J99 H98 A99 D99 N99 L99 I99 G98 
8 8 0	HJJJ.SH..DPSAANDPU..NDPUBIN.LOBIGGLO J99 P99 H98 A99 D99 N99 L99 G99 
8 8 0	HJJJPSH.NDPSAANDPUBINDLUBI..LO..GG.O J99 H98 A99 D99 N98 B99 I99 G99 
8 8 0	HJJJPSH.NDPSAANDPUBINDLUBI..LO.GG..O J99 H98 A99 D99 N98 B99 I99 G98 
8 8 0	HJJJPSH.NDPSAANDPUBINDLUBI..LOGG...O J99 H98 A99 D99 N98 B99 I99 G97 
8 8 0	HJJJPSH.NDPSAANDPUB.ND.UBI..LO.IGGLO J99 H98 A99 D99 N98 L99 B99 G99 
8 8 0	HJJJPSH.NDPSAANDPU.IND.UBI..LOB.GGLO J99 H98 A99 D99 N98 L99 I99 G99 
8 8 0	HJJJPSH.NDPSAANDPU.IND.UBI..LOBGG.LO J99 H98 A99 D99 N98 L99 I99 G98 
8 8 0	HJJJ.SH.NDPSAANDPU..NDPUBI..LOBIGGLO J99 P99 H98 A99 D99 N98 L99 G99 
8 8 0	HJJJPSH...PSAANDPUBIND.UBINDLO..GGLO J99 H98 A99 N99 L99 B99 I99 G99 
8 8 0	HJJJPSH...PSAAN.PUBINDLUBINDLO.GGD.O J99 H98 A99 D99 N99 B99 I99 G98 
8 8 0	HJJJPSH...PSAANDPUBIND.UBINDLO.GG.LO J99 H98 A99 N99 L99 B99 I99 G98 
8 8 0	HJJJPSH...PSAA.DPUBINDLUBINDLOGGN..O J99 H98 A99 N98 B99 I99 G97 
8 8 0	HJJJPSH...PSAAN.PUBINDLUBINDLOGG.D.O J99 H98 A99 D99 N99 B99 I99 G97 
8 8 0	HJJJPSH...PSAANDPUBIND.UBINDLOGG..LO J99 H98 A99 N99 L99 B99 I99 G97 
8 8 0	HJJJ.SH...PSAANDPUB.NDPUBINDLO.IGGLO J99 P99 H98 A99 N99 L99 B99 G99 
8 8 0	HJJJ.SH...PSAANDPU.INDPUBINDLOB.GGLO J99 P99 H98 A99 N99 L99 I99 G99 
8 8 0	HJJJPSH...PSAAN.PU.IND.UBINDLOBGGDLO J99 H98 A99 D99 N99 L99 I99 G98 
8 8 0	HJJJ.SH...PSAANDPU.INDPUBINDLOBGG.LO J99 P99 H98 A99 N99 L99 I99 G98 
8 8 0	H.JJJSH...PSAANDPU..NDPUBINDLOBIGGLO J98 P99 H98 A99 N99 L99 G99 
8 8 0	HJJJPSH.N.PSAANDPUBIND.UBI.DLO..GGLO J99 H98 A99 N98 L99 B99 I99 G99 
8 8 0	HJJJPSH.N.PSAAN.PUBINDLUBI.DLO.GGD.O J99 H98 A99 D99 N98 B99 I99 G98 
8 8 0	HJJJPSH.N.PSAANDPUBIND.UBI.DLO.GG.LO J99 H98 A99 N98 L99 B99 I99 G98 
8 8 0	HJJJPSH.N.PSAAN.PUBINDLUBI.DLOGG.D.O J99 H98 A99 D99 N98 B99 I99 G97 
8 8 0	HJJJPSH.N.PSAANDPUBIND.UBI.DLOGG..LO J99 H98 A99 N98 L99 B99 I99 G97 
8 8 0	HJJJ.SH.N.PSAANDPUB.NDPUBI.DLO.IGGLO J99 P99 H98 A99 N98 L99 B99 G99 
8 8 0	HJJJ.SH.N.PSAANDPU.INDPUBI.DLOB.GGLO J99 P99 H98 A99 N98 L99 I99 G99 
8 8 0	HJJJPSH.N.PSAAN.PU.IND.UBI.DLOBGGDLO J99 H98 A99 D99 N98 L99 I99 G98 
8 8 0	HJJJ.SH.N.PSAANDPU.INDPUBI.DLOBGG.LO J99 P99 H98 A99 N98 L99 I99 G98 
8 8 0	H.JJJSH.N.PSAANDPU..NDPUBI.DLOBIGGLO J98 P99 H98 A99 N98 L99 G99 
9 9 0	HJJJPSH..DPSAANDPUBIND.UBIN.LO..GGLO J99 H98 A99 D99 N99 L99 B99 I99 G99 
9 9 0	HJJJPSH..DPSAANDPUBIND.UBIN.LO.GG.LO J99 H98 A99 D99 N99 L99 B99 I99 G98 
9 9 0	HJJJPSH..DPSAA.DPUBINDLUBIN.LOGGN..O J99 H98 A99 D99 N98 B99 I99 G97 
9 9 0	HJJJPSH..DPSAANDPUBIND.UBIN.LOGG..LO J99 H98 A99 D99 N99 L99 B99 I99 G97 
9 9 0	HJJJ.SH..DPSAANDPUB.NDPUBIN.LO.IGGLO J99 P99 H98 A99 D99 N99 L99 B99 G99 
9 9 0	HJJJ.SH..DPSAANDPU.INDPUBIN.LOB.GGLO J99 P99 H98 A99 D99 N99 L99 I99 G99 
9 9 0	HJJJ.SH..DPSAANDPU.INDPUBIN.LOBGG.LO J99 P99 H98 A99 D99 N99 L99 I99 G98 
9 9 0	H.JJJSH..DPSAANDPU..NDPUBIN.LOBIGGLO J98 P99 H98 A99 D99 N99 L99 G99 
9 9 0	HJJJPSH.NDPSAANDPUBIND.UBI..LO..GGLO J99 H98 A99 D99 N98 L99 B99 I99 G99 
