3 0 3	.CCBBBHH.FL..AAFLY...FLYG.DUU.G.DEE. 
5 2 3	.CCBBBHH.FL..AAFLYG..FLYG.DUU...D.EE G99 E99 
5 2 3	.CCBBBHH.FL.GAAFLYG..FLY..D.UU..DEE. G98 U99 
5 2 3	.CCBBBHH..L..AAFLY...FLYG.DFUUG.DEE. F99 U99 
5 2 3	.CCBBBHH.FLY.AAFLY...FL.G.D.UUG.DEE. Y99 U99 
5 2 3	.CCBBB.HHFL..AAFLY...FLYG.D.UUG.DEE. H99 U99 
5 2 3	CC.BBBHH.FL..AAFLY...FLYG.D.UUG.DEE. C99 U99 
5 2 3	.CCBBBHH.FL.AA.FLY..DFLYG.DUU.G..EE. A99 D99 
5 3 2	.CCBBBHH.FL..AAFL.G.DFLYG.DUUY...EE. Y99 G99 D99 
5 2 3	CC.BBBHH.FLY.AAFLY...FL.G.DUU.G.DEE. C99 Y99 
5 3 2	.CCBBBHH.FL.AA.FL.G..FLYG.DUUY..DEE. A99 Y99 G99 
5 3 2	.CCBBB.HHFL..AAFL.G..FLYG.DUUY..DEE. H99 Y99 G99 
5 2 3	.CCBBBHH.FL.AA.FLYG..FLYG.DUU...DEE. A99 G99 
5 3 2	CC.BBBHH.FL..AAFL.G..FLYG.DUUY..DEE. C99 G99 Y99 
5 3 2	.CCBBBHH.FL..AAFL...DFL.G.DUUYGEE..Y Y98 D99 E98 
5 2 3	.CCBBBHH.FLYAA.FLY...FL.G.DUU.G.DEE. A99 Y99 
5 3 2	.CCBBBHH.FL.AA.FL....FLYG.DUUYG.DEE. A99 Y97 
5 3 2	.CCBBBHH.FL.AA.FL....FL.G.DUUYG.DEEY A99 Y96 
5 2 3	.CCBBBHH.FLYGAAFLYG..FL...DUU...DEE. Y99 G98 
5 2 3	CC.BBBHH.FL.GAAFLYG..FLY..DUU...DEE. C99 G98 
5 3 2	.CCBBBHH.FL.AA.FL...DFL.G.DUUYG..EEY A99 Y98 D99 
5 2 3	CC.BBBHH.FL.AA.FLY...FLYG.DUU.G.DEE. C99 A99 
5 3 2	.CCBBB.HHFL..AAFL...DFL.G.DUUYG..EEY H99 Y98 D99 
5 3 2	CC.BBBHH.FL..AAFL...DFL.G.DUUYG..EEY C99 D99 Y98 
5 3 2	.CCBBBHH.FL..AAFL.G..FLYG.DUUY..D.EE Y99 G99 E99 
5 2 3	.CCBBBHH.FL..AAFLY...FLYG.D.UUG.D.EE U99 E99 
5 3 2	CC.BBBHH.FL.AA.FL....FL.G.DUUYG.DEEY C99 A99 Y98 
5 3 2	.CCBBBHH..L..AA.LY...FLYG.DFUUG.DFEE F98 U99 E99 
5 3 2	.CCBBBHH.FL..AAFL...DFLYG.DUUYG.EE.. Y99 D99 E99 
5 3 2	.CCBBBHH.FL.AA.FL...DFLYG.DUUYG..EE. A99 Y99 D99 
5 3 2	GCCBBBGHHFL..AAFL....FLY..DUUY..DEE. H99 Y99 G96 
5 3 2	CCBBB.HH.FL..AAFL....FL.G.DUUYG.DEEY C99 B99 Y98 
5 3 2	.CCBBBHH.FL.AA.FL....FLYG.DUUYG.D.EE A99 Y99 E99 
5 2 3	.CCBBBHH.FLY.AAFLY...FL.G.DUU.G.D.EE Y99 E99 
5 3 2	.CCBBBGHHFL.GAAFL....FLY..DUUY..DEE. H99 Y99 G97 
5 3 2	.CCBBB.HHFL.AA.FL....FLYG.DUUYG.DEE. H99 A99 Y99 
5 3 2	.CCBBB.HHFL..AAFL....FLYG.DUUYG.D.EE H99 Y99 E99 
5 3 2	.CCBBBGHHFL.GAAFL....FL...DUUY..DEEY H99 Y98 G97 
5 3 2	.CCBBB.HHFL.AA.FL....FL.G.DUUYG.DEEY H99 A99 Y98 
5 2 3	.CCBBBHH.FL..AAFLY..DFLYG.DUU.G...EE D99 E99 
5 2 3	.CCBBB.HHFL..AAFLY..DFLYG.DUU.G..EE. H99 D99 
5 3 2	.CCBBBHH.FL..AAFL...DFLYG.DUUYG...EE Y99 D99 E99 
5 3 2	CC.BBB.HHFL..AAFL....FL.G.DUUYG.DEEY C99 H99 Y98 
5 3 2	.CCBBB.HHFL..AAFL...DFLYG.DUUYG..EE. H99 Y99 D99 
5 2 3	.CCBBBHH.FL..AAFLY..DFLYG.DUU.G.EE.. D99 E99 
5 3 2	.CCBBBHH.FL..AAFL...DFL.G.DUUYG.EE.Y Y98 D99 E99 
5 2 3	.CCBBBHH.FLY.AAFLY..DFL.G.DUU.G..EE. Y99 D99 
5 3 2	.CCBBB.HHFL.GAAFL.G..FLY..DUUY..DEE. H99 Y99 G98 
5 2 3	.CCBBB.HHFL.GAAFLYG..FLY..DUU...DEE. H99 G98 
5 3 2	.CCBBB.HHFL.GAAFL.G..FL...DUUY..DEEY H99 Y98 G98 
5 3 2	CC.BBBHH.FL.GAAFL.G..FLY..DUUY..DEE. C99 G98 Y99 
5 2 3	CC.BBB.HHFL..AAFLY...FLYG.DUU.G.DEE. C99 H99 
5 2 3	CC.BBBHH.FL..AAFLY..DFLYG.DUU.G..EE. C99 D99 
5 3 2	.CCBBB.HHFL..AAFL.G..FL.G.DUUY..DEEY H99 Y98 G99 
5 2 3	.CCBBBHH.FL..AAFLYG..FLYG.D.UU..DEE. G99 U99 
5 3 2	CC.BBBHH.FL..AAFL.G..FL.G.DUUY..DEEY C99 G99 Y98 
5 3 2	CC.BBBHH.FL.GAAFL.G..FL...DUUY..DEEY C99 G98 Y98 
5 2 3	.CCBBBHH.FL..AAFLYG.DFLYG.DUU....EE. G99 D99 
5 2 3	.CCBBBHH.FL.GAAFLYG..FLY..DUU...D.EE G98 E99 
5 3 2	.CCBBBHH.FL..AAFL.G.DFL.G.DUUY...EEY Y98 G99 D99 
5 2 3	.CCBBBHH.FL..AAFLY..DFLYG.DUU.GEE... D99 E98 
5 2 3	.CCBBB.HHFL..AAFLY...FLYG.DUU.G.D.EE H99 E99 
5 2 3	.CCBBBHH.FLY.AAFLYG..FL.G.DUU...DEE. Y99 G99 
5 3 2	CC.BBBHH.FL..AAFL...DFLYG.DUUYG..EE. C99 Y99 D99 
6 4 2	CC.BBB.HHFL..AAFL....FLYG.DUUYG.D.EE C99 H99 Y99 E99 
6 4 2	.CCBBBHH.FL.AA.FL...DFLYG.DUUYGEE... A99 Y99 D99 E98 
6 4 2	.CCBBBHH.FL..AAFL...DFL.G.DUUYG.EE.Y Y98 D99 E97 
6 3 3	.CCBBB.HHFLY.AAFLY..DFL.G.DUU.G..EE. H99 Y99 D99 
6 3 3	.CCBBBHH.FL.GAAFLYG.DFLY..DUU.....EE G98 D99 E99 
6 3 3	.CCBBBHH.FL..AAFLYG.DFLYG.DUU...EE.. G99 D99 E99 
6 3 3	.CCBBBHH.FL..AAFLYG.DFLYG.DUU.EE.... G99 D99 E97 
6 3 3	.CCBBBHH.FLYAA.FLYG..FL.G.DUU...DEE. A99 Y99 G99 
6 4 2	.CCBBBHH.FL.GAAFL.G.DFL...DUUY...EEY Y98 G98 D99 
6 3 3	.CCBBBGHHFL.GAAFLY...FLY..DUU...DEE. H99 G97 
6 4 2	CC.BBB.HHFL..AAFL.G..FL.G.DUUY..DEEY C99 H99 G99 Y98 
6 3 3	.CCBBBHH.FLY.AAFLY..DFL.G.DUU.G.EE.. Y99 D99 E99 
6 3 3	.CCBBB.HHFL..AAFLY..DFLYG.DUU.GEE... H99 D99 E98 
6 3 3	.CCBBBHH.FL.AA.FLY...FLYG.D.UUG.D.EE A99 U99 E99 
6 4 2	.CCBBB.HHFL..AAFL...DFLYG.DUUYGEE... H99 Y99 D99 E98 
6 3 3	.CCBBB.HHFL..AAFLY..DFLYG.DUU.G.EE.. H99 D99 E99 
6 3 3	GCCBBBGHHFL..AAFLY..DFLY..DUU....EE. H99 G96 D99 
6 4 2	CC.BBBHH.FL..AAFL...DFLYG.DUUYGEE... C99 D99 Y99 E98 
6 3 3	.CCBBBGHHFL.GAAFLY..DFLY..DUU....EE. H99 G97 D99 
6 3 3	.CCBBB.HHFL.GAAFLYG.DFLY..DUU....EE. H99 G98 D99 
6 3 3	.CCBBBHH..L..AAFLY...FLYG.DFUUG.D.EE F99 U99 E99 
6 4 2	.CCBBBHH.FL.GAAFL.G.DFLY..DUUY....EE Y99 G98 D99 E99 
6 4 2	CC.BBBHH.FL.AA.FL....FLYG.DUUYG.D.EE C99 A99 Y99 E99 
6 3 3	CC.BBB.HHFL..AAFLY..DFLYG.DUU.G..EE. C99 H99 D99 
6 4 2	CC.BBB.HHFL..AAFL...DFLYG.DUUYG..EE. C99 H99 Y99 D99 
6 4 2	CC.BBBGHHFL.GAAFL....FLY..DUUY..DEE. C99 H99 Y99 G97 
6 3 3	CC.BBBHH.FL..AAFLY..DFLYG.DUU.G...EE C99 D99 E99 
6 4 2	.CCBBB.HHFL.AA.FL.G..FL.G.DUUY..DEEY H99 A99 Y98 G99 
6 3 3	.CCBBB.HHFLY.AAFLY...FL.G.DUU.G.D.EE H99 Y99 E99 
6 4 2	.CCBBBGHHFL.GAAFL...DFLY..DUUY...EE. H99 Y99 G97 D99 
6 4 2	CC.BBB.HHFL..AAFL.G..FLYG.DUUY..DEE. C99 H99 Y99 G99 
6 4 2	.CCBBB.HHFL.AA.FL....FLYG.DUUYG.D.EE H99 A99 Y99 E99 
6 4 2	CCBBB..HHFL..AAFL....FLYG.DUUYG.DEE. C99 B99 H99 Y99 
6 4 2	.CCBBBHH.FL.GAAFL.G.DFLY..DUUY.EE... Y99 G98 D99 E98 
6 4 2	CCBBB.HH.FL..AAFL....FLYG.DUUYG.D.EE C99 B99 Y99 E99 
6 3 3	.CCBBBHH.FL.GAAFLYG..FLY..D.UU..D.EE G98 U99 E99 
6 4 2	CCBBB.HH.FL..AAFL.G..FL.G.DUUY..DEEY C99 B99 G99 Y98 
6 4 2	CCBBB..HHFL..AAFL....FL.G.DUUYG.DEEY C99 B99 H99 Y98 
6 4 2	CCDBBBHHDFL.AA.FL....FLYG..UUYG..EE. C99 A99 Y99 D96 
6 4 2	GCCBBBGHHFL..AAFL...DFLY..DUUY...EE. H99 Y99 G96 D99 
6 4 2	GCCBBBGHHFL.AA.FL....FLY..DUUY..DEE. H99 A99 Y99 G96 
6 3 3	CC.BBBHH.FL..AAFLYG..FLYG.DUU...D.EE C99 G99 E99 
6 4 2	.CCBBBHH.FL.GAAFL.G.DFLY..DUUY..EE.. Y99 G98 D99 E99 
6 4 2	.CCBBB.HHFL.AA.FL...DFLYG.DUUYG..EE. H99 A99 Y99 D99 
6 4 2	.CCBBBHH.FL.AA.FL...DFLYG.DUUYG.EE.. A99 Y99 D99 E99 
6 4 2	CC.BBBHH.FL.AA.FL...DFLYG.DUUYG..EE. C99 A99 Y99 D99 
6 3 3	.CCBBBHH.FL..AAFLY..DFLYG.D.UUG...EE D99 U99 E99 
6 3 3	.CCBBBHH.FL..AAFLYG..FLYG.D.UU..D.EE G99 U99 E99 
6 4 2	.CCBBB.HHFL..AAFL...DFLYG.DUUYG.EE.. H99 Y99 D99 E99 
6 4 2	CC.BBBHH.FL..AAFL...DFLYG.DUUYG.EE.. C99 D99 Y99 E99 
6 4 2	CC.BBBHH.FL.AA.FL.G..FLYG.DUUY..DEE. C99 A99 Y99 G99 
6 4 2	.CCBBBHH..L.GAA.LYG..FLY..DFUU..DFEE F98 G98 U99 E99 
6 4 2	.CCBBBHH..L..AA.LYG..FLYG.DFUU..DFEE F98 G99 U99 E99 
6 4 2	CC.BBB.HHFL.AA.FL....FLYG.DUUYG.DEE. C99 H99 A99 Y99 
6 4 2	.CCBBBHH..L...AALY...FLYG.DFUUG.DFEE F98 A99 U99 E99 
6 4 2	.CCBBBHH..LY.AA.LY...FL.G.DFUUG.DFEE F98 Y99 U99 E99 
6 4 2	.CCBBB..HHL..AA.LY...FLYG.DFUUG.DFEE H98 F98 U99 E99 
6 4 2	.CCBBBHH..L.AA..LY...FLYG.DFUUG.DFEE F98 A99 U99 E99 
6 3 3	.CCBBB.HHFL..AAFLYG..FLYG.DUU...D.EE H99 G99 E99 
6 3 3	.CCBBBHH.FLY.AAFLY...FL.G.D.UUG.D.EE Y99 U99 E99 
6 3 3	.CCBBB.HHFL..AAFLY...FLYG.D.UUG.D.EE H99 U99 E99 
6 4 2	CC.BBBHH.FL..AAFL.G..FLYG.DUUY..D.EE C99 G99 Y99 E99 
6 3 3	.CCBBB.HHFLY.AAFLYG..FL.G.DUU...DEE. H99 Y99 G99 
6 4 2	CC.BBBHH..L..AA.LY...FLYG.DFUUG.DFEE C99 F98 U99 E99 
6 4 2	.CCBBBHH.FL.AA.FL....FLYG.DUUYG.DEE. C98 A99 Y99 
6 4 2	.CCBBBHH.FL..AAFL.G.DFLYG.DUUYEE.... Y99 G99 D99 E97 
6 3 3	.CCBBB.HHFLY.AAFLY...FL.G.D.UUG.DEE. H99 Y99 U99 
6 4 2	CC.BBBHH.FL.AA.FL.G..FL.G.DUUY..DEEY C99 A99 G99 Y98 
6 4 2	CC.BBB.HHFL.AA.FL....FL.G.DUUYG.DEEY C99 H99 A99 Y98 
6 2 4	.CCBBBHH.FL.AADFLY..DFLYG..UU.G..EE. A99 D98 
6 3 3	GCCBBBGHHFLY.AAFLY...FL...DUU...DEE. H99 Y99 G96 
6 3 3	.CCBBBHH.FL.AADFL...DFL.G..UUYG..EEY A99 Y98 D98 
6 3 3	CC.BBBHH.FL..AAFLY...FLYG.D.UUG.D.EE C99 U99 E99 
6 4 2	.CCBBBHH.FL..AAFL.G.DFLYG.DUUY....EE Y99 G99 D99 E99 
6 4 2	CC.BBBHH.FL..AAFL.G.DFL.G.DUUY...EEY C99 D99 G99 Y98 
6 4 2	CCBBB.HH.FL..AAFL...DFL.G.DUUYG..EEY C99 B99 D99 Y98 
6 3 3	.CCBBBGHHFLYGAAFLY...FL...DUU...DEE. H99 Y99 G97 
6 4 2	.CCBBBGHHFL.GAAFL...DFL...DUUY...EEY H99 Y98 G97 D99 
6 3 3	.CCBBB.HHFLYGAAFLYG..FL...DUU...DEE. H99 Y99 G98 
6 3 3	.CCBBBHH.FL.AA.FLY..DFLYG.DUU.GEE... A99 D99 E98 
6 4 2	.CCBBB.HHFL..AAFL.G.DFL.G.DUUY...EEY H99 Y98 G99 D99 
6 3 3	.CCBBB.HHFLYAA.FLY...FL.G.DUU.G.DEE. H99 A99 Y99 
6 2 4	.CCBBBHHDFL.AADFLY...FLYG..UU.G..EE. A99 D97 
6 3 3	.CCBBBHHDFL.AADFL....FLYG..UUYG..EE. A99 Y99 D97 
6 3 3	CCBBB.HH.FL.AA.FLY...FLYG.DUU.G.DEE. C99 B99 A99 
6 4 2	.CCBBB.HHFL.GAAFL.G..FLY..DUUY..D.EE H99 Y99 G98 E99 
6 3 3	CC.BBBHH.FLY.AAFLY...FL.G.DUU.G.D.EE C99 Y99 E99 
6 4 2	CC.BBBHH.FL.GAAFL.G..FLY..DUUY..D.EE C99 G98 Y99 E99 
6 4 2	CC.BBBHH.FL..AAFL....FLYG.DUUYG.D.EE C99 Y97 E99 
6 3 3	CC.BBBHH.FL.GAAFLYG.DFLY..DUU....EE. C99 G98 D99 
6 4 2	CCBBB.HH.FL.AA.FL....FLYG.DUUYG.DEE. C99 B99 A99 Y99 
6 3 3	.CCBBB.HHFL..AAFLYG..FLYG.D.UU..DEE. H99 G99 U99 
6 4 2	CC.BBBHH.FL.GAAFL.G.DFL...DUUY...EEY C99 G98 Y98 D99 
6 3 3	.CCBBBHH.FLYGAAFLYG.DFL...DUU....EE. Y99 G98 D99 
6 3 3	CC.BBB.HHFLY.AAFLY...FL.G.DUU.G.DEE. C99 H99 Y99 
6 3 3	.CCBBBHH.FLYAA.FLYG..FL.G.DUU...DEE. A99 Y99 G99 
6 4 2	.CCBBB.HHFL..AAFL.G..FLYG.DUUY..D.EE H99 Y99 G99 E99 
6 3 3	.CCBBB.HHFL.AA.FLYG..FLYG.DUU...DEE. H99 A99 G99 
6 4 2	.CCBBBHH.FL..AAFL.G.DFL.G.DUUY.EE..Y Y98 G99 D99 E98 
6 4 2	.CCBBBHH.FL.AA.FL...DFL.G.DUUYGEE..Y A99 Y98 D99 E98 
6 3 3	CC.BBB.HHFL..AAFLYG..FLYG.DUU...DEE. C99 H99 G99 
6 4 2	.CCBBB.HHFL..AAFL...DFL.G.DUUYGEE..Y H99 Y98 D99 E98 
6 4 2	.CCBBBHH.FL.GAAFL.G.DFL...DUUY.EE..Y Y98 G98 D99 E98 
6 4 2	CC.BBBHH.FL..AAFL...DFL.G.DUUYGEE..Y C99 D99 Y98 E98 
6 3 3	CC.BBBHH.FL.GAAFLYG..FLY..DUU...D.EE C99 G98 E99 
6 3 3	.CCBBBGHHFL.GAAFLY...FLY..DUU...D.EE H99 G97 E99 
6 4 2	.CCBBBHH.FL.AA.FL.G..FLYG.DUUY..D.EE A99 Y99 G99 E99 
6 3 3	.CCBBBHH.FLYAA.FLYG..FL.G.DUU...DEE. A99 Y99 G99 
6 3 3	.CCBBBHH.FL.AA.FLY..DFLYG.DUU.G...EE A99 D99 E99 
6 4 2	.CCBBB.HHFL.AA.FL.G..FLYG.DUUY..DEE. H99 A99 Y99 G99 
6 3 3	CC.BBBHH.FLYAA.FLY...FL.G.DUU.G.DEE. C99 Y99 A99 
6 3 3	CC.BBBHH.FLYGAAFLYG..FL...DUU...DEE. C99 Y99 G98 
6 3 3	CC.BBBHH.FLYAA.FLY...FL.G.DUU.G.DEE. C99 Y99 A99 
6 4 2	.CCBBBHH.FL..AAFL.G.DFLYG.DUUY..EE.. Y99 G99 D99 E99 
6 3 3	.CCBBB.HHFL.AA.FLY...FLYG.DUU.G.D.EE H99 A99 E99 
6 4 2	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUY...EE. A99 Y99 G99 D99 
6 4 2	.CCBBB.HHFL..AAFL.G.DFLYG.DUUY...EE. H99 Y99 G99 D99 
6 3 3	CC.BBBHH.FL.AA.FLY...FLYG.DUU.G.D.EE C99 A99 E99 
6 4 2	CC.BBBHH.FL..AAFL.G.DFLYG.DUUY...EE. C99 G99 D99 Y99 
6 3 3	.CCBBBHH.FL.AA.FLY..DFLYG.DUU.G.EE.. A99 D99 E99 
6 3 3	.CCBBBHH.FLYAA.FLY..DFL.G.DUU.G..EE. A99 Y99 D99 
6 4 2	CCDBBBHHDFL.AA.FL....FL.G..UUYG..EEY C99 A99 D96 Y98 
6 4 2	.CCBBBGHHFL.GAAFL....FLY..DUUY..D.EE H99 Y99 G97 E99 
6 3 3	.CCBBB.HHFL.AA.FLY..DFLYG.DUU.G..EE. H99 A99 D99 
6 3 3	CCDBBBHHDFL.AA.FLY...FLYG..UU.G..EE. C99 A99 D96 
6 3 3	CC.BBBHH.FL.AA.FLY..DFLYG.DUU.G..EE. C99 A99 D99 
6 4 2	CC.BBBHH.FL..AAFL...DFL.G.DUUYG.EE.Y C99 D99 Y98 E99 
6 4 2	CC.BBBHH.FL..AAFL...DFLYG.DUUYG..EE. C99 D99 Y97 
6 3 3	GCCBBBGHHFL..AAFLY...FLY..D.UU..DEE. H99 G96 U99 
6 3 3	.CCBBBHH.FLY.AAFLY...FL.G.DUU.G.D.EE Y97 E99 
6 3 3	.CCBBBGHHFL.GAAFLY...FLY..D.UU..DEE. H99 G97 U99 
6 3 3	CC.BBB.HHFL..AAFLY...FLYG.D.UUG.DEE. C99 H99 U99 
6 3 3	.CCBBBHH.FLY.AAFLYG..FL.G.D.UU..DEE. Y99 G99 U99 
6 4 2	.CCBBBHH..L..AA.LY..DFLYG.DFUUG..FEE F98 D99 U99 E99 
6 4 2	.CCBBBHH.FL.AA.FL...DFLYG.DUUYG...EE A99 Y99 D99 E99 
6 3 3	.CCBBBHH.FLY.AAFLY..DFL.G.DUU.G...EE Y99 D99 E99 
6 3 3	.CCBBBHH..L..AAFLYG..FLYG.DFUU..DEE. F99 G99 U99 
6 4 2	.CCBBBHH.FL..AAFL...DFLYG.DUUYG...EE Y99 D99 E97 
6 3 3	.CCBBBHH..LY.AAFLY...FL.G.DFUUG.DEE. F99 Y99 U99 
6 3 3	.CCBBB..HHL..AAFLY...FLYG.DFUUG.DEE. H98 F99 U99 
6 4 2	GCCBBBGHHFL..AAFL....FLY..DUUY..D.EE H99 Y99 G96 E99 
6 3 3	.CCBBB.HH.L..AAFLY...FLYG.DFUUG.DEE. H99 F99 U99 
6 3 3	CC.BBBHH..L..AAFLY...FLYG.DFUUG.DEE. C99 F99 U99 
6 4 2	CCBBB.HH.FL.GAAFL.G..FL...DUUY..DEEY C99 B99 G98 Y98 
6 3 3	.CCBBBHH.FLYGAAFLYG..FL...D.UU..DEE. Y99 G98 U99 
6 3 3	.CCBBBHH..L.GAAFLYG..FLY..DFUU..DEE. F99 G98 U99 
6 4 2	.CCBBB.HHFL..AAFL...DFLYG.DUUYG...EE H99 Y99 D99 E99 
6 3 3	.CCBBB.HHFL.GAAFLYG..FLY..D.UU..DEE. H99 G98 U99 
6 4 2	CC.BBB.HHFL.GAAFL.G..FL...DUUY..DEEY C99 H99 G98 Y98 
6 3 3	.CCBBBHH.FLY.AAFLY..DFL.G.DUU.G.EE.. Y99 D99 E99 
6 3 3	GCCBBBGHHFL..AAFLY...FLY..DUU...D.EE H99 G96 E99 
6 3 3	CC.BBBHH.FL.GAAFLYG..FLY..D.UU..DEE. C99 G98 U99 
6 4 2	CC.BBBGHHFL.GAAFL....FL...DUUY..DEEY C99 G97 H99 Y98 
6 3 3	.CCBBBHH.FL..AAFLYG.DFLYG.DUU.....EE G99 D99 E99 
6 3 3	.CCBBBHH.FLY.AAFLYG..FL.G.DUU...D.EE Y99 G99 E99 
6 3 3	.CCBBB.HHFL..AAFLY..DFLYG.DUU.G...EE H99 D99 E99 
6 4 2	CC.BBBHH.FL..AAFL...DFLYG.DUUYG...EE C99 D99 Y99 E99 
6 3 3	.CCBBBHH.FL.AA.FLYG..FLYG.D.UU..DEE. A99 G99 U99 
6 3 3	.CCBBBHH.FLYAA.FLY...FL.G.D.UUG.DEE. A99 Y99 U99 
6 3 3	.CCBBBHH..L.AA.FLY...FLYG.DFUUG.DEE. F99 A99 U99 
6 4 2	.CCBBB.HHFL.GAAFL.G.DFLY..DUUY...EE. H99 Y99 G98 D99 
6 3 3	CC.BBBHH.FL..AAFLY..DFLYG.DUU.G.EE.. C99 D99 E99 
6 3 3	.CCBBBHH.FLY.AAFLYG.DFL.G.DUU....EE. Y99 G99 D99 
6 3 3	CC.BBBHH.FL.AA.FLY...FLYG.D.UUG.DEE. C99 A99 U99 
6 3 3	.CCBBBHH.FL..AAFLY..DFLYG.D.UUGEE... D99 U99 E98 
6 3 3	.CCBBBHH.FL..AAFLY..DFLYG.D.UUG.EE.. D99 U99 E99 
6 3 3	.CCBBBHH.FL.GAAFLYG.DFLY..DUU...EE.. G98 D99 E99 
6 4 2	.CCBBBHH.FL..AAFL.G.DFL.G.DUUY..EE.Y Y98 G99 D99 E99 
6 3 3	.CCBBBHH.FL.GAAFLYG.DFLY..D.UU...EE. G98 D99 U99 
6 4 2	.CCBBBHH.FL.AA.FL.G..FL.G.DUUY..DEEY A99 Y96 G99 
6 3 3	.CCBBBHH.FL..AAFLYG.DFLYG.D.UU...EE. G99 D99 U99 
6 4 2	.CCBBBHH.FL.GAAFL.G.DFL...DUUY..EE.Y Y98 G98 D99 E99 
6 3 3	.CCBBBHH.FLY.AAFLY..DFL.G.D.UUG..EE. Y99 D99 U99 
6 3 3	.CCBBBHH.FL.AA.FLY..DFLYG.D.UUG..EE. A99 D99 U99 
6 3 3	.CCBBBHH.FLY.AAFLY..DFL.G.DUU.GEE... Y99 D99 E98 
6 3 3	CCBBB.HH.FL..AAFLY..DFLYG.DUU.G..EE. C99 B99 D99 
6 3 3	.CCBBB.HHFL..AAFLY..DFLYG.D.UUG..EE. H99 D99 U99 
6 3 3	CC.BBBHH.FL..AAFLY..DFLYG.D.UUG..EE. C99 D99 U99 
6 4 2	.CCBBBHH..L..AA.LY..DFLYG.DFUUGEEF.. F98 D99 U99 E98 
6 4 2	CCBBB.HH.FL..AAFL...DFLYG.DUUYG..EE. C99 B99 Y99 D99 
6 3 3	GCCBBBGHHFL..AAFLY...FLY..DUU...DEE. H99 G96 
6 3 3	CC.BBB.HHFL..AAFLY...FLYG.DUU.G.D.EE C99 H99 E99 
6 4 2	CCBBB.HH.FL.GAAFL.G..FLY..DUUY..DEE. C99 B99 Y99 G98 
6 4 2	CCBBB.HH.FL..AAFL.G..FLYG.DUUY..DEE. C99 B99 Y99 G99 
6 4 2	CC.BBBHH.FL.GAAFL.G.DFLY..DUUY...EE. C99 G98 Y99 D99 
6 4 2	CCBBBYHH.FLY.AAFL....FL.G.DUU.G.DEE. C99 B99 Y96 
6 3 3	CC.BBBHH.FL..AAFLY..DFLYG.DUU.GEE... C99 D99 E98 
