4 4 0	GGG.....E..DAAE..DH....DHBBCC.ZZ..FF G98 D99 B99 C99 
4 4 0	GGG.....E..DAAE..DH....DHBB.CC.ZZ.FF G98 D99 B99 Z99 
4 4 0	GGG.....E..DAAE..DH....DHBB.CC..ZZFF G98 D99 B99 Z98 
4 4 0	GGG.....E..DAAE..DH....DHBB.CCZZ.FF. G98 D99 B99 F99 
4 4 0	GGG.....E..DAAE..DH....DHBB.CCZZFF.. G98 D99 B99 F98 
4 4 0	GGG.....E..DAAE..D.....DH.BBCCHZZ.FF G98 D99 H99 Z99 
4 4 0	GGG.....E..DAAE..DH....DH.BBCC.ZZFF. G98 D99 Z99 F99 
4 4 0	GGG.....E..DAAE..D.....DH.BBCCH.ZZFF G98 D99 H99 Z98 
4 4 0	GGG..D.....DAAE..DH.E...HBBCC.ZZ..FF G98 E99 B99 C99 
4 4 0	GGG..D.....DAAE..DH.E...HBB.CC.ZZ.FF G98 E99 B99 Z99 
4 4 0	GGG..D.....DAAE..DH.E...HBB.CC..ZZFF G98 E99 B99 Z98 
4 4 0	GGG..D.....DAAE..DH.E...HBB.CCZZ.FF. G98 E99 B99 F99 
4 4 0	GGG..D.....DAAE..DH.E...HBB.CCZZFF.. G98 E99 B99 F98 
4 4 0	GGG..D.....DAAE..D..E...H.BBCCHZZ.FF G98 E99 H99 Z99 
4 4 0	GGG..D.....DAAE..DH.E...H.BBCC.ZZFF. G98 E99 Z99 F99 
4 4 0	GGG..D.....DAAE..D..E...H.BBCCH.ZZFF G98 E99 H99 Z98 
4 4 0	GGG.....E...AAE..DH....DHBBCCDZZ..FF G98 D98 B99 C99 
4 4 0	GGG..D..E..DAAE..DH.....HBBCC..ZZ.FF G98 B99 C99 Z99 
4 4 0	GGG..D..E..DAAE..DH.....HBBCC...ZZFF G98 B99 C99 Z98 
4 4 0	GGG..D..E..DAAE..DH.....HBBCC.ZZ.FF. G98 B99 C99 F99 
4 4 0	GGG..D..E..DAAE..DH.....HBBCC.ZZFF.. G98 B99 C99 F98 
4 4 0	GGG..D..E..DAAE..D......HBB.CCHZZ.FF G98 H99 B99 Z99 
