6 0 6	CHH..YC....YCFAADE.F..DE..RITTBBRIPP C98 
8 5 3	.HH.DYC.R.DYCFRAAECF...E...ITT.BBIPP C99 D98 A99 R97 B99 
8 5 3	HH..DY....DYCF.AAECF.I.EC.RITTBBR.PP H99 D98 C98 A99 I99 
8 5 3	.HH.DY....DYCF.AAECFR..EC.RITT.BBIPP C98 D98 A99 R99 B99 
8 5 3	CHH.DYC...DYC.RAAE.FRI.E.F.ITTBB..PP F99 A99 D98 R98 I99 
8 5 3	C.HHDYC...DYC.RAAE.FR..E.F.ITTBB.IPP H99 F99 A99 D98 R98 
8 5 3	C.HHDYCF..DYCFRAAE..R..E...ITTBB.IPP H99 F99 A99 D98 R98 
8 5 3	..HHDY....DYCF.AAECFR..EC.RITTBB.IPP C98 H99 D98 A99 R99 
8 5 3	C.HHDYC...DYC..AAE.FR..E.FRITTBB.IPP H99 F99 A99 D98 R99 
8 5 3	..HHDY....DYCFRAAECFR..EC..ITTBB.IPP C98 H99 D98 R98 A99 
8 5 3	..HHDYC...DYCFRAAECFR..E...ITTBB.IPP C99 H99 D98 R98 A99 
8 5 3	C.HHDYCFR.DYCFRAAE.....E...ITTBB.IPP H99 F99 A99 D98 R97 
8 5 3	..HHDYC...DYCF.AAECFR..E..RITTBB.IPP C99 H99 D98 A99 R99 
8 5 3	C.HHDYC.R.DYC.RAAE.F...E.F.ITTBB.IPP H99 F99 A99 D98 R97 
8 5 3	C.HHDYC...DYCFRAAE.FR..E...ITT.BBIPP H99 A99 D98 R98 B99 
8 5 3	..HHDY.F..DYCF.AAEC....EC.RITTBBRIPP C98 H99 D98 F99 A99 
8 5 3	..HHDY..R.DYCFRAAECF...EC..ITTBB.IPP C98 H99 D98 R97 A99 
8 5 3	C.HHDYCF..DYCFAA.E..RI.E..RITTBB..PP H99 F99 D98 R99 I99 
8 5 3	..HHDYC.R.DYCFRAAECF...E...ITTBB.IPP C99 H99 D98 R97 A99 
8 5 3	CHHIDYC..IDYCAA..E.F...E.FRTT.BBR.PP F99 A99 D98 I96 T99 
6 6 0	CHHIDYC..IDYCAA....F...E.FRTTEBBR.PP F99 A99 D98 E99 I96 T99 
7 7 0	.HHIDYC..IDYCAA...CF...E.FRTTEBBR.PP C99 I96 D98 A99 F99 E99 T99 
7 7 0	CHHIDYC..IDYC.AA...F...E.FRTTEBBR.PP F99 A98 D98 E99 I96 T99 
7 7 0	CHHIDYC..IDYC..AA..F...E.FRTTEBBR.PP F99 A97 D98 E99 I96 T99 
7 7 0	CHHIDYC..IDYC...AA.F...E.FRTTEBBR.PP F99 A96 D98 E99 I96 T99 
