0 0 0	.T.YYY.T.HHHAAFFFDGGGG.DR.BBBDREEVVV 
7 7 0	.TYYY..THHHDAAFFFDRGGGGDR.BBB.EEVVV. Y99 H99 D99 G99 R99 E99 V99 
7 7 0	.TYYYD.THHHDAAFFFDRGGGG.RBBB..EE.VVV Y99 H99 D98 G99 R99 B99 E99 
7 7 0	.TYYYD.THHHDAAFFFDRGGGG.R..BBBEE.VVV Y99 H99 D98 G99 R99 B99 E99 
7 7 0	.TYYYD.THHHDAAFFFDRGGGG.R.BBB.EEVVV. Y99 H99 D98 G99 R99 E99 V99 
7 7 0	.TYYYD.THHHDAAFFFDR.GGGGRBBB..EE.VVV Y99 H99 D98 G98 R99 B99 E99 
7 7 0	.TYYYD.THHHDAAFFFDR.GGGGR..BBBEE.VVV Y99 H99 D98 G98 R99 B99 E99 
7 7 0	.TYYYD.THHHDAAFFFDR.GGGGR.BBB.EEVVV. Y99 H99 D98 G98 R99 E99 V99 
7 7 0	.TYYY..THHH.AAFFFDRGGGGDRBBB.DEEVVV. Y99 H99 G99 R99 B99 E99 V99 
7 7 0	.TYYY..THHH.AAFFF.RGGGGDR.BBBDEEVVVD Y99 H99 D99 G99 R99 E99 V99 
7 7 0	.TYYY..T.HHHAAFFF.RGGGGDRBBB.DEEVVVD Y99 D99 G99 R99 B99 E99 V99 
7 7 0	.TYYY..T.HHHAA....RGGGGDR.BBBDEEVVVD Y99 F99 D99 G99 R99 E99 V99 
7 7 0	.T.YYY.THHHDAAFFFDRGGGGDRBBB..EEVVV. H99 D99 G99 R99 B99 E99 V99 
7 7 0	.T.YYY.THHHDAAFFFDRGGGGDR..BBBEEVVV. H99 D99 G99 R99 B99 E99 V99 
7 7 0	.T.YYY.THHH.AAFFF.RGGGGDRBBB.DEEVVVD H99 D99 G99 R99 B99 E99 V99 
7 7 0	.T.YYY.THHH.AA....RGGGGDR.BBBDEEVVVD H99 F99 D99 G99 R99 E99 V99 
7 7 0	.T.YYY.T.HHHAA....RGGGGDRBBB.DEEVVVD F99 D99 G99 R99 B99 E99 V99 
7 7 0	.T.YYY.T.HHH.AA...RGGGGDR.BBBDEEVVVD A99 F99 D99 G99 R99 E99 V99 
7 7 0	.T.YYY.T.HHH..AA..RGGGGDR.BBBDEEVVVD A98 F99 D99 G99 R99 E99 V99 
7 7 0	.T.YYY.T.HHH...AA.RGGGGDR.BBBDEEVVVD A97 F99 D99 G99 R99 E99 V99 
7 7 0	.T.YYY.T.HHH....AARGGGGDR.BBBDEEVVVD A96 F99 D99 G99 R99 E99 V99 
