4 4 0	..HHH.........AA.FCC.BDF.E.BDG.ESSDG H99 F99 A98 B99 
4 4 0	..HHH..........AAFCC.BDF.E.BDG.ESSDG H99 F99 A97 B99 
4 4 0	..HHH.......AA...F.CCBDF.E.BDG.ESSDG H99 F99 B99 C99 
4 4 0	..HHH.......AA..DFCC.BDF.E.BDG.ESS.G H99 F99 B99 D99 
4 4 0	..HHH.....D.AA..DFCC.BDF.E.B.G.ESS.G H99 F99 B99 D98 
4 4 0	..HHH....B..AA.B.F.CC.DF.E..DG.ESSDG H99 F99 B99 C99 
4 4 0	..HHH....B..AA.B.F..CCDF.E..DG.ESSDG H99 F99 B99 C98 
4 4 0	..HHH....B..AA.BDFCC..DF.E..DG.ESS.G H99 F99 B99 D99 
4 4 0	..HHH....BD.AA.BDFCC..DF.E...G.ESS.G H99 F99 B99 D98 
4 4 0	..HHH.......AA.BDF.CCBDF.E..DG.ESS.G H99 F99 C99 D99 
4 4 0	..HHH.....D.AA.BDF.CCBDF.E...G.ESS.G H99 F99 C99 D98 
4 4 0	..HHH.......AA.BDFCC.BDF.E..DG.E.SSG H99 F99 D99 S99 
4 4 0	..HHH.....D.AA.BDFCC.BDF.E...G.E.SSG H99 F99 D98 S99 
4 4 0	..HHHF.....F.AA...CC.BD..E.BDG.ESSDG H99 F99 A99 B99 
4 4 0	..HHHF...B.F.AAB..CC..D..E..DG.ESSDG H99 F99 A99 B99 
4 4 0	..HHHF.....F.AAB...CCBD..E..DG.ESSDG H99 F99 A99 C99 
4 4 0	..HHHF.....F.AABD.CC.BD..E..DG.ESS.G H99 F99 A99 D99 
4 4 0	..HHHF....DF.AABD.CC.BD..E...G.ESS.G H99 F99 A99 D98 
4 4 0	..HHHF.....F.AAB..CC.BDG.E..DG.ESSD. H99 F99 A99 G99 
4 4 0	..HHHF.....F.AAB.GCC.BDG.E..D..ESSD. H99 F99 A99 G98 
4 4 0	..HHHF.....F..AA..CC.BD..E.BDG.ESSDG H99 F99 A98 B99 
4 4 0	..HHHF.....F...AA.CC.BD..E.BDG.ESSDG H99 F99 A97 B99 
4 4 0	..HHHF.....F....AACC.BD..E.BDG.ESSDG H99 F99 A96 B99 
