3 3 0	CCDBBBHHDFL.AA.FLY...FLYG..UU.G..EE. C99 A99 D96 
3 3 0	CC.BBBHH.FL.AA.FLY...FLYG.D.UUG.DEE. C99 A99 U99 
3 3 0	CC.BBBHH.FL.AA.FLY...FLYG.DUU.G.D.EE C99 A99 E99 
3 3 0	CC.BBBHH.FL..AAFL.G..FLYG.DUUY..DEE. C99 Y99 G99 
3 3 0	CC.BBBHH.FL.GAAFL.G..FLY..DUUY..DEE. C99 Y99 G98 
3 3 0	CC.BBBHH.FL..AAFL...DFLYG.DUUYG..EE. C99 Y99 D99 
3 3 0	CC.BBBHH.FL..AAFL....FLYG.DUUYG.D.EE C99 Y99 E99 
3 3 0	CC.BBBHH.FL..AAFL.G..FL.G.DUUY..DEEY C99 Y98 G99 
3 3 0	CC.BBBHH.FL.GAAFL.G..FL...DUUY..DEEY C99 Y98 G98 
3 3 0	CC.BBBHH.FL..AAFL...DFL.G.DUUYG..EEY C99 Y98 D99 
3 3 0	CC.BBBHH.FLY.AAFLYG..FL.G.DUU...DEE. C99 Y99 G99 
3 3 0	CC.BBBHH.FLYGAAFLYG..FL...DUU...DEE. C99 Y99 G98 
3 3 0	CC.BBBHH.FLY.AAFLY..DFL.G.DUU.G..EE. C99 Y99 D99 
3 3 0	CC.BBBHH.FLY.AAFLY...FL.G.D.UUG.DEE. C99 Y99 U99 
3 3 0	CC.BBBHH.FLY.AAFLY...FL.G.DUU.G.D.EE C99 Y99 E99 
3 3 0	CC.BBBHH.FL..AAFLYG.DFLYG.DUU....EE. C99 G99 D99 
3 3 0	CC.BBBHH.FL..AAFLYG..FLYG.D.UU..DEE. C99 G99 U99 
3 3 0	CC.BBBHH.FL..AAFLYG..FLYG.DUU...D.EE C99 G99 E99 
3 3 0	CC.BBBHH.FL.GAAFLYG.DFLY..DUU....EE. C99 G98 D99 
3 3 0	CC.BBBHH.FL.GAAFLYG..FLY..D.UU..DEE. C99 G98 U99 
3 3 0	CC.BBBHH.FL.GAAFLYG..FLY..DUU...D.EE C99 G98 E99 
3 3 0	CC.BBBHH.FL..AAFLY..DFLYG.D.UUG..EE. C99 D99 U99 
3 3 0	CC.BBBHH.FL..AAFLY..DFLYG.DUU.G.EE.. C99 D99 E99 
3 3 0	CC.BBBHH.FL..AAFLY..DFLYG.DUU.GEE... C99 D99 E98 
3 3 0	CC.BBBHH.FL..AAFLY..DFLYG.DUU.G...EE C99 D99 E99 
3 3 0	CC.BBBHH..L..AAFLY...FLYG.DFUUG.DEE. C99 F99 U99 
3 3 0	CC.BBBHH.FL..AAFLY...FLYG.D.UUG.D.EE C99 U99 E99 
3 3 0	.CCBBB.HHFL.AA.FL....FLYG.DUUYG.DEE. H99 A99 Y99 
3 3 0	.CCBBB.HHFL.AA.FL....FL.G.DUUYG.DEEY H99 A99 Y98 
3 3 0	.CCBBB.HHFLYAA.FLY...FL.G.DUU.G.DEE. H99 A99 Y99 
3 3 0	.CCBBB.HHFL.AA.FLYG..FLYG.DUU...DEE. H99 A99 G99 
3 3 0	.CCBBB.HHFL.AA.FLY..DFLYG.DUU.G..EE. H99 A99 D99 
3 3 0	.CCBBB.HHFL.AADFLY..DFLYG..UU.G..EE. H99 A99 D98 
3 3 0	.CCBBB.HHFL.AA.FLY...FLYG.D.UUG.DEE. H99 A99 U99 
3 3 0	.CCBBB.HHFL.AA.FLY...FLYG.DUU.G.D.EE H99 A99 E99 
3 3 0	.CCBBB.HHFL..AAFL.G..FLYG.DUUY..DEE. H99 Y99 G99 
3 3 0	.CCBBB.HHFL.GAAFL.G..FLY..DUUY..DEE. H99 Y99 G98 
3 3 0	.CCBBBGHHFL.GAAFL....FLY..DUUY..DEE. H99 Y99 G97 
3 3 0	GCCBBBGHHFL..AAFL....FLY..DUUY..DEE. H99 Y99 G96 
3 3 0	.CCBBB.HHFL..AAFL...DFLYG.DUUYG..EE. H99 Y99 D99 
3 3 0	.CCBBB.HHFL..AAFL....FLYG.DUUYG.D.EE H99 Y99 E99 
3 3 0	.CCBBB.HHFL..AAFL.G..FL.G.DUUY..DEEY H99 Y98 G99 
3 3 0	.CCBBB.HHFL.GAAFL.G..FL...DUUY..DEEY H99 Y98 G98 
3 3 0	.CCBBBGHHFL.GAAFL....FL...DUUY..DEEY H99 Y98 G97 
3 3 0	GCCBBBGHHFL..AAFL....FL...DUUY..DEEY H99 Y98 G96 
3 3 0	.CCBBB.HHFL..AAFL...DFL.G.DUUYG..EEY H99 Y98 D99 
3 3 0	.CCBBB.HHFLY.AAFLYG..FL.G.DUU...DEE. H99 Y99 G99 
3 3 0	.CCBBB.HHFLYGAAFLYG..FL...DUU...DEE. H99 Y99 G98 
3 3 0	.CCBBBGHHFLYGAAFLY...FL...DUU...DEE. H99 Y99 G97 
3 3 0	GCCBBBGHHFLY.AAFLY...FL...DUU...DEE. H99 Y99 G96 
3 3 0	.CCBBB.HHFLY.AAFLY..DFL.G.DUU.G..EE. H99 Y99 D99 
3 3 0	.CCBBB.HHFLY.AAFLY...FL.G.D.UUG.DEE. H99 Y99 U99 
3 3 0	.CCBBB.HHFLY.AAFLY...FL.G.DUU.G.D.EE H99 Y99 E99 
3 3 0	.CCBBB.HHFL..AAFLYG.DFLYG.DUU....EE. H99 G99 D99 
3 3 0	.CCBBB.HHFL..AAFLYG..FLYG.D.UU..DEE. H99 G99 U99 
3 3 0	.CCBBB.HHFL..AAFLYG..FLYG.DUU...D.EE H99 G99 E99 
3 3 0	.CCBBB.HHFL.GAAFLYG.DFLY..DUU....EE. H99 G98 D99 
3 3 0	.CCBBB.HHFL.GAAFLYG..FLY..D.UU..DEE. H99 G98 U99 
3 3 0	.CCBBB.HHFL.GAAFLYG..FLY..DUU...D.EE H99 G98 E99 
3 3 0	.CCBBBGHHFL.GAAFLY..DFLY..DUU....EE. H99 G97 D99 
3 3 0	.CCBBBGHHFL.GAAFLY...FLY..D.UU..DEE. H99 G97 U99 
3 3 0	.CCBBBGHHFL.GAAFLY...FLY..DUU...D.EE H99 G97 E99 
3 3 0	GCCBBBGHHFL.AA.FLY...FLY..DUU...DEE. H99 A99 G96 
3 3 0	GCCBBBGHHFL..AAFLY..DFLY..DUU....EE. H99 G96 D99 
3 3 0	GCCBBBGHHFL..AAFLY...FLY..D.UU..DEE. H99 G96 U99 
3 3 0	GCCBBBGHHFL..AAFLY...FLY..DUU...D.EE H99 G96 E99 
3 3 0	.CCBBB.HHFL..AAFLY..DFLYG.D.UUG..EE. H99 D99 U99 
3 3 0	.CCBBB.HHFL..AAFLY..DFLYG.DUU.G.EE.. H99 D99 E99 
3 3 0	.CCBBB.HHFL..AAFLY..DFLYG.DUU.GEE... H99 D99 E98 
3 3 0	.CCBBB.HHFL..AAFLY..DFLYG.DUU.G...EE H99 D99 E99 
3 3 0	.CCBBB.HH.L..AAFLY...FLYG.DFUUG.DEE. H99 F99 U99 
3 3 0	.CCBBB.HHFL..AAFLY...FLYG.D.UUG.D.EE H99 U99 E99 
3 3 0	.CCBBBHH.FL.AA.FL.G..FLYG.DUUY..DEE. A99 Y99 G99 
3 3 0	.CCBBBHH.FL.AA.FL...DFLYG.DUUYG..EE. A99 Y99 D99 
3 3 0	.CCBBBHH.FL.AADFL...DFLYG..UUYG..EE. A99 Y99 D98 
3 3 0	.CCBBBHHDFL.AADFL....FLYG..UUYG..EE. A99 Y99 D97 
3 3 0	.CCBBBHH.FL.AA.FL....FLYG.DUUYG.D.EE A99 Y99 E99 
3 3 0	.CCBBBHH.FL.AA.FL.G..FL.G.DUUY..DEEY A99 Y98 G99 
3 3 0	.CCBBBHH.FL.AA.FL...DFL.G.DUUYG..EEY A99 Y98 D99 
3 3 0	.CCBBBHH.FL.AADFL...DFL.G..UUYG..EEY A99 Y98 D98 
3 3 0	.CCBBBHHDFL.AADFL....FL.G..UUYG..EEY A99 Y98 D97 
3 3 0	.CCBBBHH.FLYAA.FLYG..FL.G.DUU...DEE. A99 Y99 G99 
3 3 0	.CCBBBHH.FLYAA.FLY..DFL.G.DUU.G..EE. A99 Y99 D99 
3 3 0	.CCBBBHH.FLYAADFLY..DFL.G..UU.G..EE. A99 Y99 D98 
3 3 0	.CCBBBHHDFLYAADFLY...FL.G..UU.G..EE. A99 Y99 D97 
3 3 0	.CCBBBHH.FLYAA.FLY...FL.G.D.UUG.DEE. A99 Y99 U99 
3 3 0	.CCBBBHH.FLYAA.FLY...FL.G.DUU.G.D.EE A99 Y99 E99 
3 3 0	.CCBBBHH.FL.AA.FLYG.DFLYG.DUU....EE. A99 G99 D99 
3 3 0	.CCBBBHH.FL.AADFLYG.DFLYG..UU....EE. A99 G99 D98 
3 3 0	.CCBBBHHDFL.AADFLYG..FLYG..UU....EE. A99 G99 D97 
3 3 0	.CCBBBHH.FL.AA.FLYG..FLYG.D.UU..DEE. A99 G99 U99 
3 3 0	.CCBBBHH.FL.AA.FLYG..FLYG.DUU...D.EE A99 G99 E99 
3 3 0	.CCBBBHH.FL.AA.FLY..DFLYG.D.UUG..EE. A99 D99 U99 
3 3 0	.CCBBBHH.FL.AA.FLY..DFLYG.DUU.G.EE.. A99 D99 E99 
3 3 0	.CCBBBHH.FL.AA.FLY..DFLYG.DUU.GEE... A99 D99 E98 
3 3 0	.CCBBBHH.FL.AA.FLY..DFLYG.DUU.G...EE A99 D99 E99 
3 3 0	.CCBBBHH.FL.AADFLY..DFLYG.UU..G..EE. A99 D98 U99 
3 3 0	.CCBBBHH.FL.AADFLY..DFLYGUU...G..EE. A99 D98 U98 
3 3 0	.CCBBBHH.FL.AADFLY..DFLYG...UUG..EE. A99 D98 U99 
3 3 0	.CCBBBHH.FL.AADFLY..DFLYG..UU.G.EE.. A99 D98 E99 
3 3 0	.CCBBBHH.FL.AADFLY..DFLYG..UU.GEE... A99 D98 E98 
3 3 0	.CCBBBHH.FL.AADFLY..DFLYG..UU.G...EE A99 D98 E99 
3 3 0	.CCBBBHHDFL.AADFLY...FLYG.UU..G..EE. A99 D97 U99 
3 3 0	.CCBBBHHDFL.AADFLY...FLYGUU...G..EE. A99 D97 U98 
3 3 0	.CCBBBHHDFL.AADFLY...FLYG...UUG..EE. A99 D97 U99 
3 3 0	.CCBBBHHDFL.AADFLY...FLYG..UU.G.EE.. A99 D97 E99 
3 3 0	.CCBBBHHDFL.AADFLY...FLYG..UU.GEE... A99 D97 E98 
3 3 0	.CCBBBHHDFL.AADFLY...FLYG..UU.G...EE A99 D97 E99 
3 3 0	.CCBBBHH..L.AA.FLY...FLYG.DFUUG.DEE. F99 A99 U99 
3 3 0	.CCBBBHH.FL.AA.FLY...FLYG.D.UUG.D.EE A99 U99 E99 
3 3 0	.CCBBBHH.FL..AAFL.G.DFLYG.DUUY...EE. Y99 G99 D99 
3 3 0	.CCBBBHH.FL..AAFL.G..FLYG.DUUY..D.EE Y99 G99 E99 
3 3 0	.CCBBBHH.FL.GAAFL.G.DFLY..DUUY...EE. Y99 G98 D99 
3 3 0	.CCBBBHH.FL.GAAFL.G..FLY..DUUY..D.EE Y99 G98 E99 
3 3 0	.CCBBBHH.FL..AAFL...DFLYG.DUUYG.EE.. Y99 D99 E99 
3 3 0	.CCBBBHH.FL..AAFL...DFLYG.DUUYGEE... Y99 D99 E98 
3 3 0	.CCBBBHH.FL..AAFL...DFLYG.DUUYG...EE Y99 D99 E99 
3 3 0	.CCBBBHH.FL..AAFL.G.DFL.G.DUUY...EEY Y98 G99 D99 
3 3 0	.CCBBBHH.FL.GAAFL.G.DFL...DUUY...EEY Y98 G98 D99 
3 3 0	.CCBBBHH.FL..AAFL...DFL.G.DUUYG.EE.Y Y98 D99 E99 
3 3 0	.CCBBBHH.FL..AAFL...DFL.G.DUUYGEE..Y Y98 D99 E98 
3 3 0	.CCBBBHH.FLY.AAFLYG.DFL.G.DUU....EE. Y99 G99 D99 
3 3 0	.CCBBBHH.FLY.AAFLYG..FL.G.D.UU..DEE. Y99 G99 U99 
3 3 0	.CCBBBHH.FLY.AAFLYG..FL.G.DUU...D.EE Y99 G99 E99 
3 3 0	.CCBBBHH.FLYGAAFLYG.DFL...DUU....EE. Y99 G98 D99 
3 3 0	.CCBBBHH.FLYGAAFLYG..FL...D.UU..DEE. Y99 G98 U99 
3 3 0	.CCBBBHH.FLYGAAFLYG..FL...DUU...D.EE Y99 G98 E99 
3 3 0	.CCBBBHH.FLY.AAFLY..DFL.G.D.UUG..EE. Y99 D99 U99 
3 3 0	.CCBBBHH.FLY.AAFLY..DFL.G.DUU.G.EE.. Y99 D99 E99 
3 3 0	.CCBBBHH.FLY.AAFLY..DFL.G.DUU.GEE... Y99 D99 E98 
3 3 0	.CCBBBHH.FLY.AAFLY..DFL.G.DUU.G...EE Y99 D99 E99 
3 3 0	.CCBBBHH..LY.AAFLY...FL.G.DFUUG.DEE. F99 Y99 U99 
3 3 0	.CCBBBHH.FLY.AAFLY...FL.G.D.UUG.D.EE Y99 U99 E99 
3 3 0	.CCBBBHH.FL..AAFLYG.DFLYG.D.UU...EE. G99 D99 U99 
3 3 0	.CCBBBHH.FL..AAFLYG.DFLYG.DUU...EE.. G99 D99 E99 
3 3 0	.CCBBBHH.FL..AAFLYG.DFLYG.DUU..EE... G99 D99 E98 
3 3 0	.CCBBBHH.FL..AAFLYG.DFLYG.DUU.EE.... G99 D99 E97 
3 3 0	.CCBBBHH.FL..AAFLYG.DFLYG.DUU.....EE G99 D99 E99 
3 3 0	.CCBBBHH..L..AAFLYG..FLYG.DFUU..DEE. F99 G99 U99 
3 3 0	.CCBBBHH.FL..AAFLYG..FLYG.D.UU..D.EE G99 U99 E99 
3 3 0	.CCBBBHH.FL.GAAFLYG.DFLY..D.UU...EE. G98 D99 U99 
3 3 0	.CCBBBHH.FL.GAAFLYG.DFLY..DUU...EE.. G98 D99 E99 
3 3 0	.CCBBBHH.FL.GAAFLYG.DFLY..DUU..EE... G98 D99 E98 
3 3 0	.CCBBBHH.FL.GAAFLYG.DFLY..DUU.EE.... G98 D99 E97 
3 3 0	.CCBBBHH.FL.GAAFLYG.DFLY..DUU.....EE G98 D99 E99 
3 3 0	.CCBBBHH..L.GAAFLYG..FLY..DFUU..DEE. F99 G98 U99 
3 3 0	.CCBBBHH.FL.GAAFLYG..FLY..D.UU..D.EE G98 U99 E99 
3 3 0	.CCBBBHH..L..AAFLY..DFLYG.DFUUG..EE. F99 D99 U99 
3 3 0	.CCBBBHH.FL..AAFLY..DFLYG.D.UUG.EE.. D99 U99 E99 
3 3 0	.CCBBBHH.FL..AAFLY..DFLYG.D.UUGEE... D99 U99 E98 
3 3 0	.CCBBBHH.FL..AAFLY..DFLYG.D.UUG...EE D99 U99 E99 
3 3 0	.CCBBB..HHL..AAFLY...FLYG.DFUUG.DEE. H98 F99 U99 
