9 0 9	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
20 8 12	HJJJPSH.NDPSAANDPUB.ND.UBI..LO.IGGLO J99 H98 A99 D99 N98 L99 B99 G99 
20 8 12	HJJJ.SH...PSAANDPUB.NDPUBINDLO.IGGLO J99 P99 H98 A99 N99 L99 B99 G99 
20 8 12	HJJJ.SH.NDPSAANDPU..NDPUBI..LOBIGGLO J99 P99 H98 A99 D99 N98 L99 G99 
20 8 12	HJJJ.SH.N.PSAANDPU.INDPUBI.DLOB.GGLO J99 P99 H98 A99 N98 L99 I99 G99 
20 8 12	H.JJJSH...PSAANDPU..NDPUBINDLOBIGGLO J98 P99 H98 A99 N99 L99 G99 
20 11 9	HJJJ.SH...PS.AADPUBINDPUBINDLOGGN.LO J99 P99 H98 A98 N96 L99 B99 I99 G97 
20 8 12	HJJJPSH..DPSAANDPU.IND.UBIN.LOBGG.LO J99 H98 A99 D99 N99 L99 I99 G98 
20 8 12	HJJJPSH..DPSAANDPUBINDLUBIN.LOGG...O J99 H98 A99 D99 N99 B99 I99 G97 
18 9 9	HJJJPSH..DPSAA.DPUBINDLUBIN.LOGGN..O J99 H98 A99 D99 N98 B99 I99 G97 
19 10 9	HJJJPSH..DPSAA.DPUBIND.UBIN.LOGGN.LO J99 H98 A99 D99 N98 L99 B99 I99 G97 
20 11 9	HJJJ.SH..DPSAA.DPUBINDPUBIN.LOGGN.LO J99 P99 H98 A99 D99 N98 L99 B99 I99 G97 
20 8 12	HJJJPSH...PSAANDPUBIND.UBINDLO.GG.LO J99 H98 A99 N99 L99 B99 I99 G98 
20 8 12	HJJJPSH.N.PSAANDPU.IND.UBI.DLOB.GGLO J99 H98 A99 N98 L99 I99 G99 
20 8 12	HJJJ.SH...PSAANDPU.INDPUBINDLOBGG.LO J99 P99 H98 A99 N99 L99 I99 G98 
21 9 12	HJJJ.SH...PSAANDPU.INDPUBINDLOB.GGLO J99 P99 H98 A99 N97 L99 I99 G99 
21 9 12	HJJJPSH.NDPSAANDPUBINDLUBI..LOGG...O J99 H98 A99 D99 N98 B99 I99 G97 
21 9 12	HJJJ.SH.N.PSAANDPUBINDPUBI.DLO..GGLO J99 P99 H98 A99 N98 L99 B99 I99 G99 
21 9 12	HJJJPSH.N.PSAANDPU.IND.UBI.DLOBGG.LO J99 H98 A99 N98 L99 I99 G98 
21 9 12	HJJJ.SH.NDPSAANDPUB.NDPUBI..LO.IGGLO J99 P99 H98 A99 D99 N98 L99 B99 G99 
21 9 12	H.JJJSH...PSAANDPU.INDPUBINDLOBGG.LO J98 P99 H98 A99 N99 L99 I99 G98 
21 9 12	HJJJ.SH..DPSAANDPU.INDPUBIN.LOBGG.LO J99 P99 H98 A99 D99 N99 L99 I99 G98 
21 15 6	H.JJJSH...PS.IAAPUBINDPUB.NDLOGGNDLO J98 P99 H98 A97 D99 N98 L99 B99 I98 G97 
21 9 12	HJJJPSH..DPSAANDPU.IND.UBIN.LOBGG.LO J99 H98 A99 D97 N99 L99 I99 G98 
21 15 6	HJJJ.SH...PS..AAPUBINDPUBINDLOGGNDLO J97 P99 H98 A97 D99 N98 L99 B99 I99 G97 
21 15 6	H.JJJSH...PSB.AAPUBINDPU.INDLOGGNDLO J98 P99 H98 A97 D99 N98 L99 B98 I99 G97 
21 9 12	HJJJ.SH.N.PSAANDPUBINDPUBI.DLOGG..LO J99 P99 H98 A99 N98 L99 B99 I99 G97 
21 12 9	HJJJPSH..DPS.AADPUBINDLUBIN.LOGGN..O J99 H98 A98 D97 N98 B99 I99 G97 
21 9 12	HJJJPSH.NDPSAANDPU.INDLUBI..LOBGG..O J99 H98 A99 D97 N98 I99 G98 
21 9 12	HJJJPSH...PSAANDPUBIND.UBINDLO..GGLO J99 H98 A99 N99 L99 B99 I99 G95 
21 9 12	HJJJPSH..DPSAANDPUBIND.UBIN.LO..GGLO J99 H98 A99 D99 N99 L99 B99 I99 G99 
21 15 6	HJJJPSH...PSBAA.PUBIND.U.INDLOGGNDLO J99 P98 H98 A98 D99 N98 L99 B98 I99 G97 
21 15 6	H.JJJSH...PSBAA.PUBINDPU.INDLOGGNDLO J98 P99 H98 A98 D99 N98 L99 B98 I99 G97 
21 9 12	HJJJPSH.NDPSAANDPU.IND.UBI..LOBGG.LO J99 H98 A99 D99 N98 L99 I99 G98 
