9 0 9	.CCBBBHH.FL..AAFLY...FLYG.DUU.G.DEE. 
9 3 6	.CCBBBHH.FL..AAFL...DFL.G.DUUYG.EE.Y Y98 D99 E99 
9 3 6	.CCBBB.HHFL..AAFL.G..FLYG.DUUY..DEE. H99 Y99 G99 
9 3 6	.CCBBBHH.FL.AA.FL...DFL.G.DUUYG..EEY A99 Y98 D99 
9 3 6	.CCBBBHH.FL.GAAFL.G.DFL...DUUY...EEY Y98 G98 D99 
9 3 6	.CCBBBHH.FL..AAFL.G.DFL.G.DUUY...EEY Y98 G99 D99 
9 3 6	.CCBBB.HHFL..AAFL...DFL.G.DUUYG..EEY H99 Y98 D99 
9 3 6	CC.BBBHH.FL..AAFL...DFL.G.DUUYG..EEY C99 D99 Y98 
9 3 6	.CCBBB.HHFL.AA.FL....FLYG.DUUYG.DEE. H99 A99 Y99 
9 3 6	.CCBBBHH.FL.GAAFL.G..FLY..DUUY..D.EE Y99 G98 E99 
9 3 6	CC.BBBHH.FL..AAFL....FLYG.DUUYG.D.EE C99 Y99 E99 
9 3 6	.CCBBBHH.FL.AA.FL.G..FL.G.DUUY..DEEY A99 Y98 G99 
9 3 6	.CCBBB.HHFL..AAFL.G..FL.G.DUUY..DEEY H99 Y98 G99 
9 3 6	CC.BBB.HHFL..AAFL....FLYG.DUUYG.DEE. C99 H99 Y99 
9 3 6	CC.BBBHH.FL..AAFL.G..FL.G.DUUY..DEEY C99 G99 Y98 
9 3 6	CC.BBBHH.FL..AAFL...DFLYG.DUUYG..EE. C99 Y99 D99 
9 3 6	.CCBBBHH.FL.AA.FL....FLYG.DUUYG.D.EE A99 Y99 E99 
9 3 6	CCBBB.HH.FL..AAFL....FLYG.DUUYG.DEE. C99 B99 Y99 
9 3 6	.CCBBBHH.FL.AA.FL...DFLYG.DUUYG..EE. A99 Y99 D99 
9 3 6	.CCBBBHH.FL.GAAFL.G.DFLY..DUUY...EE. Y99 G98 D99 
9 3 6	CC.BBBHH.FL.AA.FL....FLYG.DUUYG.DEE. C99 A99 Y99 
9 3 6	GCCBBBGHHFL..AAFL....FL...DUUY..DEEY H99 Y98 G96 
9 3 6	CC.BBBHH.FL.GAAFL.G..FLY..DUUY..DEE. C99 G98 Y99 
9 3 6	.CCBBB.HHFL.GAAFL.G..FL...DUUY..DEEY H99 Y98 G98 
9 3 6	.CCBBBHH.FL..AAFL...DFLYG.DUUYG...EE Y99 D99 E99 
9 3 6	.CCBBBHH.FL..AAFL.G.DFLYG.DUUY...EE. Y99 G99 D99 
10 4 6	GCCBBBGHHFL.AA.FL....FLY..DUUY..DEE. H99 A99 Y99 G96 
10 4 6	GCCBBBGHHFL..AAFL....FLY..DUUY..D.EE H99 Y99 G96 E99 
10 4 6	CC.BBB.HHFL.GAAFL.G..FLY..DUUY..DEE. C99 H99 G98 Y99 
10 4 6	CC.BBBGHHFL.GAAFL....FLY..DUUY..DEE. C99 G97 H99 Y99 
10 4 6	CC.BBBHH.FL..AAFL...DFL.G.DUUYGEE..Y C99 D99 Y98 E98 
10 4 6	.CCBBBHH.FL..AAFL.G.DFLYG.DUUYEE.... Y99 G99 D99 E97 
10 4 6	.CCBBB.HHFL..AAFL...DFLYG.DUUYG...EE H99 Y99 D99 E99 
10 4 6	CC.BBB.HHFL.GAAFL.G..FL...DUUY..DEEY C99 H99 G98 Y98 
10 4 6	CC.BBB.HHFL..AAFL...DFL.G.DUUYG..EEY C99 H99 D99 Y98 
10 4 6	.CCBBBHH.FL..AAFL.G.DFLYG.DUUY.EE... Y99 G99 D99 E98 
10 4 6	CC.BBB.HHFL..AAFL.G..FL.G.DUUY..DEEY C99 H99 G99 Y98 
10 1 9	.CCBBB.HHFL..AAFLY...FLYG.DUU.G.DEE. H99 
10 4 6	.CCBBBHH.FL.GAAFL.G.DFLY..DUUY.EE... Y99 G98 D99 E98 
10 4 6	.CCBBB.HHFL..AAFL...DFLYG.DUUYG.EE.. H99 Y99 D99 E99 
10 4 6	.CCBBBHH.FL.GAAFL.G.DFL...DUUYEE...Y Y98 G98 D99 E97 
10 1 9	.CCBBBHH.FL.AA.FLY...FLYG.DUU.G.DEE. A99 
10 1 9	.CCBBBHH.FLY.AAFLY...FL.G.DUU.G.DEE. Y99 
10 4 6	CC.BBBHH.FL.AA.FL.G..FL.G.DUUY..DEEY C99 A99 G99 Y98 
10 4 6	CC.BBB.HHFL.AA.FL....FL.G.DUUYG.DEEY C99 H99 A99 Y98 
10 4 6	GCCBBBGHHFL..AAFL...DFL...DUUY...EEY H99 Y98 G96 D99 
10 4 6	CC.BBB.HHFL..AAFL.G..FLYG.DUUY..DEE. C99 H99 G99 Y99 
10 4 6	CCBBB.HH.FL..AAFL.G..FLYG.DUUY..DEE. C99 B99 G99 Y99 
10 4 6	CC.BBBHH.FL..AAFL...DFLYG.DUUYG...EE C99 Y99 D99 E99 
10 4 6	CCBBB.HH.FL.GAAFL.G..FL...DUUY..DEEY C99 B99 G98 Y98 
10 4 6	CCBBB.HH.FL..AAFL...DFL.G.DUUYG..EEY C99 B99 D99 Y98 
10 4 6	CCBBB..HHFL..AAFL....FLYG.DUUYG.DEE. C99 B99 H99 Y99 
10 1 9	CC.BBBHH.FL..AAFLY...FLYG.DUU.G.DEE. C99 
10 4 6	.CCBBBHH.FL.AA.FL...DFLYG.DUUYG...EE A99 Y99 D99 E99 
10 4 6	.CCBBBHH.FL.AA.FL.G..FLYG.DUUY..D.EE A99 Y99 G99 E99 
10 4 6	CC.BBBHH.FL.GAAFL.G.DFLY..DUUY...EE. C99 Y99 G98 D99 
10 4 6	CC.BBBHH.FL..AAFL.G..FLYG.DUUY..D.EE C99 G99 Y99 E99 
10 4 6	CC.BBBHH.FL.AA.FL...DFLYG.DUUYG..EE. C99 A99 Y99 D99 
10 4 6	CCBBB.HH.FL..AAFL...DFLYG.DUUYG..EE. C99 B99 Y99 D99 
10 1 9	.CCBBBHH.FL..AAFLY...FLYG.D.UUG.DEE. U99 
10 4 6	.CCBBBHH.FL.GAAFL.G.DFLY..DUUY....EE Y99 G98 D99 E99 
10 4 6	CC.BBBHH.FL.AA.FL....FLYG.DUUYG.D.EE C99 A99 Y99 E99 
10 4 6	CCBBB.HH.FL.GAAFL.G..FLY..DUUY..DEE. C99 B99 Y99 G98 
10 4 6	CCBBB.HH.FL..AAFL....FLYG.DUUYG.D.EE C99 B99 Y99 E99 
10 4 6	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUY...EE. A99 Y99 G99 D99 
10 4 6	CC.BBBHH.FL.GAAFL.G..FLY..DUUY..D.EE C99 G98 Y99 E99 
10 4 6	.CCBBBHH.FL..AAFL.G.DFL.G.DUUYEE...Y Y98 G99 D99 E97 
10 4 6	CC.BBB.HHFL.AA.FL....FLYG.DUUYG.DEE. C99 H99 A99 Y99 
10 4 6	.CCBBB.HHFL.AA.FL.G..FLYG.DUUY..DEE. H99 A99 Y99 G99 
10 4 6	.CCBBB.HHFL..AAFL.G.DFL.G.DUUY...EEY H99 Y98 G99 D99 
10 4 6	CC.BBBHH.FL..AAFL.G.DFL.G.DUUY...EEY C99 G99 D99 Y98 
10 1 9	.CCBBBHH.FL..AAFLY..DFLYG.DUU.G..EE. D99 
10 4 6	.CCBBBHH.FL.AA.FL...DFL.G.DUUYG.EE.Y A99 Y98 D99 E99 
10 4 6	.CCBBBHH.FL..AAFL.G.DFL.G.DUUY..EE.Y Y98 G99 D99 E99 
10 4 6	CC.BBBHH.FL..AAFL...DFL.G.DUUYG.EE.Y C99 D99 Y98 E99 
10 4 6	.CCBBB.HHFL..AAFL...DFL.G.DUUYG.EE.Y H99 Y98 D99 E99 
10 4 6	CCBBB.HH.FL.AA.FL....FLYG.DUUYG.DEE. C99 B99 A99 Y99 
10 4 6	.CCBBBHH.FL.GAAFL.G.DFLY..DUUY..EE.. Y99 G98 D99 E99 
10 4 6	CC.BBBHH.FL.GAAFL.G.DFL...DUUY...EEY C99 G98 D99 Y98 
10 1 9	.CCBBBHH.FL.GAAFLYG..FLY..DUU...DEE. G98 
10 4 6	.CCBBBHH.FL..AAFL.G.DFLYG.DUUY..EE.. Y99 G99 D99 E99 
10 4 6	CCDBBBHHDFL.AA.FL....FLYG..UUYG..EE. C99 A99 Y99 D96 
10 4 6	CC.BBB.HHFL..AAFL....FLYG.DUUYG.D.EE C99 H99 Y99 E99 
10 4 6	.CCBBBHH.FL.AA.FL...DFLYG.DUUYG.EE.. A99 Y99 D99 E99 
10 4 6	GCCBBBGHHFL..AAFL...DFLY..DUUY...EE. H99 Y99 G96 D99 
10 4 6	.CCBBBHH.FL..AAFL.G.DFL.G.DUUY.EE..Y Y98 G99 D99 E98 
10 4 6	CC.BBBHH.FL..AAFL...DFLYG.DUUYG.EE.. C99 D99 Y99 E99 
10 4 6	.CCBBB.HHFL..AAFL...DFL.G.DUUYGEE..Y H99 Y98 D99 E98 
10 4 6	.CCBBBHH.FL.AA.FL...DFL.G.DUUYGEE..Y A99 Y98 D99 E98 
11 5 6	GCCBBBGHHFL.AA.FL....FLY..DUUY..D.EE H99 A99 Y99 G96 E99 
11 5 6	CC.BBBGHHFL.GAAFL....FLY..DUUY..D.EE C99 G97 H99 Y99 E99 
11 2 9	.CCBBB.HHFL..AAFLYG..FLYG.DUU...DEE. H99 G99 
11 5 6	CCBBB.HH.FL..AAFL.G.DFLYG.DUUY...EE. C99 B99 G99 Y99 D99 
11 2 9	.CCBBBHH.FLY.AAFLYG..FL.G.DUU...DEE. Y99 G99 
11 5 6	CC.BBB.HHFL.AA.FL.G..FLYG.DUUY..DEE. C99 H99 A99 G99 Y99 
11 5 6	GCCBBBGHHFL..AAFL...DFL...DUUY..EE.Y H99 Y98 G96 D99 E99 
11 5 6	GCCBBBGHHFL..AAFL...DFL...DUUY.EE..Y H99 Y98 G96 D99 E98 
11 5 6	CC.BBB.HHFL.GAAFL.G.DFL...DUUY...EEY C99 H99 G98 D99 Y98 
11 2 9	.CCBBB.HHFLY.AAFLY...FL.G.DUU.G.DEE. H99 Y99 
11 5 6	CCBBB.HH.FL.AA.FL.G..FL.G.DUUY..DEEY C99 B99 A99 G99 Y98 
11 2 9	.CCBBBHH.FLY.AAFLY..DFL.G.DUU.G..EE. Y99 D99 
11 5 6	CC.BBBHH.FL.GAAFL.G.DFL...DUUYEE...Y C99 G98 D99 Y98 E97 
11 2 9	CC.BBBHH.FLY.AAFLY...FL.G.DUU.G.DEE. C99 Y99 
11 5 6	.CCBBB.HHFL.AA.FL...DFLYG.DUUYG.EE.. H99 A99 Y99 D99 E99 
11 2 9	.CCBBB.HHFL..AAFLY...FLYG.D.UUG.DEE. H99 U99 
11 5 6	CC.BBB.HHFL..AAFL...DFLYG.DUUYG.EE.. C99 H99 D99 Y99 E99 
11 5 6	.CCBBB.HHFL..AAFL...DFLYG.DUUYGEE... H99 Y99 D99 E98 
11 2 9	.CCBBB.HHFL..AAFLY...FLYG.DUU.G.D.EE H99 E99 
11 5 6	CCBBB..HHFL..AAFL.G..FL.G.DUUY..DEEY C99 B99 H99 G99 Y98 
11 5 6	CC.BBB.HHFL..AAFL...DFL.G.DUUYG.EE.Y C99 H99 D99 Y98 E99 
11 5 6	.CCBBB.HHFL..AAFL.G.DFLYG.DUUY.EE... H99 Y99 G99 D99 E98 
11 5 6	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUY.EE... A99 Y99 G99 D99 E98 
11 2 9	.CCBBBHH.FLYAA.FLY...FL.G.DUU.G.DEE. A99 Y99 
11 5 6	CC.BBBGHHFL.GAAFL...DFL...DUUY...EEY C99 H99 G97 D99 Y98 
11 5 6	CC.BBB.HHFL.AA.FL...DFL.G.DUUYG..EEY C99 H99 A99 D99 Y98 
11 5 6	CC.BBB.HHFL..AAFL.G.DFL.G.DUUY...EEY C99 H99 G99 D99 Y98 
11 5 6	.CCBBB.HHFL..AAFL.G.DFLYG.DUUY....EE H99 Y99 G99 D99 E99 
11 5 6	.CCBBBGHHFL.GAAFL...DFLY..DUUY....EE H99 Y99 G97 D99 E99 
11 5 6	CCBBB..HHFL..AAFL...DFL.G.DUUYG..EEY C99 B99 H99 D99 Y98 
11 5 6	CCBBB..HHFL.GAAFL.G..FL...DUUY..DEEY C99 B99 H99 G98 Y98 
11 5 6	.CCBBB.HHFL.GAAFL.G.DFLY..DUUY....EE H99 Y99 G98 D99 E99 
11 5 6	.CCBBB.HHFL.AA.FL...DFLYG.DUUYG...EE H99 A99 Y99 D99 E99 
11 2 9	.CCBBBHH.FL.AA.FLYG..FLYG.DUU...DEE. A99 G99 
11 5 6	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUYEE.... A99 Y99 G99 D99 E97 
11 5 6	.CCBBBHH.FL.AA.FL.G.DFL.G.DUUY.EE..Y A99 Y98 G99 D99 E98 
11 5 6	CC.BBBHH.FL..AAFL.G.DFL.G.DUUY.EE..Y C99 D99 G99 Y98 E98 
11 5 6	CC.BBBHH.FL..AAFL.G.DFLYG.DUUYEE.... C99 G99 D99 Y99 E97 
11 5 6	CC.BBBHH.FL.GAAFL.G.DFL...DUUY.EE..Y C99 D99 G98 Y98 E98 
11 5 6	CC.BBB.HHFL..AAFL...DFL.G.DUUYGEE..Y C99 H99 D99 Y98 E98 
11 5 6	CC.BBBHH.FL.AA.FL...DFL.G.DUUYGEE..Y C99 A99 D99 Y98 E98 
11 2 9	.CCBBBHH.FLY.AAFLY...FL.G.DUU.G.D.EE Y99 E99 
11 5 6	CC.BBBGHHFL.GAAFL...DFLY..DUUY...EE. C99 G97 H99 Y99 D99 
11 5 6	CC.BBB.HHFL.GAAFL.G.DFLY..DUUY...EE. C99 H99 G98 Y99 D99 
11 5 6	CC.BBB.HHFL.GAAFL.G..FLY..DUUY..D.EE C99 H99 G98 Y99 E99 
11 5 6	CCBBB.GHHFL.GAAFL....FLY..DUUY..DEE. C99 B99 G97 H99 Y99 
11 5 6	.CCBBBGHHFL.GAAFL...DFL...DUUY.EE..Y H99 Y98 G97 D99 E98 
11 5 6	.CCBBB.HHFL.GAAFL.G.DFL...DUUY.EE..Y H99 Y98 G98 D99 E98 
11 5 6	GCCBBBGHHFL..AAFL...DFLY..DUUY.EE... H99 Y99 G96 D99 E98 
11 5 6	.CCBBB.HHFL.AA.FL...DFL.G.DUUYGEE..Y H99 A99 Y98 D99 E98 
11 5 6	GCCBBBGHHFL..AAFL...DFLY..DUUY....EE H99 Y99 G96 D99 E99 
11 5 6	CCBBB..HHFL.GAAFL.G..FLY..DUUY..DEE. C99 B99 H99 G98 Y99 
11 5 6	CCDBBBHHDFL.AA.FL.G..FLYG..UUY...EE. C99 A99 Y99 G99 D96 
11 5 6	CCDBBBHHDFL.AA.FL....FLYG..UUYGEE... C99 A99 Y99 D96 E98 
11 5 6	.CCBBBGHHFL.GAAFL...DFLY..DUUY...EE. G95 H99 D99 Y99 
11 5 6	.CCBBB.HHFL.GAAFL.G.DFLY..DUUY...EE. G94 H99 D99 Y99 
11 5 6	CCDBBBHHDFL.AA.FL....FLYG.UU.YG..EE. C99 A99 Y99 D96 U99 
11 5 6	CCDBBBHHDFL.AA.FL....FLYGUU..YG..EE. C99 A99 Y99 D96 U98 
11 5 6	CCDBBBHHDFL.AA.FL....FLYG..UUYG.EE.. C99 A99 Y99 D96 E99 
11 5 6	CC.BBB.HHFL..AAFL.G..FLYG.DUUY..D.EE C99 H99 G99 Y99 E99 
11 5 6	CC.BBBHH.FL..AAFL...DFLYG.DUUYGEE... C99 Y99 D99 E96 
11 5 6	.CCBBBHH.FL.GAAFL.G.DFLY..DUUYEE.... Y99 G98 D99 E97 
11 5 6	CCDBBBHHDFL.AA.FL....FL.G..UUYG..EEY C99 A99 Y98 D96 
11 5 6	CCDBBBHHDFL..AAFL....FLYG..UUYG..EE. C99 A98 Y99 D96 
11 5 6	GCCBBBGHHFL.AA.FL...DFLY..DUUY...EE. H99 A99 Y99 G96 D99 
11 5 6	CCBBBYHH.FLYAA.FL....FL.G.DUU.G.DEE. C99 B99 A99 Y96 
11 5 6	CCBBB..HHFL..AAFL....FLYG.DUUYG.D.EE C99 B99 H99 Y99 E99 
11 5 6	CCBBB..HHFL..AAFL...DFLYG.DUUYG..EE. C99 B99 H99 Y99 D99 
11 5 6	.CCBBB.HHFL.GAAFL.G.DFL...DUUY..EE.Y H99 Y98 G98 D99 E99 
11 5 6	.CCBBBGHHFL.GAAFL...DFL...DUUY..EE.Y H99 Y98 G97 D99 E99 
11 5 6	CCBBB.HH.FL.AA.FL....FL.G.DUUYG.DEEY C99 B99 A99 Y98 
11 5 6	.CCBBBHH.FL.GAAFL.G.DFL...DUUY..EE.Y Y98 G98 D99 E99 
11 5 6	CC.BBBHH.FL.GAAFL.G.DFL...DUUY..EE.Y C99 D99 G98 Y98 E99 
11 2 9	CCBBB.HH.FL..AAFLY...FLYG.DUU.G.DEE. C99 B99 
11 2 9	CC.BBBHH.FL.GAAFLYG..FLY..DUU...DEE. C99 G98 
11 5 6	.CCBBB.HHFL.AA.FL.G.DFL.G.DUUY...EEY H99 A99 Y98 G99 D99 
11 5 6	.CCBBB.HHFL..AAFL.G.DFLYG.DUUY...EE. H99 Y97 G99 D99 
11 5 6	.CCBBBHH.FL.GAAFL.G.DFL...DUUY.EE..Y Y98 G98 D99 E98 
11 5 6	.CCBBBHH.FL.AA.FL.G.DFL.G.DUUYEE...Y A99 Y98 G99 D99 E97 
11 5 6	.CCBBBHH.FL..AAFL.G..FL.G.DUUYEED..Y Y98 G99 D98 E97 
11 5 6	.CCBBB.HHFL.AA.FL.G..FL.G.DUUY..DEEY H99 A99 Y98 G99 
11 2 9	.CCBBBHH.FL..AAFLY...FLYG.D.UUG.D.EE U99 E99 
9 3 6	.CCBBBHH..L..AA.LY...FLYG.DFUUG.DFEE F98 U99 E99 
10 4 6	CC.BBBHH..L..AA.LY...FLYG.DFUUG.DFEE C99 F98 U99 E99 
10 4 6	.CCBBB.HH.L..AA.LY...FLYG.DFUUG.DFEE H99 F98 U99 E99 
10 4 6	.CCBBB..HHL..AA.LY...FLYG.DFUUG.DFEE H98 F98 U99 E99 
10 4 6	.CCBBBHH..L.AA..LY...FLYG.DFUUG.DFEE F98 A99 U99 E99 
10 4 6	.CCBBBHH..L...AALY...FLYG.DFUUG.DFEE F98 A99 U99 E99 
10 4 6	.CCBBBHH..LY.AA.LY...FL.G.DFUUG.DFEE F98 Y99 U99 E99 
10 4 6	.CCBBBHH..L..AA.LY..DFLYG.DFUUG..FEE F98 D99 U99 E99 
10 4 6	.CCBBBHH..L..AA.LYG..FLYG.DFUU..DFEE F98 G99 U99 E99 
10 4 6	.CCBBBHH..L.GAA.LYG..FLY..DFUU..DFEE F98 G98 U99 E99 
11 5 6	GCCBBBG.HHL..AA.LY...FLY..DFUU..DFEE H98 F98 G96 U99 E99 
11 5 6	.CCBBB..HHL..AA.LY..DFLYG.DFUUG..FEE H98 F98 D99 U99 E99 
11 5 6	.CCBBBHH..LYAA..LY...FL.G.DFUUG.DFEE F98 A99 Y99 U99 E99 
11 5 6	.CCBBBHH..L.AA..LYG..FLYG.DFUU..DFEE F98 A99 G99 U99 E99 
11 5 6	.CCBBBHH..L.G.AALYG..FLY..DFUU..DFEE F98 A99 G98 U99 E99 
11 5 6	.CCBBBHH..LY.AA.LY..DFL.G.DFUUG..FEE F98 Y99 D99 U99 E99 
11 5 6	.CCBBBHH..L.GAA.LYG.DFLY..DFUU...FEE F98 G98 D99 U99 E99 
11 5 6	.CCBBBHH..L..AA.LYG.DFLYG.DFUU...FEE F98 G99 D99 U99 E99 
11 5 6	.CCBBBHH..L...AALY..DFLYG.DFUUG..FEE F98 A99 D99 U99 E99 
11 5 6	.CCBBBHH..LY.AA.LYG..FL.G.DFUU..DFEE F98 Y99 G99 U99 E99 
11 5 6	.CCBBBHH..LYGAA.LYG..FL...DFUU..DFEE F98 Y99 G98 U99 E99 
11 5 6	.CCBBBHH..L.AA..LY..DFLYG.DFUUG..FEE F98 A99 D99 U99 E99 
11 5 6	.CCBBBHH..LY..AALY...FL.G.DFUUG.DFEE F98 A99 Y99 U99 E99 
11 5 6	.CCBBBHH..L...AALYG..FLYG.DFUU..DFEE F98 A99 G99 U99 E99 
11 5 6	CC.BBBHH..L.GAA.LYG..FLY..DFUU..DFEE C99 F98 G98 U99 E99 
11 5 6	GCCBBBGHH.L..AA.LY...FLY..DFUU..DFEE H99 F98 G96 U99 E99 
11 5 6	.CCBBB..HHL..AA.LYG..FLYG.DFUU..DFEE H98 F98 G99 U99 E99 
11 5 6	.CCBBB..HHL.GAA.LYG..FLY..DFUU..DFEE H98 F98 G98 U99 E99 
11 5 6	.CCBBBG.HHL.GAA.LY...FLY..DFUU..DFEE H98 F98 G97 U99 E99 
11 5 6	.CCBBB.HH.L..AA.LY..DFLYG.DFUUG..FEE H99 F98 D99 U99 E99 
11 5 6	.CCBBB..HHL...AALY...FLYG.DFUUG.DFEE H98 F98 A99 U99 E99 
11 5 6	.CCBBB..HHLY.AA.LY...FL.G.DFUUG.DFEE H98 F98 Y99 U99 E99 
11 5 6	.CCBBB..HHL.AA..LY...FLYG.DFUUG.DFEE H98 F98 A99 U99 E99 
11 5 6	CC.BBBHH..L..AA.LY..DFLYG.DFUUG..FEE C99 F98 D99 U99 E99 
11 5 6	.CCBBB.HH.L..AA.LYG..FLYG.DFUU..DFEE H99 F98 G99 U99 E99 
11 5 6	.CCBBB.HH.L.GAA.LYG..FLY..DFUU..DFEE H99 F98 G98 U99 E99 
11 5 6	.CCBBBGHH.L.GAA.LY...FLY..DFUU..DFEE H99 F98 G97 U99 E99 
11 5 6	.CCBBB.HH.L.AA..LY...FLYG.DFUUG.DFEE H99 F98 A99 U99 E99 
11 5 6	.CCBBB.HH.L...AALY...FLYG.DFUUG.DFEE H99 F98 A99 U99 E99 
11 5 6	.CCBBB.HH.LY.AA.LY...FL.G.DFUUG.DFEE H99 F98 Y99 U99 E99 
11 5 6	CCBBB.HH..L..AA.LY...FLYG.DFUUG.DFEE C99 B99 F98 U99 E99 
9 6 3	CCBBBYHH..LY.AA.L....FL.G.DFUUG.DFEE C99 B99 Y98 F98 U99 E99 
10 7 3	CCBBBY.HH.LY.AA.L....FL.G.DFUUG.DFEE C99 B99 H99 Y98 F98 U99 E99 
10 7 3	CCBBBY..HHLY.AA.L....FL.G.DFUUG.DFEE C99 B99 H98 Y98 F98 U99 E99 
10 7 3	CCBBBYHH..LYAA..L....FL.G.DFUUG.DFEE C99 B99 A99 Y98 F98 U99 E99 
10 7 3	CCBBBYHH..LY..AAL....FL.G.DFUUG.DFEE C99 B99 A99 Y98 F98 U99 E99 
10 7 3	CCBBBYHH..LY.AA.L.G..FL.G.DFUU..DFEE C99 B99 Y98 F98 G99 U99 E99 
10 7 3	CCBBBYHH..LYGAA.L.G..FL...DFUU..DFEE C99 B99 Y98 F98 G98 U99 E99 
10 7 3	CCBBBYHH..LY.AA.L...DFL.G.DFUUG..FEE C99 B99 Y98 F98 D99 U99 E99 
11 8 3	CCBBBY.HH.LY.AA.L.G..FL.G.DFUU..DFEE C99 B99 H99 Y98 F98 G99 U99 E99 
11 8 3	CCBBBY.HH.LYGAA.L.G..FL...DFUU..DFEE C99 B99 H99 Y98 F98 G98 U99 E99 
11 8 3	CCBBBYGHH.LYGAA.L....FL...DFUU..DFEE C99 B99 H99 Y98 F98 G97 U99 E99 
11 8 3	CCBBBY.HH.LY.AA.L...DFL.G.DFUUG..FEE C99 B99 H99 Y98 F98 D99 U99 E99 
11 8 3	CCBBBYHH..LY..AAL.G..FL.G.DFUU..DFEE C99 B99 A99 Y98 F98 G99 U99 E99 
11 8 3	CCBBBYHH..LYGAA.L.G.DFL...DFUU...FEE C99 B99 Y98 F98 G98 D99 U99 E99 
11 8 3	CCBBBYHH..LYG.AAL.G..FL...DFUU..DFEE C99 B99 A99 Y98 F98 G98 U99 E99 
11 8 3	CCBBBYHH..LY.AA.L.G.DFL.G.DFUU...FEE C99 B99 Y98 F98 G99 D99 U99 E99 
11 8 3	CCBBBYHH..LY..AAL...DFL.G.DFUUG..FEE C99 B99 A99 Y98 F98 D99 U99 E99 
11 8 3	CCBBBY..HHLYAA..L....FL.G.DFUUG.DFEE C99 B99 H98 A99 Y98 F98 U99 E99 
11 8 3	CCBBBY..HHLYGAA.L.G..FL...DFUU..DFEE C99 B99 H98 Y98 F98 G98 U99 E99 
11 8 3	CCBBBYHH..LYAA..L.G..FL.G.DFUU..DFEE C99 B99 A99 Y98 F98 G99 U99 E99 
11 8 3	CCBBBYHH..LYAA..L...DFL.G.DFUUG..FEE C99 B99 A99 Y98 F98 D99 U99 E99 
