4 4 0	FFFEE....RO.UAARODU.BBBD.III.J.....J D98 U99 J98 I98 
4 4 0	FFFEED...RODUAARO.U..BBB.III.J.....J U99 J98 B99 I98 
4 4 0	FFFEE....RODUAARODU.BBBJIII..J...... D99 U99 J99 I97 
4 4 0	FFFEE....RODUAARODU.BBB.III..J.....J D99 U99 J98 I97 
4 4 0	FFFEE....RO.UAARODU.BBBDIII..J.....J D98 U99 J98 I97 
4 4 0	FFFEED...RODUAARO.U..BBBIII..J.....J U99 J98 B99 I97 
4 4 0	FFFEED...R.DAA.ROJUBBBOJU..III...... U98 O99 A99 B99 
4 4 0	FFFEED...RODAA.ROJUBBB.JU.III....... U98 A99 B99 I99 
4 4 0	FFFEED...RODAA.ROJUBBB.JUIII........ U98 A99 B99 I98 
4 4 0	FFFEED...RODAA.RO.U.BBBJU.IIIJ...... U98 A99 J99 I99 
4 4 0	FFFEED...RODAA.RO.U.BBB.U.IIIJ.....J U98 A99 J98 I99 
4 4 0	FFFEED...RODAA.RO.U.BBBJUIII.J...... U98 A99 J99 I98 
4 4 0	FFFEED...RODAA.RO.U.BBB.UIII.J.....J U98 A99 J98 I98 
4 4 0	FFFEED...R.D.AAROJUBBBOJU.III....... U98 O99 B99 I99 
4 4 0	FFFEED...R.D.AAROJUBBBOJUIII........ U98 O99 B99 I98 
4 4 0	FFFEED...ROD.AARO.UBBB.JU.IIIJ...... U98 J99 B99 I99 
4 4 0	FFFEED...ROD.AARO.UBBB..U.IIIJ.....J U98 J98 B99 I99 
4 4 0	FFFEED...R.D.AAR.JUBBBOJUIIIO....... U98 O98 B99 I98 
4 4 0	FFFEED...R.D.AAR.JUBBB.JUIIIO.....O. U98 O97 B99 I98 
4 4 0	FFFEED...ROD.AARO.UBBB.JUIII.J...... U98 J99 B99 I98 
4 4 0	FFFEED...ROD.AARO.UBBB..UIII.J.....J U98 J98 B99 I98 
4 4 0	FFFEE....ROD.AARODU.BBBJU.IIIJ...... D99 U98 J99 I99 
4 4 0	FFFEE....ROD.AARODU.BBB.U.IIIJ.....J D99 U98 J98 I99 
4 4 0	FFFEE....RO..AARODU.BBBDU.IIIJ.....J D98 U98 J98 I99 
4 4 0	FFFEED...ROD.AARO.U..BBBU.IIIJ.....J U98 J98 B99 I99 
4 4 0	FFFEE....ROD.AARODU.BBBJUIII.J...... D99 U98 J99 I98 
4 4 0	FFFEE....ROD.AARODU.BBB.UIII.J.....J D99 U98 J98 I98 
4 4 0	FFFEE....RO..AARODU.BBBDUIII.J.....J D98 U98 J98 I98 
4 4 0	FFFEED...ROD.AARO.U..BBBUIII.J.....J U98 J98 B99 I98 
4 4 0	FFFEED...R.DAA.ROJ.BBBOJU..IIIU..... U97 O99 A99 B99 
4 4 0	FFFEED...RODAA.ROJ.BBB.JU.III.U..... U97 A99 B99 I99 
4 4 0	FFFEED...RODAA.ROJ.BBB.JUIII..U..... U97 A99 B99 I98 
4 4 0	FFFEED....ODAA.ROJBBBR.JU..IIIU..... U97 R99 A99 B98 
4 4 0	FFFEED...R.DAA.ROJBBB.OJU..IIIU..... U97 O99 A99 B98 
4 4 0	FFFEED...RODAA.ROJBBB..JU.III.U..... U97 A99 B98 I99 
4 4 0	FFFEED...RODAA.ROJBBB..JUIII..U..... U97 A99 B98 I98 
4 4 0	FFFEED...RODAA.RO...BBBJU.IIIJU..... U97 A99 J99 I99 
4 4 0	FFFEED...RODAA.RO...BBB.U.IIIJU....J U97 A99 J98 I99 
4 4 0	FFFEED...RODAA.RO...BBBJUIII.JU..... U97 A99 J99 I98 
4 4 0	FFFEED...RODAA.RO...BBB.UIII.JU....J U97 A99 J98 I98 
4 4 0	FFFEED...R.D.AAROJ.BBBOJU.III.U..... U97 O99 B99 I99 
4 4 0	FFFEED...R.D.AAROJ.BBBOJUIII..U..... U97 O99 B99 I98 
4 4 0	FFFEED...ROD.AARO..BBB.JU.IIIJU..... U97 J99 B99 I99 
4 4 0	FFFEED...ROD.AARO..BBB..U.IIIJU....J U97 J98 B99 I99 
4 4 0	FFFEED...R.D.AAR.J.BBBOJUIIIO.U..... U97 O98 B99 I98 
4 4 0	FFFEED...R.D.AAR.J.BBB.JUIIIO.U...O. U97 O97 B99 I98 
4 4 0	FFFEED...ROD.AARO..BBB.JUIII.JU..... U97 J99 B99 I98 
4 4 0	FFFEED...ROD.AARO..BBB..UIII.JU....J U97 J98 B99 I98 
4 4 0	FFFEED.....D.AAROJBBBROJU..IIIU..... U97 R99 O99 B98 
4 4 0	FFFEED....OD.AAROJBBBR.JU.III.U..... U97 R99 B98 I99 
4 4 0	FFFEED....OD.AAROJBBBR.JUIII..U..... U97 R99 B98 I98 
4 4 0	FFFEED...R.D.AAROJBBB.OJU.III.U..... U97 O99 B98 I99 
4 4 0	FFFEED...R.D.AAROJBBB.OJUIII..U..... U97 O99 B98 I98 
4 4 0	FFFEED...ROD.AARO.BBB..JU.IIIJU..... U97 J99 B98 I99 
4 4 0	FFFEED...ROD.AARO.BBB...U.IIIJU....J U97 J98 B98 I99 
4 4 0	FFFEED...R.D.AAR.JBBB.OJUIIIO.U..... U97 O98 B98 I98 
4 4 0	FFFEED...R.D.AAR.JBBB..JUIIIO.U...O. U97 O97 B98 I98 
4 4 0	FFFEED...ROD.AARO.BBB..JUIII.JU..... U97 J99 B98 I98 
4 4 0	FFFEED...ROD.AARO.BBB...UIII.JU....J U97 J98 B98 I98 
4 4 0	FFFEE....ROD.AAROD..BBBJU.IIIJU..... D99 U97 J99 I99 
4 4 0	FFFEE....ROD.AAROD..BBB.U.IIIJU....J D99 U97 J98 I99 
4 4 0	FFFEE....RO..AAROD..BBBDU.IIIJU....J D98 U97 J98 I99 
4 4 0	FFFEED...ROD.AARO....BBBU.IIIJU....J U97 J98 B99 I99 
4 4 0	FFFEE....ROD.AAROD..BBBJUIII.JU..... D99 U97 J99 I98 
4 4 0	FFFEE....ROD.AAROD..BBB.UIII.JU....J D99 U97 J98 I98 
4 4 0	FFFEE....RO..AAROD..BBBDUIII.JU....J D98 U97 J98 I98 
4 4 0	FFFEED...ROD.AARO....BBBUIII.JU....J U97 J98 B99 I98 
4 4 0	FFFEEDU..R.DUAARO..BBBOJ..IIIJ...... O99 J99 B99 I99 
4 4 0	FFFEEDU..R.DUAARO..BBBO...IIIJ.....J O99 J98 B99 I99 
4 4 0	FFFEEDU..R.DUAARO..BBBOJ.III.J...... O99 J99 B99 I98 
4 4 0	FFFEEDU..R.DUAARO..BBBO..III.J.....J O99 J98 B99 I98 
4 4 0	FFFEEDU..R.DUAARO..BBBOJIII..J...... O99 J99 B99 I97 
4 4 0	FFFEEDU..R.DUAARO..BBBO.III..J.....J O99 J98 B99 I97 
4 4 0	FFFEE.U..RODUAAROD.BBB.J..IIIJ...... D99 J99 B99 I99 
4 4 0	FFFEE.U..RODUAAROD.BBB....IIIJ.....J D99 J98 B99 I99 
4 4 0	FFFEE.U..RO.UAAROD.BBB.D..IIIJ.....J D98 J98 B99 I99 
4 4 0	FFFEEDU..R.DUAAR...BBBOJ.IIIOJ...... O98 J99 B99 I98 
4 4 0	FFFEEDU..R.DUAAR...BBBO..IIIOJ.....J O98 J98 B99 I98 
4 4 0	FFFEEDU..R.DUAAR...BBB.J.IIIOJ....O. O97 J99 B99 I98 
4 4 0	FFFEEDU..R.DUAAR...BBB...IIIOJ....OJ O97 J98 B99 I98 
4 4 0	FFFEEDU..R.DUAAR.J..BBBJ.IIIO.....O. O97 B98 I98 
4 4 0	FFFEE.U..RODUAAROD.BBB.J.III.J...... D99 J99 B99 I98 
4 4 0	FFFEE.U..RODUAAROD.BBB...III.J.....J D99 J98 B99 I98 
4 4 0	FFFEE.U..RO.UAAROD.BBB.D.III.J.....J D98 J98 B99 I98 
4 4 0	FFFEEDU..R.DUAAR...BBBOJIII.OJ...... O98 J99 B99 I97 
4 4 0	FFFEEDU..R.DUAAR...BBBO.III.OJ.....J O98 J98 B99 I97 
4 4 0	FFFEEDU..R.DUAAR...BBB.JIII.OJ....O. O97 J99 B99 I97 
4 4 0	FFFEEDU..R.DUAAR...BBB..III.OJ....OJ O97 J98 B99 I97 
4 4 0	FFFEEDU..R.DUAAR.J..BBBJIII.O.....O. O97 B98 I97 
4 4 0	FFFEE.U..RODUAAROD.BBB.JIII..J...... D99 J99 B99 I97 
4 4 0	FFFEE.U..RODUAAROD.BBB..III..J.....J D99 J98 B99 I97 
4 4 0	FFFEE.U..RO.UAAROD.BBB.DIII..J.....J D98 J98 B99 I97 
4 4 0	FFFEEDU....DUAAROJBBBROJ..III....... R99 O99 B98 I99 
4 4 0	FFFEEDU....DUAAROJBBBROJ.III........ R99 O99 B98 I98 
4 4 0	FFFEEDU....DUAAROJBBBROJIII......... R99 O99 B98 I97 
4 4 0	FFFEEDU...ODUAARO.BBBR.J..IIIJ...... R99 J99 B98 I99 
4 4 0	FFFEEDU...ODUAARO.BBBR....IIIJ.....J R99 J98 B98 I99 
4 4 0	FFFEEDU....DUAAR.JBBBROJ.IIIO....... R99 O98 B98 I98 
4 4 0	FFFEEDU....DUAAR.JBBBR.J.IIIO.....O. R99 O97 B98 I98 
4 4 0	FFFEEDU...ODUAARO.BBBR.J.III.J...... R99 J99 B98 I98 
4 4 0	FFFEEDU...ODUAARO.BBBR...III.J.....J R99 J98 B98 I98 
4 4 0	FFFEEDU....DUAAR.JBBBROJIII.O....... R99 O98 B98 I97 
4 4 0	FFFEEDU....DUAAR.JBBBR.JIII.O.....O. R99 O97 B98 I97 
4 4 0	FFFEEDU...ODUAARO.BBBR.JIII..J...... R99 J99 B98 I97 
4 4 0	FFFEEDU...ODUAARO.BBBR..III..J.....J R99 J98 B98 I97 
4 4 0	FFFEEDU..R.DUAARO.BBB.OJ..IIIJ...... O99 J99 B98 I99 
4 4 0	FFFEEDU..R.DUAARO.BBB.O...IIIJ.....J O99 J98 B98 I99 
4 4 0	FFFEEDU..R.DUAARO.BBB.OJ.III.J...... O99 J99 B98 I98 
4 4 0	FFFEEDU..R.DUAARO.BBB.O..III.J.....J O99 J98 B98 I98 
4 4 0	FFFEEDU....DUAA.OJBBBROJIIIR........ R98 O99 B98 I97 
4 4 0	FFFEEDU....DUAA.OJBBB.OJIIIR.....R.. R97 O99 B98 I97 
4 4 0	FFFEEDU..R.DUAARO.BBB.OJIII..J...... O99 J99 B98 I97 
