3 3 0	.BBKU.CCCKU..AAKUGFF...G.....GEEE.TT B99 U99 F99 
3 3 0	.BBKU.CCCKU..AAKUG..FF.G.....GEEE.TT B99 U99 F99 
3 3 0	.BBKU.CCCKU..AAKUG...FFG.....GEEE.TT B99 U99 F98 
3 3 0	.BBKU.CCCKU..AAKUG.FF..G.....G.EEETT B99 U99 E99 
3 3 0	.BBKU.CCCKU..AAKUG.FF..G.....GEEETT. B99 U99 T99 
3 3 0	.BBK..CCCKUGAA.KUG.FF.UG......EEE.TT B99 A99 G99 
3 3 0	.BBK.GCCCKUGAA.KUG.FF.U.......EEE.TT B99 A99 G98 
3 3 0	.BBK..CCCKU.AA.KUGFF..UG.....GEEE.TT B99 A99 F99 
3 3 0	.BBK..CCCKU.AA.KUG..FFUG.....GEEE.TT B99 A99 F99 
3 3 0	.BBK..CCCKU.AA.KUG.FF.UG.....G.EEETT B99 A99 E99 
3 3 0	.BBK..CCCKU.AA.KUG.FF.UG.....GEEETT. B99 A99 T99 
3 3 0	.BBK..CCCKUG.AAKUGFF..UG......EEE.TT B99 G99 F99 
3 3 0	.BBK..CCCKUG.AAKUG..FFUG......EEE.TT B99 G99 F99 
3 3 0	.BBK..CCCKUG.AAKUG.FF.UG.......EEETT B99 G99 E99 
3 3 0	.BBK..CCCKUG.AAKUG.FF.UG......EEETT. B99 G99 T99 
3 3 0	.BBK.GCCCKUG.AAKUGFF..U.......EEE.TT B99 G98 F99 
3 3 0	.BBK.GCCCKUG.AAKUG..FFU.......EEE.TT B99 G98 F99 
3 3 0	.BBK.GCCCKUG.AAKUG.FF.U........EEETT B99 G98 E99 
3 3 0	.BBK.GCCCKUG.AAKUG.FF.U.......EEETT. B99 G98 T99 
3 3 0	.BBK..CCCKU..AAKUGFF..UG.....G.EEETT B99 F99 E99 
3 3 0	.BBK..CCCKU..AAKUGFF..UG.....GEEETT. B99 F99 T99 
3 3 0	.BBK..CCCKU..AAKUG..FFUG.....G.EEETT B99 F99 E99 
3 3 0	.BBK..CCCKU..AAKUG..FFUG.....GEEETT. B99 F99 T99 
3 3 0	.BBK..CCCKU..AAKU..FF.UG.....GEEETTG B99 G99 T99 
3 3 0	..BB..CCCK...AAKUG.FFKUG....UGEEE.TT B98 K99 U99 
3 3 0	..BBU.CCCKU..AAKUG.FFK.G.....GEEE.TT B98 K99 U99 
3 3 0	..BB..CCCKU.AA.KUG.FFKUG.....GEEE.TT B98 K99 A99 
3 3 0	..BB..CCCKUG.AAKUG.FFKUG......EEE.TT B98 K99 G99 
3 3 0	..BB.GCCCKUG.AAKUG.FFKU.......EEE.TT B98 K99 G98 
3 3 0	..BB..CCCKU..AAKUGFF.KUG.....GEEE.TT B98 K99 F99 
3 3 0	..BB..CCCKU..AAKUG.FFKUG.....G.EEETT B98 K99 E99 
3 3 0	..BB..CCCKU..AAKUG.FFKUG.....GEEETT. B98 K99 T99 
3 3 0	...BB.CCCK...AAKUG.FFKUG....UGEEE.TT B97 K99 U99 
3 3 0	...BB.CCCKU.AA.KUG.FFKUG.....GEEE.TT B97 K99 A99 
3 3 0	...BB.CCCKUG.AAKUG.FFKUG......EEE.TT B97 K99 G99 
3 3 0	...BBGCCCKUG.AAKUG.FFKU.......EEE.TT B97 K99 G98 
3 3 0	...BB.CCCKU..AAKUGFF.KUG.....GEEE.TT B97 K99 F99 
3 3 0	...BB.CCCKU..AAKUG.FFKUG.....G.EEETT B97 K99 E99 
3 3 0	...BB.CCCKU..AAKUG.FFKUG.....GEEETT. B97 K99 T99 
3 3 0	...KBBCCCKU..AAKUG.FF.UG.....GEEE.TT B96 K98 
3 3 0	....BBCCCK...AAKUG.FFKUG....UGEEE.TT B96 K99 U99 
3 3 0	....BBCCCKU.AA.KUG.FFKUG.....GEEE.TT B96 K99 A99 
3 3 0	....BBCCCKUG.AAKUG.FFKUG......EEE.TT B96 K99 G99 
3 3 0	....BBCCCKU..AAKUGFF.KUG.....GEEE.TT B96 K99 F99 
3 3 0	....BBCCCKU..AAKUG.FFKUG.....G.EEETT B96 K99 E99 
3 3 0	....BBCCCKU..AAKUG.FFKUG.....GEEETT. B96 K99 T99 
3 3 0	BB....CCCK..AA.KUG.FFKUG....UGEEE.TT K99 U99 A99 
3 3 0	BB....CCCK.G.AAKUG.FFKUG....U.EEE.TT K99 U99 G99 
3 3 0	BB...GCCCK.G.AAKUG.FFKU.....U.EEE.TT K99 U99 G98 
3 3 0	BB....CCCK...AAKUGFF.KUG....UGEEE.TT K99 U99 F99 
3 3 0	BB....CCCK...AAKUG.FFKUG....UG.EEETT K99 U99 E99 
