7 4 3	...GGR..DFORAADFO.TVDFO.TVKKJJIII... G99 O99 V99 I98 
7 3 4	...GG...DFO.AADFORT.DFORTVKKJJ.VIII. G99 O99 R98 
7 3 4	.GG.O...DFO.AADFOR..DF.RTVKKJJTVIII. G99 R98 T99 
7 3 4	.GG.O...DFORAADFOR..DF..TVKKJJTVIII. G99 R99 T99 
7 4 3	GG...R..DFORAADFO.TVDFO.TVKKJJ.III.. G98 O99 V99 I99 
7 4 3	GGD..R..DFORAADFO.TV.FO.TVKKJJ..III. G98 D99 O99 V99 
7 3 4	.GGFO...DFO.AADFORT.D..RTVKKJJ.VIII. G99 R98 F99 
7 3 4	...GG...DFORAADFORT.DFO.TVKKJJ.VIII. G99 O99 R99 
7 4 3	GG.F.R..DFORAADFO.TVD.O.TVKKJJ..III. G98 F99 O99 V99 
7 4 3	GGDF.R..DFORAADFO.T...O.TVKKJJ.VIII. G98 D99 F99 O99 
7 3 4	GG..O...DFO.AADFOR..DF.RTVKKJJTVIII. G98 R98 T99 
7 3 4	....GG..DFO.AADFORT.DFORTVKKJJ.VIII. G98 O99 R98 
7 3 4	GG..O...DFORAADFOR..DF..TVKKJJTVIII. G98 R99 T99 
7 4 3	GG.F.R..DFORAADFO...D.O.TVKKJJTVIII. G98 F99 O99 T99 
7 4 3	GGD..R..DFORAADFO....FO.TVKKJJTVIII. G98 D99 O99 T99 
8 4 4	GG......DFO.AADFOR..DFORTVKKJJTVIII. G98 R98 O99 T99 
8 4 4	.GG.O...DFO.AADFOR..DF.RTVKKJJTV.III G99 R98 T99 I99 
8 4 4	.GG.....DFORAADFOR..DFO.TVKKJJTVIII. G99 O99 R99 T99 
8 5 3	GGDFOR..DFORAADFO.......TVKKJJTV.III G98 D99 F99 T99 I99 
8 5 3	.GG..R..DFORAADFO..VDFO.TVKKJJT..III G99 O99 T99 V99 I99 
8 4 4	GG......DFORAADFOR..DFO.TVKKJJTVIII. G98 R99 O99 T99 
8 4 4	.GG.....DFORAADFORTVDFO.TVKKJJ..III. G99 O99 R99 V99 
8 4 4	GG.FO...DFO.AADFORT.D..RTVKKJJ.V.III G98 R98 F99 I99 
8 4 4	.GG.....DFO.AADFOR..DFORTVKKJJTVIII. G99 O99 R98 T99 
8 4 4	GGD.O...DFO.AADFORT..F.RTVKKJJ.V.III G98 R98 D99 I99 
8 4 4	GG.FO...DFORAADFOR..D...TVKKJJTVIII. G98 R99 F99 T99 
8 5 3	GGDFOR..DFORAADFO.TV....TVKKJJ...III G98 D99 F99 V99 I99 
8 4 4	GGD.O...DFORAADFORT..F..TVKKJJ.V.III G98 R99 D99 I99 
8 5 3	...GGR..DFORAADFO..VDFO.TVKKJJT..III G99 O99 T99 V99 I99 
8 5 3	.GGFOR..DFORAADFO..VD...TVKKJJTIII.. G99 F99 T99 V99 I99 
8 4 4	.GGFO...DFO.AADFOR..D..RTVKKJJTVIII. G99 R98 F99 T99 
8 4 4	GG..O...DFO.AADFOR.VDF.RTVKKJJT.III. G98 R98 T99 V99 
8 5 3	GG.FOR..DFORAADFO..VD...TVKKJJT..III G98 F99 T99 V99 I99 
8 5 3	GG...R..DFORAADFO..VDFO.TVKKJJT..III G98 O99 T99 V99 I99 
8 4 4	GG..O...DFORAADFOR.VDF..TVKKJJT.III. G98 R99 T99 V99 
8 5 3	GGD..R..DFORAADFO.TV.FO.TVKKJJ...III G98 O99 D99 V99 I99 
8 4 4	..D.GG..DFO.AADFORT..FORTVKKJJ.VIII. G98 O99 R98 D99 
8 5 3	.GGFOR..DFORAADFO..VD...TVKKJJT..III G99 F99 T99 V99 I99 
8 4 4	.GG.....DFO.AADFORT.DFORTVKKJJ.V.III G99 O99 R98 I99 
8 5 3	GGDF.R..DFORAADFO.TV..O.TVKKJJ..III. G98 O99 D99 F99 V99 
8 5 3	..DGGR..DFORAADFO.TV.FO.TVKKJJIII... G99 O99 D99 V99 I98 
8 5 3	GGD..R..DFORAADFO.TV.FO.TVKKJJ.III.. G98 O99 D99 V99 I99 
8 4 4	GG..O...DFO.AADFORTVDF.RTVKKJJ...III G98 R98 V99 I99 
8 5 3	GGD.OR..DFORAADFO..V.F..TVKKJJT..III G98 D99 T99 V99 I99 
8 4 4	GG..O...DFORAADFORTVDF..TVKKJJ...III G98 R99 V99 I99 
8 5 3	GG.F.R..DFORAADFO.TVD.O.TVKKJJ.III.. G98 O99 F99 V99 I99 
8 5 3	.GGF.R..DFORAADFO...D.O.TVKKJJTV.III G99 O99 F99 T99 I99 
8 4 4	.GG.O...DFO.AADFOR.VDF.RTVKKJJT.III. G99 R98 T99 V99 
8 5 3	GG.F.R..DFORAADFO...D.O.TVKKJJTV.III G98 F99 O99 T99 I99 
8 5 3	GGDF.R..DFORAADFO.....O.TVKKJJTVIII. G98 O99 D99 F99 T99 
8 4 4	....GG..DFORAADFORTVDFO.TVKKJJ..III. G98 O99 R99 V99 
8 4 4	.GG.O...DFORAADFOR.VDF..TVKKJJT.III. G99 R99 T99 V99 
8 4 4	.GGFO...DFORAADFORTVD...TVKKJJ..III. G99 R99 F99 V99 
8 4 4	.GG.O...DFO.AADFORTVDF.RTVKKJJ.III.. G99 R98 V99 I99 
8 5 3	GGD..R..DFORAADFO.TV.FO.TVKKJJIII... G98 D99 O99 V99 I98 
8 5 3	GG.F.R..DFORAADFO.TVD.O.TVKKJJIII... G98 F99 O99 V99 I98 
8 4 4	.GG.O...DFORAADFORTVDF..TVKKJJ.III.. G99 R99 V99 I99 
8 4 4	.GGFO...DFO.AADFORTVD..RTVKKJJ..III. G99 R98 F99 V99 
8 4 4	.GG.O...DFO.AADFORTVDF.RTVKKJJIII... G99 R98 V99 I98 
8 5 3	.GGF.R..DFORAADFO.TVD.O.TVKKJJ.III.. G99 O99 F99 V99 I99 
8 4 4	.GG.O...DFORAADFORTVDF..TVKKJJIII... G99 R99 V99 I98 
8 5 3	GG.F.R..DFORAADFO.TVD.O.TVKKJJ...III G98 O99 F99 V99 I99 
8 4 4	.GG.....DFORAADFORT.DFO.TVKKJJ.V.III G99 O99 R99 I99 
8 4 4	.GGFO...DFORAADFOR..D...TVKKJJTVIII. G99 R99 F99 T99 
8 5 3	GG...R..DFORAADFO..VDFO.TVKKJJTIII.. G98 O99 T99 V99 I99 
8 4 4	.GG.....DFO.AADFORTVDFORTVKKJJ..III. G99 O99 R98 V99 
8 5 3	.GGF.R..DFORAADFO.TVD.O.TVKKJJIII... G99 O99 F99 V99 I98 
8 5 3	GGD.OR..DFORAADFO..V.F..TVKKJJTIII.. G98 D99 T99 V99 I99 
8 4 4	.GGFO...DFO.AADFORT.D..RTVKKJJ.V.III G99 R98 F99 I99 
8 4 4	.GGFO...DFORAADFORT.D...TVKKJJ.V.III G99 R99 F99 I99 
8 4 4	GG.FO...DFO.AADFOR..D..RTVKKJJTVIII. G98 R98 F99 T99 
8 5 3	GGD..R..DFORAADFO..V.FO.TVKKJJT.III. G98 O99 D99 T99 V99 
8 4 4	.GG.O...DFO.AADFORTVDF.RTVKKJJ...III G99 R98 V99 I99 
8 5 3	.GGF.R..DFORAADFO..VD.O.TVKKJJT.III. G99 O99 F99 T99 V99 
8 5 3	.GGF.R..DFORAADFO.TVD.O.TVKKJJ...III G99 O99 F99 V99 I99 
8 5 3	GG.FOR..DFORAADFO..VD...TVKKJJTIII.. G98 F99 T99 V99 I99 
8 5 3	GGDFOR..DFORAADFO..V....TVKKJJT.III. G98 D99 F99 T99 V99 
8 4 4	...GG...DFO.AADFORT.DFORTVKKJJ.V.III G99 O99 R98 I99 
8 4 4	...GG...DFORAADFORT.DFO.TVKKJJ.V.III G99 O99 R99 I99 
8 5 3	GG.F.R..DFORAADFO..VD.O.TVKKJJT.III. G98 O99 F99 T99 V99 
8 5 3	GGD..R..DFORAADFO....FO.TVKKJJTV.III G98 O99 D99 T99 I99 
8 5 3	GGDF.R..DFORAADFO.T...O.TVKKJJ.V.III G98 O99 D99 F99 I99 
8 5 3	..DGGR..DFORAADFO....FO.TVKKJJTV.III G99 O99 D99 T99 I99 
8 5 3	.GG..R..DFORAADFO..VDFO.TVKKJJTIII.. G99 O99 T99 V99 I99 
8 5 3	..DGGR..DFORAADFO.TV.FO.TVKKJJ...III G99 O99 D99 V99 I99 
8 4 4	....GG..DFORAADFOR..DFO.TVKKJJTVIII. G98 O99 R99 T99 
8 4 4	..GGO...DFORAADFOR.VDF..TVKKJJTIII.. R99 T99 V99 I99 
8 4 4	..GGO...DFO.AADFOR.VDF.RTVKKJJTIII.. R98 T99 V99 I99 
8 4 4	GG..O...DFORAADFORTVDF..TVKKJJIII... G98 R99 V99 I98 
8 4 4	..GG....DFORAADFORTVDFO.TVKKJJIII... O99 R99 V99 I98 
8 4 4	..DGG...DFORAADFORT..FO.TVKKJJ.VIII. G99 O99 R99 D99 
8 4 4	GG..O...DFORAADFORTVDF..TVKKJJ.III.. G98 R99 V99 I99 
8 4 4	...GG...DFO.AADFOR..DFORTVKKJJTVIII. G99 O99 R98 T99 
8 4 4	...GG...DFORAADFOR..DFO.TVKKJJTVIII. G99 O99 R99 T99 
8 4 4	...FGG..DFORAADFORT.D.O.TVKKJJ.VIII. G98 O99 R99 F99 
8 4 4	..GG....DFORAADFORTVDFO.TVKKJJ.III.. O99 R99 V99 I99 
8 4 4	....GG..DFORAADFORT.DFO.TVKKJJ.V.III G98 O99 R99 I99 
8 5 3	GGDFOR..DFORAADFO.TV....TVKKJJIII... G98 D99 F99 V99 I98 
8 4 4	GG......DFO.AADFORT.DFORTVKKJJ.V.III G98 O99 R98 I99 
8 4 4	....GG..DFO.AADFORT.DFORTVKKJJ.V.III G98 O99 R98 I99 
8 4 4	..D.GG..DFORAADFORT..FO.TVKKJJ.VIII. G98 O99 R99 D99 
8 4 4	...GG...DFO.AADFORTVDFORTVKKJJ..III. G99 O99 R98 V99 
8 4 4	GG......DFORAADFORT.DFO.TVKKJJ.V.III G98 O99 R99 I99 
8 4 4	...GG...DFORAADFORTVDFO.TVKKJJ..III. G99 O99 R99 V99 
8 4 4	.GGF....DFORAADFORT.D.O.TVKKJJ.VIII. G99 O99 R99 F99 
8 4 4	..GGO...DFO.AADFOR.VDF.RTVKKJJT..III R98 T99 V99 I99 
8 4 4	GGD.....DFORAADFORT..FO.TVKKJJ.VIII. G98 O99 R99 D99 
8 5 3	...GGR..DFORAADFO..VDFO.TVKKJJTIII.. G99 O99 T99 V99 I99 
8 4 4	..GG....DFORAADFOR.VDFO.TVKKJJT.III. O99 R99 T99 V99 
8 4 4	...FGG..DFO.AADFORT.D.ORTVKKJJ.VIII. G98 O99 R98 F99 
8 4 4	..GG....DFORAADFORTVDFO.TVKKJJ...III O99 R99 V99 I99 
8 4 4	GG..O...DFO.AADFORTVDF.RTVKKJJIII... G98 R98 V99 I98 
8 4 4	..GG....DFORAADFOR..DFO.TVKKJJTV.III O99 R99 T99 I99 
8 4 4	..GGO...DFORAADFOR.VDF..TVKKJJT..III R99 T99 V99 I99 
8 5 3	..DGGR..DFORAADFO.TV.FO.TVKKJJ.III.. G99 O99 D99 V99 I99 
8 5 3	..DGGR..DFORAADFO..V.FO.TVKKJJT.III. G99 O99 D99 T99 V99 
8 4 4	GGDFO...DFO.AADFORT....RTVKKJJ.VIII. G98 R98 D99 F99 
8 4 4	GGDFO...DFORAADFORT.....TVKKJJ.VIII. G98 R99 D99 F99 
8 4 4	GGD.O...DFO.AADFOR...F.RTVKKJJTVIII. G98 R98 D99 T99 
8 4 4	GGD.O...DFORAADFOR...F..TVKKJJTVIII. G98 R99 D99 T99 
8 4 4	..GG....DFO.AADFORTVDFORTVKKJJ...III O99 R98 V99 I99 
8 4 4	..GG....DFO.AADFOR.VDFORTVKKJJT.III. O99 R98 T99 V99 
8 4 4	....GG..DFO.AADFORTVDFORTVKKJJ..III. G98 O99 R98 V99 
8 4 4	GG.FO...DFO.AADFORTVD..RTVKKJJ..III. G98 R98 F99 V99 
8 4 4	..GG....DFO.AADFOR..DFORTVKKJJTV.III O99 R98 T99 I99 
8 4 4	GG.FO...DFORAADFORTVD...TVKKJJ..III. G98 R99 F99 V99 
8 4 4	GGD.....DFO.AADFORT..FORTVKKJJ.VIII. G98 O99 R98 D99 
8 4 4	.GGF....DFO.AADFORT.D.ORTVKKJJ.VIII. G99 O99 R98 F99 
8 4 4	GGD.O...DFO.AADFORTV.F.RTVKKJJ..III. G98 R98 D99 V99 
8 4 4	GGD.O...DFORAADFORTV.F..TVKKJJ..III. G98 R99 D99 V99 
8 4 4	..GG....DFO.AADFORTVDFORTVKKJJ.III.. O99 R98 V99 I99 
8 4 4	..GG....DFO.AADFORTVDFORTVKKJJIII... O99 R98 V99 I98 
8 4 4	GG.FO...DFORAADFORT.D...TVKKJJ.V.III G98 R99 F99 I99 
8 4 4	.GG.O...DFORAADFORTVDF..TVKKJJ...III G99 R99 V99 I99 
8 5 3	GGDFOR..DFORAADFO.TV....TVKKJJ.III.. G98 D99 F99 V99 I99 
